m_id,m_NameID,m_TypeID,m_PreID,m_IntervalTime,m_Slot,m_R1,m_R2,m_StartEvent,m_EndEvent,m_CondID,m_StartTimestamp,m_EndTimestamp
0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0]",0,0,"[0, 0, 0]",0,0
2,62878,1,0,0,"[10000, 10001, 10005, 10002, 10004, 10003, 10006, 10007]","[0, 2, 4, 7]","[0, 4]",0,0,"[0, 0, 0]",0,0
1,62878,2,2,0,"[1000, 1003, 1001, 1004, 1005, 1002, 1006, 1]","[0, 3, 4, 6]","[0, 6]",6948,6961,"[0, 0, 0]",1567987200,0
3,62879,1,0,0,"[10008, 10014, 10009, 10011, 10012, 10013, 10010, 10015]","[0, 3, 4, 7]","[0, 7]",0,0,"[0, 0, 0]",0,0
4,62879,2,3,0,"[1003, 1010, 1007, 1008, 1011, 1009, 1012, 2]","[0, 3, 5, 6]","[0, 5]",7249,7262,"[0, 0, 0]",1568073600,0
5,62880,1,0,0,"[10016, 10017, 10020, 10021, 10018, 10022, 10019, 10023]","[0, 2, 5, 7]","[0, 5]",0,0,"[0, 0, 0]",0,0
6,62880,2,5,0,"[1009, 1013, 1014, 1017, 1015, 1016, 1018, 3]","[0, 3, 4, 6]","[0, 4]",7266,7279,"[0, 0, 0]",1568160000,0
7,62881,1,0,0,"[10024, 10027, 10025, 10028, 10029, 10030, 10026, 10031]","[0, 3, 5, 7]","[0, 7]",0,0,"[0, 0, 0]",0,0
8,62881,2,7,0,"[1020, 1016, 1022, 1010, 1023, 1021, 1019, 4]","[0, 2, 5, 6]","[0, 6]",7406,7419,"[0, 0, 0]",1568246400,0
9,62882,1,0,0,"[10032, 10033, 10035, 10034, 10036, 10038, 10037, 10039]","[0, 2, 4, 6]","[0, 4]",0,0,"[0, 0, 0]",0,0
10,62882,2,9,0,"[1024, 1028, 1027, 1025, 1022, 1007, 1026, 5]","[0, 2, 5, 7]","[0, 5]",7715,7728,"[0, 0, 0]",1568332800,0
