m_id,m_NpcID,m_JobID,m_Nickname,m_Enemyname
0,0,0,0,0
1,1113,1,62891,0
2,1130,8,62892,0
3,1089,4,62893,0
4,1097,3,62894,0
5,1131,2,62895,0
1001,20001,4,62902,0
1003,20002,1,62904,0
1013,20003,8,63013,0
1007,20005,7,63002,0
1019,20007,2,64022,0
1004,20009,7,62905,0
1020,20010,1,64023,0
1021,20013,6,64024,0
1024,20016,8,64069,0
1005,20017,8,62906,0
1008,20018,3,63003,0
1014,20020,3,63008,0
1022,20000,2,64025,0
1000,20101,7,62901,0
1009,20102,7,63004,0
1026,20106,1,64072,0
1010,20107,7,63005,0
1015,20117,5,63009,0
1025,20118,7,64073,0
1002,20201,3,62903,0
1016,20202,4,63010,0
1027,20205,1,64070,0
1006,20208,2,62907,0
1023,20212,5,64026,0
1017,20213,2,63011,0
1011,20217,4,63006,0
1012,20218,8,63007,0
1018,20220,1,63012,0
1028,20221,3,64071,0
10000,25000,0,62927,0
10001,25001,0,62927,0
10002,25002,0,62927,0
10003,25003,0,62927,0
10004,25004,0,62927,0
10005,25005,0,62927,0
10006,25006,0,62927,0
10008,25007,0,62927,0
10009,25008,0,62927,0
10010,25009,0,62927,0
10011,25010,0,62927,0
10012,25011,0,62927,0
10013,25012,0,62927,0
10014,25013,0,62927,0
10016,25014,0,62927,0
10017,25015,0,62927,0
10018,25016,0,62927,0
10019,25017,0,62927,0
10020,25018,0,62927,0
10021,25019,0,62927,0
10022,25020,0,62927,0
10024,25021,0,62927,0
10025,25022,0,62927,0
10026,25023,0,62927,0
10027,25024,0,62927,0
10028,25025,0,62927,0
10029,25026,0,62927,0
10030,25027,0,62927,0
10032,25028,0,62927,0
10033,25029,0,62927,0
10034,25030,0,62927,0
10035,25031,0,62927,0
10036,25032,0,62927,0
10037,25033,0,62927,0
10038,25034,0,62927,0
10007,0,0,64080,50023
10015,0,0,64080,50724
10023,0,0,64080,50785
10031,0,0,64080,50832
10039,0,0,64080,50947
