m_id,m_RewardType,m_RewardItemId,m_RewardItemNum
0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
1,"[100, 255, 0, 0]","[0, 9020, 0, 0]","[30, 50, 0, 0]"
2,"[100, 255, 0, 0]","[0, 9020, 0, 0]","[30, 50, 0, 0]"
3,"[100, 260, 0, 0]","[0, 30516, 0, 0]","[30, 1, 0, 0]"
4,"[110, 0, 0, 0]","[113, 0, 0, 0]","[5, 0, 0, 0]"
5,"[100, 200, 0, 0]","[0, 0, 0, 0]","[30, 110000, 0, 0]"
6,"[100, 200, 0, 0]","[0, 0, 0, 0]","[30, 110000, 0, 0]"
7,"[100, 255, 0, 0]","[0, 9010, 0, 0]","[30, 50, 0, 0]"
8,"[100, 255, 0, 0]","[0, 9010, 0, 0]","[100, 50, 0, 0]"
9,"[100, 200, 0, 0]","[0, 0, 0, 0]","[30, 135000, 0, 0]"
10,"[100, 200, 0, 0]","[0, 0, 0, 0]","[30, 135000, 0, 0]"
11,"[100, 255, 0, 0]","[0, 9010, 0, 0]","[30, 50, 0, 0]"
12,"[100, 255, 0, 0]","[0, 9010, 0, 0]","[100, 50, 0, 0]"
13,"[100, 255, 0, 0]","[0, 9020, 0, 0]","[30, 50, 0, 0]"
14,"[100, 255, 0, 0]","[0, 9020, 0, 0]","[30, 50, 0, 0]"
15,"[100, 260, 0, 0]","[0, 30399, 0, 0]","[30, 1, 0, 0]"
16,"[110, 0, 0, 0]","[130, 0, 0, 0]","[5, 0, 0, 0]"
17,"[100, 200, 0, 0]","[0, 0, 0, 0]","[30, 153500, 0, 0]"
18,"[100, 200, 0, 0]","[0, 0, 0, 0]","[30, 153500, 0, 0]"
19,"[100, 255, 0, 0]","[0, 9010, 0, 0]","[30, 50, 0, 0]"
20,"[100, 255, 0, 0]","[0, 9010, 0, 0]","[100, 50, 0, 0]"
21,"[100, 255, 0, 0]","[0, 9020, 0, 0]","[30, 50, 0, 0]"
22,"[100, 255, 0, 0]","[0, 9020, 0, 0]","[30, 50, 0, 0]"
23,"[100, 260, 0, 0]","[0, 30510, 0, 0]","[30, 1, 0, 0]"
24,"[110, 0, 0, 0]","[89, 0, 0, 0]","[5, 0, 0, 0]"
25,"[100, 200, 0, 0]","[0, 0, 0, 0]","[30, 162000, 0, 0]"
26,"[100, 200, 0, 0]","[0, 0, 0, 0]","[30, 162000, 0, 0]"
27,"[100, 255, 0, 0]","[0, 9010, 0, 0]","[30, 50, 0, 0]"
28,"[100, 255, 0, 0]","[0, 9010, 0, 0]","[100, 50, 0, 0]"
29,"[100, 255, 0, 0]","[0, 9020, 0, 0]","[30, 50, 0, 0]"
30,"[100, 255, 0, 0]","[0, 9020, 0, 0]","[30, 50, 0, 0]"
31,"[100, 260, 0, 0]","[0, 30379, 0, 0]","[30, 1, 0, 0]"
32,"[110, 0, 0, 0]","[97, 0, 0, 0]","[5, 0, 0, 0]"
33,"[100, 200, 0, 0]","[0, 0, 0, 0]","[30, 173600, 0, 0]"
34,"[100, 200, 0, 0]","[0, 0, 0, 0]","[30, 173600, 0, 0]"
35,"[100, 255, 0, 0]","[0, 9010, 0, 0]","[30, 50, 0, 0]"
36,"[100, 255, 0, 0]","[0, 9010, 0, 0]","[100, 50, 0, 0]"
37,"[100, 255, 0, 0]","[0, 9020, 0, 0]","[30, 50, 0, 0]"
38,"[100, 255, 0, 0]","[0, 9020, 0, 0]","[30, 50, 0, 0]"
39,"[100, 260, 0, 0]","[0, 30383, 0, 0]","[30, 1, 0, 0]"
40,"[110, 0, 0, 0]","[131, 0, 0, 0]","[5, 0, 0, 0]"
