m_id,m_ArenaID,m_Round,m_Level,m_BattleEvent,m_EnemyGroupID,m_RewardID
0,0,0,,0,0,0
5,2,0,E,0,70024,5
6,2,1,E,0,70025,6
7,2,2,D,0,70026,7
8,2,3,D,7053,70027,8
1,1,0,C,6949,70000,1
2,1,1,C,6952,70001,2
3,1,2,B,6955,70002,3
4,1,3,S,6958,70003,4
9,3,0,E,0,70030,9
10,3,1,D,0,70031,10
11,3,2,D,0,70032,11
12,3,3,C,7246,70033,12
13,4,0,C,7250,70034,13
14,4,1,C,7253,70035,14
15,4,2,B,7256,70036,15
16,4,3,S,7259,70037,16
17,5,0,E,0,70052,17
18,5,1,D,0,70053,18
19,5,2,D,0,70054,19
20,5,3,C,7263,70055,20
21,6,0,C,7267,70056,21
22,6,1,B,7270,70057,22
23,6,2,B,7273,70058,23
24,6,3,S,7276,70059,24
25,7,0,E,0,70068,25
26,7,1,D,0,70069,26
27,7,2,D,0,70070,27
28,7,3,C,7403,70071,28
29,8,0,C,7407,70072,29
30,8,1,B,7410,70073,30
31,8,2,B,7413,70074,31
32,8,3,S,7416,70075,32
33,9,0,E,0,70095,33
34,9,1,D,0,70096,34
35,9,2,D,0,70097,35
36,9,3,C,7712,70098,36
37,10,0,C,7716,70099,37
38,10,1,B,7719,70100,38
39,10,2,A,7722,70101,39
40,10,3,S,7725,70102,40
