m_id,m_AnimationID,m_UseNPC
0,0,194
1,1,195
2,35,195
3,5,194
4,35,195
5,35,195
6,72,194
7,72,194
8,74,194
9,39,195
10,37,195
11,38,195
12,36,194
13,5,194
14,75,194
15,76,194
16,77,194
17,40,194
18,43,194
19,44,194
20,45,194
21,46,194
22,47,194
23,48,194
24,49,194
25,50,194
26,51,194
27,52,194
28,53,194
29,54,194
30,55,194
31,56,194
32,57,194
33,58,194
34,59,194
35,60,194
36,61,194
50,9,194
51,10,194
52,12,194
53,13,194
54,14,194
55,15,194
56,184,194
57,62,194
58,63,194
59,64,194
100,20,195
101,21,195
102,23,195
103,30,195
104,551,194
105,552,194
106,184,194
