m_id,m_NextWait,m_PerformerID,m_PerformerIsLeader,m_NoName,m_NameID,m_BalloonType,m_NoTail,m_BaloonOffsetX,m_BaloonOffsetY,m_TextID,m_AnimID,m_DirID,m_SoundID,m_SoundHandle,m_EffectID,m_EffectHandle,m_EffectPosition,m_BgmID,m_FadeTime,m_SkillID,m_TargetID,m_isSwitchActionSkip,m_isWaitSkillTime,m_PlayBgmBlock,m_isRewriteIdleMotion,m_OnEventFlgIndex,m_OffEventFlgIndex,m_TextureChangeEnemyIdx,m_ChangeEnemyTextureIdx,m_TextureChangeTime
0,-1.0,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
1,0.6000000238418579,10173,194,194,116313,1,195,0.0,-250.0,4534,35,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
2,0.8999999761581421,10173,194,194,116313,1,195,0.0,-250.0,4535,35,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
3,0.6000000238418579,10173,194,194,116313,1,195,0.0,-250.0,4536,35,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
4,1.0,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,6020,0,194,194,0,194,0,0,255,255,-1.0
5,0.6000000238418579,10173,194,194,116313,1,195,0.0,-250.0,4537,35,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
6,0.6000000238418579,10173,194,194,116313,1,195,0.0,-250.0,114026,35,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
7,0.8999999761581421,10173,194,194,116290,1,195,50.0,0.0,114027,22,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
8,0.6000000238418579,10173,194,194,116290,1,195,50.0,0.0,114028,22,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
9,1.0,10173,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,1916,10173,194,194,0,194,0,0,255,255,-1.0
10,0.6000000238418579,10173,194,194,116290,1,195,50.0,0.0,4538,35,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
11,0.6000000238418579,10173,194,194,116290,1,195,50.0,0.0,4539,35,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
12,-1.0,10173,194,194,116290,1,195,50.0,0.0,4540,35,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
30,1.0,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,5528,0,194,194,0,194,0,0,255,255,-1.0
31,0.6000000238418579,10173,194,194,116313,1,195,0.0,-250.0,4541,35,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
34,-1.0,10173,194,194,116313,1,195,0.0,-250.0,114662,35,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
13,1.0,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,5745,0,194,194,0,194,0,0,255,255,-1.0
57,0.5,0,195,194,0,0,194,0.0,0.0,0,12,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
56,1.0,0,195,194,0,0,194,0.0,0.0,0,12,0,12577,1,1121,1,29,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
14,2.0,0,195,194,0,0,194,0.0,0.0,114079,12,0,0,1,0,1,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
15,1.0,0,195,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,5746,0,194,194,0,194,0,0,255,255,-1.0
16,-1.0,0,195,194,116313,1,195,0.0,-250.0,114080,35,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
35,1.0,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
48,-1.0,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
36,1.7999999523162842,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,5551,0,194,194,0,194,0,0,255,255,-1.0
