m_id,m_WorldPosotion,m_Priority
0,"[0.0, 0.0, 0.0]",0
1,"[-500.0, 500.0, 0.0]",0
2,"[-200.0, 50.0, 0.0]",0
3,"[-670.0, 765.0, 0.0]",0
4,"[50.0, 170.0, 0.0]",0
5,"[-100.0, 875.0, 0.0]",0
6,"[50.0, 175.0, 0.0]",0
7,"[-755.0, 765.0, 0.0]",0
8,"[50.0, 170.0, 0.0]",0
9,"[-40.0, 875.0, 0.0]",0
10,"[50.0, 175.0, 0.0]",0
11,"[-590.0, 765.0, 0.0]",0
12,"[50.0, 170.0, 0.0]",0
13,"[-1200.0, 640.0, 0.0]",0
14,"[50.0, 165.0, 0.0]",0
15,"[450.0, 920.0, 0.0]",0
16,"[50.0, 180.0, 0.0]",0
17,"[-90.0, 860.0, 0.0]",0
18,"[50.0, 175.0, 0.0]",0
19,"[-670.0, 765.0, 0.0]",0
20,"[50.0, 170.0, 0.0]",0
21,"[-1290.0, 640.0, 0.0]",0
22,"[50.0, 165.0, 0.0]",0
23,"[350.0, 1300.0, 0.0]",0
24,"[0.0, 0.0, 0.0]",0
25,"[-400.0, 100.0, 0.0]",0
26,"[-488.0, 750.0, 0.0]",0
27,"[-330.0, 350.0, 0.0]",0
28,"[-488.0, 750.0, 0.0]",0
29,"[-505.0, 440.0, 80.0]",0
100,"[-80.0, 60.0, 0.0]",0
101,"[0.0, 120.0, 0.0]",0
102,"[80.0, 60.0, 0.0]",0
103,"[0.0, -60.0, 0.0]",0
104,"[0.0, 60.0, 0.0]",0
200,"[-30.0, -20.0, 80.0]",0
1000,"[-330.0, 100.0, 0.0]",1
1001,"[-330.0, -120.0, 0.0]",2
1002,"[400.0, 370.0, 0.0]",1
1003,"[130.0, -200.0, 0.0]",3
1004,"[-780.0, -45.0, 0.0]",2
1005,"[300.0, 430.0, 0.0]",1
1006,"[290.0, -280.0, 0.0]",3
1007,"[-640.0, -130.0, 0.0]",2
1008,"[510.0, 400.0, 0.0]",1
1010,"[200.0, -300.0, 0.0]",3
1014,"[-940.0, -210.0, 0.0]",2
1020,"[510.0, 400.0, 0.0]",1
1024,"[-940.0, -250.0, 0.0]",2
1030,"[-780.0, -125.0, 0.0]",2
1031,"[310.0, 390.0, 0.0]",1
