m_id,m_Priority,m_Lock,m_Unlock,m_Offset,m_LockX,m_LockY,m_LockZ,m_OffsetX,m_OffsetY,m_OffsetZ
0,0,194,194,194,194,194,194,0.0,0.0,0.0
1,0,195,194,194,195,194,194,0.0,0.0,0.0
2,0,195,194,194,194,195,194,0.0,0.0,0.0
3,0,195,194,194,195,195,194,0.0,0.0,0.0
4,0,195,194,194,195,195,195,0.0,0.0,0.0
5,0,195,194,194,194,194,195,0.0,0.0,0.0
6,0,195,194,194,195,194,195,0.0,0.0,0.0
7,0,195,194,194,194,195,195,0.0,0.0,0.0
8,0,194,194,195,194,194,194,100.0,0.0,0.0
9,0,194,194,195,194,194,194,0.0,100.0,0.0
10,0,194,194,195,194,194,194,100.0,100.0,0.0
11,0,194,194,195,194,194,194,0.0,0.0,0.0
12,0,194,194,195,194,194,194,0.0,100.0,0.0
13,0,194,194,195,195,195,195,0.0,0.0,0.0
32,0,194,194,195,194,195,195,0.0,0.0,0.0
14,0,194,194,195,195,195,195,0.0,0.0,0.0
33,0,194,194,195,194,195,195,0.0,0.0,0.0
15,0,194,194,195,195,195,195,0.0,0.0,0.0
16,0,194,194,195,195,195,195,0.0,0.0,0.0
17,0,194,194,195,195,195,195,0.0,0.0,0.0
18,0,194,194,195,195,195,195,0.0,0.0,0.0
19,0,194,194,195,195,195,195,0.0,0.0,0.0
20,0,194,194,195,195,195,195,0.0,0.0,0.0
21,0,194,194,195,195,195,195,0.0,0.0,0.0
22,0,194,194,195,195,195,195,0.0,0.0,0.0
23,0,194,194,195,195,195,195,0.0,0.0,0.0
24,0,194,194,195,195,195,195,0.0,0.0,0.0
25,0,194,194,195,195,195,195,0.0,0.0,0.0
26,0,194,194,195,195,195,195,0.0,0.0,0.0
27,0,194,194,195,195,195,195,0.0,0.0,0.0
28,0,194,194,195,195,195,195,0.0,0.0,0.0
29,0,194,194,195,195,195,195,0.0,0.0,0.0
30,0,194,194,195,195,195,195,0.0,0.0,0.0
31,0,194,194,195,194,195,195,0.0,0.0,0.0
100,200,195,194,194,194,195,194,0.0,0.0,0.0
101,100,195,194,194,195,195,194,0.0,0.0,0.0
