m_id,m_PlayerID,m_RewardType,m_RewardItemID,m_RewardItemCount,m_OpenTimestamp
0,0,0,0,0,0
11,5,260,30853,1,1660730400
6,68,260,30848,1,0
5,70,260,30847,1,0
7,72,260,30849,1,0
4,73,260,30846,1,1671609600
12,83,260,30854,1,1659520800
10,133,260,30852,1,0
17,187,260,30883,1,0
18,184,260,30884,1,1665568800
19,185,260,30885,1,0
20,186,260,30886,1,0
21,8,260,30887,1,1660730400
22,81,260,30888,1,1660730400
27,103,260,30893,1,0
28,82,260,30894,1,0
30,75,260,30898,1,0
33,107,260,30926,1,1666778400
34,6,260,30927,1,1663149600
35,80,260,30928,1,1667988000
36,84,260,30922,1,1664359200
37,88,260,30923,1,1673424000
38,122,260,30924,1,1674036000
42,112,260,30934,1,1671012000
43,67,260,30935,1,1670400000
44,66,260,30936,1,0
48,86,260,31218,1,1672221600
50,99,260,31220,1,1663149600
52,2,260,31222,1,1659520800
56,71,260,31239,1,1669802400
57,1,260,31240,1,1659520800
58,105,260,31241,1,1664359200
63,4,260,31253,1,1663149600
64,132,260,31254,1,1661940000
65,7,260,31261,1,1661940000
70,3,260,31266,1,1661940000
