m_id,m_FieldTex,m_BattleTex,m_EventTex,m_UniTextureID,m_AttachEffect,m_MaterialParamsChangeID,m_VoiceEffectID
0,,,,0,0,0,0
1001,Ply/ChrTX_Chd_Ply_0001_J04/ChrTX_Chd_Ply_0001_J04_N,Ply/ChrTX_Chd_Ply_0001_J04/ChrTX_Chd_Ply_0001_J04_B,,2070,0,0,0
1002,Ply/ChrTX_Chd_Ply_0002_J01/ChrTX_Chd_Ply_0002_J01_N,Ply/ChrTX_Chd_Ply_0002_J01/ChrTX_Chd_Ply_0002_J01_B,,2070,0,0,0
1003,Ply/ChrTX_Chd_Ply_0003_J06/ChrTX_Chd_Ply_0003_J06_N,Ply/ChrTX_Chd_Ply_0003_J06/ChrTX_Chd_Ply_0003_J06_B,,2070,0,0,0
1004,Ply/ChrTX_Chd_Ply_0004_J07/ChrTX_Chd_Ply_0004_J07_N,Ply/ChrTX_Chd_Ply_0004_J07/ChrTX_Chd_Ply_0004_J07_B,,2070,0,0,0
1005,Ply/ChrTX_Chd_Ply_0005_J05/ChrTX_Chd_Ply_0005_J05_N,Ply/ChrTX_Chd_Ply_0005_J05/ChrTX_Chd_Ply_0005_J05_B,Ply/ChrTX_Chd_Ply_0005_J05/ChrTX_Chd_Ply_0005_J05_E,2070,0,0,0
1006,Ply/ChrTX_Chd_Ply_0006_J03/ChrTX_Chd_Ply_0006_J03_N,Ply/ChrTX_Chd_Ply_0006_J03/ChrTX_Chd_Ply_0006_J03_B,Ply/ChrTX_Chd_Ply_0006_J03/ChrTX_Chd_Ply_0006_J03_E,2070,0,0,0
1007,Ply/ChrTX_Chd_Ply_0007_J02/ChrTX_Chd_Ply_0007_J02_N,Ply/ChrTX_Chd_Ply_0007_J02/ChrTX_Chd_Ply_0007_J02_B,,2070,0,0,0
1008,Ply/ChrTX_Chd_Ply_0008_J08/ChrTX_Chd_Ply_0008_J08_N,Ply/ChrTX_Chd_Ply_0008_J08/ChrTX_Chd_Ply_0008_J08_B,,2070,0,0,0
1009,Ply/ChrTX_Chd_Ply_0009_J03/ChrTX_Chd_Ply_0009_J03_N,Ply/ChrTX_Chd_Ply_0009_J03/ChrTX_Chd_Ply_0009_J03_B,,2070,0,0,0
1010,Ply/ChrTX_Chd_Ply_0010_J03/ChrTX_Chd_Ply_0010_J03_N,Ply/ChrTX_Chd_Ply_0010_J03/ChrTX_Chd_Ply_0010_J03_B,,2070,0,0,0
1011,Ply/ChrTX_Chd_Ply_0011_J03/ChrTX_Chd_Ply_0011_J03_N,Ply/ChrTX_Chd_Ply_0011_J03/ChrTX_Chd_Ply_0011_J03_B,,2070,0,0,0
1012,Ply/ChrTX_Chd_Ply_0012_J07/ChrTX_Chd_Ply_0012_J07_N,Ply/ChrTX_Chd_Ply_0012_J07/ChrTX_Chd_Ply_0012_J07_B,,2070,0,0,0
1013,Ply/ChrTX_Chd_Ply_0013_J04/ChrTX_Chd_Ply_0013_J04_N,Ply/ChrTX_Chd_Ply_0013_J04/ChrTX_Chd_Ply_0013_J04_B,,2070,0,0,0
1014,Ply/ChrTX_Chd_Ply_0014_J04/ChrTX_Chd_Ply_0014_J04_N,Ply/ChrTX_Chd_Ply_0014_J04/ChrTX_Chd_Ply_0014_J04_B,,2070,0,0,0
1015,Ply/ChrTX_Chd_Ply_0015_J04/ChrTX_Chd_Ply_0015_J04_N,Ply/ChrTX_Chd_Ply_0015_J04/ChrTX_Chd_Ply_0015_J04_B,,2070,0,0,0
1016,Ply/ChrTX_Chd_Ply_0016_J06/ChrTX_Chd_Ply_0016_J06_N,Ply/ChrTX_Chd_Ply_0016_J06/ChrTX_Chd_Ply_0016_J06_B,,2070,0,0,0
1017,Ply/ChrTX_Chd_Ply_0017_J01/ChrTX_Chd_Ply_0017_J01_N,Ply/ChrTX_Chd_Ply_0017_J01/ChrTX_Chd_Ply_0017_J01_B,,2070,0,0,0
1018,Ply/ChrTX_Chd_Ply_0018_J01/ChrTX_Chd_Ply_0018_J01_N,Ply/ChrTX_Chd_Ply_0018_J01/ChrTX_Chd_Ply_0018_J01_B,Ply/ChrTX_Chd_Ply_0018_J01/ChrTX_Chd_Ply_0018_J01_E,2070,0,0,0
1019,Ply/ChrTX_Chd_Ply_0019_J01/ChrTX_Chd_Ply_0019_J01_N,Ply/ChrTX_Chd_Ply_0019_J01/ChrTX_Chd_Ply_0019_J01_B,,2070,0,0,0
1020,Ply/ChrTX_Chd_Ply_0020_J05/ChrTX_Chd_Ply_0020_J05_N,Ply/ChrTX_Chd_Ply_0020_J05/ChrTX_Chd_Ply_0020_J05_B,,2070,0,0,0
1021,Ply/ChrTX_Chd_Ply_0021_J06/ChrTX_Chd_Ply_0021_J06_N,Ply/ChrTX_Chd_Ply_0021_J06/ChrTX_Chd_Ply_0021_J06_B,,2070,0,0,0
1022,Ply/ChrTX_Chd_Ply_0022_J01/ChrTX_Chd_Ply_0022_J01_N,Ply/ChrTX_Chd_Ply_0022_J01/ChrTX_Chd_Ply_0022_J01_B,,2070,0,0,0
1023,Ply/ChrTX_Chd_Ply_0023_J06/ChrTX_Chd_Ply_0023_J06_N,Ply/ChrTX_Chd_Ply_0023_J06/ChrTX_Chd_Ply_0023_J06_B,,2070,0,0,0
1024,Ply/ChrTX_Chd_Ply_0024_J06/ChrTX_Chd_Ply_0024_J06_N,Ply/ChrTX_Chd_Ply_0024_J06/ChrTX_Chd_Ply_0024_J06_B,,2070,0,0,0
1025,Ply/ChrTX_Chd_Ply_0025_J03/ChrTX_Chd_Ply_0025_J03_N,Ply/ChrTX_Chd_Ply_0025_J03/ChrTX_Chd_Ply_0025_J03_B,,2070,0,0,0
1026,Ply/ChrTX_Chd_Ply_0026_J07/ChrTX_Chd_Ply_0026_J07_N,Ply/ChrTX_Chd_Ply_0026_J07/ChrTX_Chd_Ply_0026_J07_B,,2070,0,0,0
1027,Ply/ChrTX_Chd_Ply_0027_J07/ChrTX_Chd_Ply_0027_J07_N,Ply/ChrTX_Chd_Ply_0027_J07/ChrTX_Chd_Ply_0027_J07_B,,2070,0,0,0
1028,Ply/ChrTX_Chd_Ply_0028_J07/ChrTX_Chd_Ply_0028_J07_N,Ply/ChrTX_Chd_Ply_0028_J07/ChrTX_Chd_Ply_0028_J07_B,,2070,0,0,0
1029,Ply/ChrTX_Chd_Ply_0029_J05/ChrTX_Chd_Ply_0029_J05_N,Ply/ChrTX_Chd_Ply_0029_J05/ChrTX_Chd_Ply_0029_J05_B,,2070,0,0,0
1030,Ply/ChrTX_Chd_Ply_0030_J05/ChrTX_Chd_Ply_0030_J05_N,Ply/ChrTX_Chd_Ply_0030_J05/ChrTX_Chd_Ply_0030_J05_B,,2070,0,0,0
1031,Ply/ChrTX_Chd_Ply_0031_J04/ChrTX_Chd_Ply_0031_J04_N,Ply/ChrTX_Chd_Ply_0031_J04/ChrTX_Chd_Ply_0031_J04_B,,2070,0,0,0
1032,Ply/ChrTX_Chd_Ply_0032_J05/ChrTX_Chd_Ply_0032_J05_N,Ply/ChrTX_Chd_Ply_0032_J05/ChrTX_Chd_Ply_0032_J05_B,,2070,0,0,0
1033,Ply/ChrTX_Chd_Ply_0033_J02/ChrTX_Chd_Ply_0033_J02_N,Ply/ChrTX_Chd_Ply_0033_J02/ChrTX_Chd_Ply_0033_J02_B,,2070,0,0,0
1034,Ply/ChrTX_Chd_Ply_0034_J02/ChrTX_Chd_Ply_0034_J02_N,Ply/ChrTX_Chd_Ply_0034_J02/ChrTX_Chd_Ply_0034_J02_B,,2070,0,0,0
1035,Ply/ChrTX_Chd_Ply_0035_J02/ChrTX_Chd_Ply_0035_J02_N,Ply/ChrTX_Chd_Ply_0035_J02/ChrTX_Chd_Ply_0035_J02_B,,2070,0,0,0
1036,Ply/ChrTX_Chd_Ply_0036_J02/ChrTX_Chd_Ply_0036_J02_N,Ply/ChrTX_Chd_Ply_0036_J02/ChrTX_Chd_Ply_0036_J02_B,,2070,0,0,0
1037,Ply/ChrTX_Chd_Ply_0037_J08/ChrTX_Chd_Ply_0037_J08_N,Ply/ChrTX_Chd_Ply_0037_J08/ChrTX_Chd_Ply_0037_J08_B,,2070,0,0,0
1038,Ply/ChrTX_Chd_Ply_0038_J08/ChrTX_Chd_Ply_0038_J08_N,Ply/ChrTX_Chd_Ply_0038_J08/ChrTX_Chd_Ply_0038_J08_B,,2070,0,0,0
1039,Ply/ChrTX_Chd_Ply_0039_J08/ChrTX_Chd_Ply_0039_J08_N,Ply/ChrTX_Chd_Ply_0039_J08/ChrTX_Chd_Ply_0039_J08_B,,2070,0,0,0
1040,Ply/ChrTX_Chd_Ply_0040_J08/ChrTX_Chd_Ply_0040_J08_N,Ply/ChrTX_Chd_Ply_0040_J08/ChrTX_Chd_Ply_0040_J08_B,,2070,0,0,0
1041,Ply/ChrTX_Chd_Ply_0041_J04/ChrTX_Chd_Ply_0041_J04_N,Ply/ChrTX_Chd_Ply_0041_J04/ChrTX_Chd_Ply_0041_J04_B,,2070,0,0,0
1042,Ply/ChrTX_Chd_Ply_0042_J04/ChrTX_Chd_Ply_0042_J04_N,Ply/ChrTX_Chd_Ply_0042_J04/ChrTX_Chd_Ply_0042_J04_B,,2070,0,0,0
1043,Ply/ChrTX_Chd_Ply_0043_J04/ChrTX_Chd_Ply_0043_J04_N,Ply/ChrTX_Chd_Ply_0043_J04/ChrTX_Chd_Ply_0043_J04_B,,2070,0,0,0
1044,Ply/ChrTX_Chd_Ply_0044_J01/ChrTX_Chd_Ply_0044_J01_N,Ply/ChrTX_Chd_Ply_0044_J01/ChrTX_Chd_Ply_0044_J01_B,,2070,0,0,0
1045,Ply/ChrTX_Chd_Ply_0045_J01/ChrTX_Chd_Ply_0045_J01_N,Ply/ChrTX_Chd_Ply_0045_J01/ChrTX_Chd_Ply_0045_J01_B,,2070,0,0,0
1046,Ply/ChrTX_Chd_Ply_0046_J01/ChrTX_Chd_Ply_0046_J01_N,Ply/ChrTX_Chd_Ply_0046_J01/ChrTX_Chd_Ply_0046_J01_B,,2070,0,0,0
1047,Ply/ChrTX_Chd_Ply_0047_J06/ChrTX_Chd_Ply_0047_J06_N,Ply/ChrTX_Chd_Ply_0047_J06/ChrTX_Chd_Ply_0047_J06_B,Ply/ChrTX_Chd_Ply_0047_J06/ChrTX_Chd_Ply_0047_J06_E,2070,0,0,0
1048,Ply/ChrTX_Chd_Ply_0048_J06/ChrTX_Chd_Ply_0048_J06_N,Ply/ChrTX_Chd_Ply_0048_J06/ChrTX_Chd_Ply_0048_J06_B,,2070,0,0,0
1049,Ply/ChrTX_Chd_Ply_0049_J06/ChrTX_Chd_Ply_0049_J06_N,Ply/ChrTX_Chd_Ply_0049_J06/ChrTX_Chd_Ply_0049_J06_B,,2070,0,0,0
1050,Ply/ChrTX_Chd_Ply_0050_J07/ChrTX_Chd_Ply_0050_J07_N,Ply/ChrTX_Chd_Ply_0050_J07/ChrTX_Chd_Ply_0050_J07_B,,2070,0,0,0
1051,Ply/ChrTX_Chd_Ply_0051_J07/ChrTX_Chd_Ply_0051_J07_N,Ply/ChrTX_Chd_Ply_0051_J07/ChrTX_Chd_Ply_0051_J07_B,,2070,0,0,0
1052,Ply/ChrTX_Chd_Ply_0052_J07/ChrTX_Chd_Ply_0052_J07_N,Ply/ChrTX_Chd_Ply_0052_J07/ChrTX_Chd_Ply_0052_J07_B,,2070,0,0,0
1053,Ply/ChrTX_Chd_Ply_0053_J05/ChrTX_Chd_Ply_0053_J05_N,Ply/ChrTX_Chd_Ply_0053_J05/ChrTX_Chd_Ply_0053_J05_B,,2070,0,0,0
1054,Ply/ChrTX_Chd_Ply_0054_J05/ChrTX_Chd_Ply_0054_J05_N,Ply/ChrTX_Chd_Ply_0054_J05/ChrTX_Chd_Ply_0054_J05_B,,2070,0,0,0
1055,Ply/ChrTX_Chd_Ply_0055_J05/ChrTX_Chd_Ply_0055_J05_N,Ply/ChrTX_Chd_Ply_0055_J05/ChrTX_Chd_Ply_0055_J05_B,,2070,0,0,0
1056,Ply/ChrTX_Chd_Ply_0056_J03/ChrTX_Chd_Ply_0056_J03_N,Ply/ChrTX_Chd_Ply_0056_J03/ChrTX_Chd_Ply_0056_J03_B,,2070,0,0,0
1057,Ply/ChrTX_Chd_Ply_0057_J03/ChrTX_Chd_Ply_0057_J03_N,Ply/ChrTX_Chd_Ply_0057_J03/ChrTX_Chd_Ply_0057_J03_B,,2070,0,0,0
1058,Ply/ChrTX_Chd_Ply_0058_J03/ChrTX_Chd_Ply_0058_J03_N,Ply/ChrTX_Chd_Ply_0058_J03/ChrTX_Chd_Ply_0058_J03_B,,2070,0,0,0
1059,Ply/ChrTX_Chd_Ply_0059_J02/ChrTX_Chd_Ply_0059_J02_N,Ply/ChrTX_Chd_Ply_0059_J02/ChrTX_Chd_Ply_0059_J02_B,,2070,0,0,0
1060,Ply/ChrTX_Chd_Ply_0060_J02/ChrTX_Chd_Ply_0060_J02_N,Ply/ChrTX_Chd_Ply_0060_J02/ChrTX_Chd_Ply_0060_J02_B,,2070,0,0,0
1061,Ply/ChrTX_Chd_Ply_0061_J02/ChrTX_Chd_Ply_0061_J02_N,Ply/ChrTX_Chd_Ply_0061_J02/ChrTX_Chd_Ply_0061_J02_B,,2071,0,0,0
1062,Ply/ChrTX_Chd_Ply_0062_J08/ChrTX_Chd_Ply_0062_J08_N,Ply/ChrTX_Chd_Ply_0062_J08/ChrTX_Chd_Ply_0062_J08_B,,2071,0,0,0
1063,Ply/ChrTX_Chd_Ply_0063_J08/ChrTX_Chd_Ply_0063_J08_N,Ply/ChrTX_Chd_Ply_0063_J08/ChrTX_Chd_Ply_0063_J08_B,,2071,0,0,0
1064,Ply/ChrTX_Chd_Ply_0064_J08/ChrTX_Chd_Ply_0064_J08_N,Ply/ChrTX_Chd_Ply_0064_J08/ChrTX_Chd_Ply_0064_J08_B,,2071,0,0,0
1066,Ply/ChrTX_Chd_Ply_0066_J01/ChrTX_Chd_Ply_0066_J01_N,Ply/ChrTX_Chd_Ply_0066_J01/ChrTX_Chd_Ply_0066_J01_B,,2071,0,0,0
1067,Ply/ChrTX_Chd_Ply_0067_J05/ChrTX_Chd_Ply_0067_J05_N,Ply/ChrTX_Chd_Ply_0067_J05/ChrTX_Chd_Ply_0067_J05_B,,2071,0,0,0
1068,Ply/ChrTX_Chd_Ply_0068_J08/ChrTX_Chd_Ply_0068_J08_N,Ply/ChrTX_Chd_Ply_0068_J08/ChrTX_Chd_Ply_0068_J08_B,Ply/ChrTX_Chd_Ply_0068_J08/ChrTX_Chd_Ply_0068_J08_E,2071,0,0,0
1069,Ply/ChrTX_Chd_Ply_0069_J01/ChrTX_Chd_Ply_0069_J01_N,Ply/ChrTX_Chd_Ply_0069_J01/ChrTX_Chd_Ply_0069_J01_B,Ply/ChrTX_Chd_Ply_0069_J01/ChrTX_Chd_Ply_0069_J01_E,2071,0,0,0
1070,Ply/ChrTX_Chd_Ply_0070_J07/ChrTX_Chd_Ply_0070_J07_N,Ply/ChrTX_Chd_Ply_0070_J07/ChrTX_Chd_Ply_0070_J07_B,,2071,0,0,0
50439,Ply/ChrTX_Chd_Ply_0070_J07_a/ChrTX_Chd_Ply_0070_J07_a_N,Ply/ChrTX_Chd_Ply_0070_J07_a/ChrTX_Chd_Ply_0070_J07_a_B,,9066,0,0,0
1071,Ply/ChrTX_Chd_Ply_0071_J02/ChrTX_Chd_Ply_0071_J02_N,Ply/ChrTX_Chd_Ply_0071_J02/ChrTX_Chd_Ply_0071_J02_B,,2071,0,0,0
1072,Ply/ChrTX_Chd_Ply_0072_J06/ChrTX_Chd_Ply_0072_J06_N,Ply/ChrTX_Chd_Ply_0072_J06/ChrTX_Chd_Ply_0072_J06_B,,2071,0,0,0
1073,Ply/ChrTX_Chd_Ply_0073_J04/ChrTX_Chd_Ply_0073_J04_N,Ply/ChrTX_Chd_Ply_0073_J04/ChrTX_Chd_Ply_0073_J04_B,,2071,0,0,0
1074,Ply/ChrTX_Chd_Ply_0074_J05/ChrTX_Chd_Ply_0074_J05_N,Ply/ChrTX_Chd_Ply_0074_J05/ChrTX_Chd_Ply_0074_J05_B,Ply/ChrTX_Chd_Ply_0074_J05/ChrTX_Chd_Ply_0074_J05_E,2071,0,0,0
1075,Ply/ChrTX_Chd_Ply_0075_J03/ChrTX_Chd_Ply_0075_J03_N,Ply/ChrTX_Chd_Ply_0075_J03/ChrTX_Chd_Ply_0075_J03_B,,2071,0,0,0
1080,Ply/ChrTX_Chd_Ply_0080_J06/ChrTX_Chd_Ply_0080_J06_N,Ply/ChrTX_Chd_Ply_0080_J06/ChrTX_Chd_Ply_0080_J06_B,,2071,0,0,0
1081,Ply/ChrTX_Chd_Ply_0081_J04/ChrTX_Chd_Ply_0081_J04_N,Ply/ChrTX_Chd_Ply_0081_J04/ChrTX_Chd_Ply_0081_J04_B,,2071,0,0,0
1082,Ply/ChrTX_Chd_Ply_0082_J05/ChrTX_Chd_Ply_0082_J05_N,Ply/ChrTX_Chd_Ply_0082_J05/ChrTX_Chd_Ply_0082_J05_B,,2071,0,0,0
1083,Ply/ChrTX_Chd_Ply_0083_J03/ChrTX_Chd_Ply_0083_J03_N,Ply/ChrTX_Chd_Ply_0083_J03/ChrTX_Chd_Ply_0083_J03_B,Ply/ChrTX_Chd_Ply_0083_J03/ChrTX_Chd_Ply_0083_J03_E,2071,0,0,0
1084,Ply/ChrTX_Chd_Ply_0084_J02/ChrTX_Chd_Ply_0084_J02_N,Ply/ChrTX_Chd_Ply_0084_J02/ChrTX_Chd_Ply_0084_J02_B,,2071,0,0,0
1086,Ply/ChrTX_Chd_Ply_0086_J08/ChrTX_Chd_Ply_0086_J08_N,Ply/ChrTX_Chd_Ply_0086_J08/ChrTX_Chd_Ply_0086_J08_B,Ply/ChrTX_Chd_Ply_0086_J08/ChrTX_Chd_Ply_0086_J08_E,2071,0,0,0
1088,Ply/ChrTX_Chd_Ply_0088_J04/ChrTX_Chd_Ply_0088_J04_N,Ply/ChrTX_Chd_Ply_0088_J04/ChrTX_Chd_Ply_0088_J04_B,,2071,0,0,0
1089,Ply/ChrTX_Chd_Ply_0089_J04/ChrTX_Chd_Ply_0089_J04_N,Ply/ChrTX_Chd_Ply_0089_J04/ChrTX_Chd_Ply_0089_J04_B,,2071,0,0,0
1097,Ply/ChrTX_Chd_Ply_0097_J03/ChrTX_Chd_Ply_0097_J03_N,Ply/ChrTX_Chd_Ply_0097_J03/ChrTX_Chd_Ply_0097_J03_B,Ply/ChrTX_Chd_Ply_0097_J03/ChrTX_Chd_Ply_0097_J03_E,2071,0,0,0
1099,Ply/ChrTX_Chd_Ply_0099_J01/ChrTX_Chd_Ply_0099_J01_N,Ply/ChrTX_Chd_Ply_0099_J01/ChrTX_Chd_Ply_0099_J01_B,,2071,0,0,0
1103,Ply/ChrTX_Chd_Ply_0103_J04/ChrTX_Chd_Ply_0103_J04_N,Ply/ChrTX_Chd_Ply_0103_J04/ChrTX_Chd_Ply_0103_J04_B,,2071,0,0,0
1105,Ply/ChrTX_Chd_Ply_0105_J05/ChrTX_Chd_Ply_0105_J05_N,Ply/ChrTX_Chd_Ply_0105_J05/ChrTX_Chd_Ply_0105_J05_B,Ply/ChrTX_Chd_Ply_0105_J05/ChrTX_Chd_Ply_0105_J05_E,2071,0,0,0
1107,Ply/ChrTX_Chd_Ply_0107_J07/ChrTX_Chd_Ply_0107_J07_N,Ply/ChrTX_Chd_Ply_0107_J07/ChrTX_Chd_Ply_0107_J07_B,Ply/ChrTX_Chd_Ply_0107_J07/ChrTX_Chd_Ply_0107_J07_E,2071,0,0,0
1110,Ply/ChrTX_Chd_Ply_0110_J06/ChrTX_Chd_Ply_0110_J06_N,Ply/ChrTX_Chd_Ply_0110_J06/ChrTX_Chd_Ply_0110_J06_B,,2071,0,0,0
1112,Ply/ChrTX_Chd_Ply_0112_J03/ChrTX_Chd_Ply_0112_J03_N,Ply/ChrTX_Chd_Ply_0112_J03/ChrTX_Chd_Ply_0112_J03_B,Ply/ChrTX_Chd_Ply_0112_J03/ChrTX_Chd_Ply_0112_J03_E,2071,0,0,0
1113,Ply/ChrTX_Chd_Ply_0113_J01/ChrTX_Chd_Ply_0113_J01_N,Ply/ChrTX_Chd_Ply_0113_J01/ChrTX_Chd_Ply_0113_J01_B,,2071,0,0,0
1120,Ply/ChrTX_Chd_Ply_0120_J07/ChrTX_Chd_Ply_0120_J07_N,Ply/ChrTX_Chd_Ply_0120_J07/ChrTX_Chd_Ply_0120_J07_B,Ply/ChrTX_Chd_Ply_0120_J07/ChrTX_Chd_Ply_0120_J07_E,2071,0,0,0
1122,Ply/ChrTX_Chd_Ply_0122_J06/ChrTX_Chd_Ply_0122_J06_N,Ply/ChrTX_Chd_Ply_0122_J06/ChrTX_Chd_Ply_0122_J06_B,,2072,0,0,0
1130,Ply/ChrTX_Chd_Ply_0130_J08/ChrTX_Chd_Ply_0130_J08_N,Ply/ChrTX_Chd_Ply_0130_J08/ChrTX_Chd_Ply_0130_J08_B,,2072,0,0,0
1131,Ply/ChrTX_Chd_Ply_0131_J02/ChrTX_Chd_Ply_0131_J02_N,Ply/ChrTX_Chd_Ply_0131_J02/ChrTX_Chd_Ply_0131_J02_B,,2072,0,0,0
1132,Ply/ChrTX_Chd_Ply_0132_J08/ChrTX_Chd_Ply_0132_J08_N,Ply/ChrTX_Chd_Ply_0132_J08/ChrTX_Chd_Ply_0132_J08_B,,2072,0,0,0
1133,Ply/ChrTX_Chd_Ply_0133_J01/ChrTX_Chd_Ply_0133_J01_N,Ply/ChrTX_Chd_Ply_0133_J01/ChrTX_Chd_Ply_0133_J01_B,Ply/ChrTX_Chd_Ply_0133_J01/ChrTX_Chd_Ply_0133_J01_E,2072,0,0,0
1184,Ply/ChrTX_Chd_Ply_0184_J01/ChrTX_Chd_Ply_0184_J01_N,Ply/ChrTX_Chd_Ply_0184_J01/ChrTX_Chd_Ply_0184_J01_B,,2073,0,0,0
1185,Ply/ChrTX_Chd_Ply_0185_J05/ChrTX_Chd_Ply_0185_J05_N,Ply/ChrTX_Chd_Ply_0185_J05/ChrTX_Chd_Ply_0185_J05_B,Ply/ChrTX_Chd_Ply_0185_J05/ChrTX_Chd_Ply_0185_J05_E,2073,0,0,0
