m_id,m_ShowOrder,m_UniqueID,m_CharaID,m_Name,m_VoiceID,m_CueSheet,m_VoiceSymbol,m_ProfileVoiceID,m_InfluenceID,m_InfluenceVals,m_JobID,m_GenderID,m_RareMin,m_RareMax,m_Exp,m_LimitBreakItemID,m_DefaultSkills,m_SupportSkills,m_InfoCommandSkills,m_InfoSupportSkills,m_EventID,m_Param,m_ResistWeapon,m_ResistMagic,m_ResistID,m_EquipDef,m_OrderTexUS,m_OrderTexVS,m_OrderScaleS,m_OrderTexUL,m_OrderTexVL,m_OrderScaleL,m_NameTexID,m_IllustID,m_MenuParam,m_IllustMaskID,m_IllustMaskParam,m_FlavorText,m_TownTextID,m_CampaignTriggerConditionID,m_EpiphanyItemID,m_StatusStoryTitle,m_StatusStoryIcon,m_GachaResultBgType,m_OverwriteBaseAttackSkill
0,0,0,0,28500,0,0,0,"[0, 0, 0]",0,"[0, 0, 0]",0,0,1,1,0,0,"[0, 0, 0]","[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,0.0,1.0,0.0,0.0,1.0,0,0,"[0.0, 0.0, 0.0, 0.0]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29500,0,0,0,0,0,0,0
1,0,1,1001,28612,1,3000,1,"[141, 142, 143]",1,"[10, 15, 20]",4,2,4,5,0,1,"[1000, 1001, 0]","[0, 0]","[1000, 1001, 1002, 1004, 1005, 1007, 1009, 1011, 1012, 0, 0, 0, 0, 0, 0]","[1003, 1008]",6001,"[0, 200, 80, 0, 0, 0, 0, 0, 0, 85, 105, 140, 120, 110, 90, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,-0.029999999329447746,0.9700000286102295,0.03999999910593033,0.07000000029802322,1.0,500,1,"[0.0, -0.30000001192092896, 1.7000000476837158, 1.7000000476837158]",1000,"[0.0, 1.899999976158142, 0.699999988079071, 0.05000000074505806, 1.0, 0.5, 1.0, 1.0, -0.10000000149011612, -0.6000000238418579, 1.0, 0.800000011920929, -0.6000000238418579, -0.6000000238418579, 0.30000001192092896, 0.30000001192092896, 0.8999999761581421, 0.8999999761581421, 0.699999988079071, 1.0, 0.8999999761581421, 0.699999988079071, 1.0]",29501,3257,0,9001,0,0,0,0
2,0,2,1002,28613,2,3001,2,"[141, 142, 143]",3,"[10, 15, 20]",1,2,4,5,0,2,"[1014, 1015, 0]","[0, 0]","[1014, 1015, 1016, 1018, 1019, 1021, 1023, 1025, 1026, 0, 0, 0, 0, 0, 0]","[1017, 1022]",6002,"[0, 290, 30, 0, 0, 0, 0, 0, 0, 140, 125, 90, 90, 110, 120, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.009999999776482582,-0.009999999776482582,1.0,0.009999999776482582,0.10000000149011612,1.0,501,2,"[-0.30000001192092896, -0.5, 1.7000000476837158, 1.7000000476837158]",1001,"[0.0, 2.0, 0.800000011920929, 0.05000000074505806, 1.0, 0.5, 0.8999999761581421, 1.5, 1.100000023841858, 1.2000000476837158, 0.75, 0.5, 0.8500000238418579, 0.25, 0.20000000298023224, 0.4000000059604645, 0.41999998688697815, 0.8999999761581421, 0.4000000059604645, 0.30000001192092896, 0.8999999761581421, 0.4000000059604645, 0.30000001192092896]",29502,3222,0,9002,0,0,0,0
3,0,3,1003,28614,3,3002,3,"[141, 142, 143]",3,"[10, 15, 20]",6,1,4,5,0,3,"[1028, 1029, 0]","[0, 0]","[1028, 1029, 1030, 1032, 1033, 1035, 1037, 1039, 1040, 0, 0, 0, 0, 0, 0]","[1031, 1036]",6003,"[0, 240, 50, 0, 0, 0, 0, 0, 0, 115, 85, 100, 105, 125, 140, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.029999999329447746,-0.05000000074505806,1.0,-0.009999999776482582,0.09000000357627869,1.0,502,3,"[-0.30000001192092896, -0.20000000298023224, 1.7000000476837158, 1.7000000476837158]",1002,"[300.0, 1.600000023841858, 0.5, 0.05000000074505806, 1.0, 0.5, 1.0, 1.399999976158142, 0.10000000149011612, 0.5, 1.0, 0.5, 0.5, 1.0, 1.0, 0.4000000059604645, 0.10000000149011612, 1.0, 0.6000000238418579, 0.25, 1.0, 0.4000000059604645, 0.30000001192092896]",29503,3321,0,9003,0,0,0,0
4,0,4,1004,28615,4,3003,4,"[141, 142, 143]",2,"[10, 15, 20]",7,1,4,5,0,4,"[1042, 1043, 0]","[0, 0]","[1042, 1043, 1044, 1046, 1047, 1049, 1051, 1053, 1054, 0, 0, 0, 0, 0, 0]","[1045, 1050]",6004,"[0, 340, 40, 0, 0, 0, 0, 0, 0, 120, 125, 105, 115, 85, 100, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.019999999552965164,-0.019999999552965164,1.0,0.0,0.10000000149011612,1.0,503,4,"[0.0, -0.5, 1.7000000476837158, 1.7000000476837158]",1003,"[40.0, 3.5, 0.699999988079071, 0.05000000074505806, 1.0, 0.5, 1.0, 1.2999999523162842, 0.0, 0.5, 1.0, 0.800000011920929, 0.3499999940395355, 1.2000000476837158, 0.8999999761581421, 0.6000000238418579, 0.20000000298023224, 0.699999988079071, 0.699999988079071, 0.10000000149011612, 0.8999999761581421, 0.699999988079071, 0.20000000298023224]",29504,3273,0,9004,0,0,0,0
5,0,5,1005,28616,5,3004,5,"[141, 142, 143]",3,"[10, 15, 20]",5,1,4,5,0,5,"[1056, 1057, 0]","[0, 0]","[1056, 1057, 1058, 1060, 1061, 1063, 1065, 1067, 1068, 0, 0, 0, 0, 0, 0]","[1059, 1064]",6005,"[0, 160, 60, 0, 0, 0, 0, 0, 0, 95, 110, 125, 135, 110, 105, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.009999999776482582,-0.03999999910593033,1.0,0.019999999552965164,0.07000000029802322,1.0,504,5,"[-0.20000000298023224, -0.5, 1.7000000476837158, 1.7000000476837158]",1004,"[330.0, 1.600000023841858, 0.550000011920929, 0.05000000074505806, 1.0, 0.5, 0.699999988079071, 0.8999999761581421, 0.0, 0.30000001192092896, 1.0, 0.75, -0.8999999761581421, 1.399999976158142, 0.8999999761581421, 0.6000000238418579, 0.30000001192092896, 0.699999988079071, 0.699999988079071, 0.10000000149011612, 0.8999999761581421, 0.699999988079071, 0.20000000298023224]",29505,3247,0,9005,0,0,0,0
6,0,6,1006,28617,6,3005,6,"[141, 142, 143]",1,"[10, 15, 20]",3,2,4,5,0,6,"[1070, 1071, 0]","[0, 0]","[1070, 1071, 1072, 1074, 1075, 1077, 1079, 1081, 1082, 0, 0, 0, 0, 0, 0]","[1073, 1078]",6006,"[0, 200, 40, 0, 0, 0, 0, 0, 0, 125, 105, 105, 95, 140, 120, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.009999999776482582,0.029999999329447746,1.0,0.0,0.11999999731779099,1.0,505,6,"[-0.17000000178813934, -0.38999998569488525, 1.7000000476837158, 1.7000000476837158]",1005,"[290.0, 1.899999976158142, 0.3499999940395355, 0.05000000074505806, 1.0, 0.5, 1.0, 1.399999976158142, -0.05000000074505806, 0.6000000238418579, 1.0, 0.800000011920929, -1.100000023841858, 1.2999999523162842, 0.8999999761581421, 0.4000000059604645, 0.20000000298023224, 0.8999999761581421, 0.5, 0.20000000298023224, 0.8999999761581421, 0.5, 0.20000000298023224]",29506,3227,0,9006,0,0,0,0
7,0,7,1007,28618,7,3006,7,"[141, 142, 143]",2,"[10, 15, 20]",2,1,4,5,0,7,"[1084, 1085, 0]","[0, 0]","[1084, 1085, 1086, 1088, 1089, 1091, 1093, 1095, 1096, 0, 0, 0, 0, 0, 0]","[1087, 1092]",6007,"[0, 290, 60, 0, 0, 0, 0, 0, 0, 105, 135, 115, 90, 115, 85, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.02500000037252903,-0.029999999329447746,1.0,0.009999999776482582,0.10000000149011612,1.0,506,7,"[-0.10000000149011612, -0.20000000298023224, 1.7000000476837158, 1.7000000476837158]",1006,"[0.0, 2.5999999046325684, 0.5, 0.05000000074505806, 1.0, 0.5, 1.0, 1.0, 0.11999999731779099, 0.6000000238418579, 1.0, 0.6000000238418579, -0.6000000238418579, 0.699999988079071, 1.0, 0.6499999761581421, 0.25, 1.0, 0.800000011920929, 0.4000000059604645, 1.0, 0.800000011920929, 0.4000000059604645]",29507,3278,0,9007,0,0,0,0
8,0,8,1008,28619,8,3007,8,"[141, 142, 143]",2,"[10, 15, 20]",8,2,4,5,0,8,"[1098, 1099, 0]","[0, 0]","[1098, 1099, 1100, 1102, 1103, 1105, 1107, 1109, 1110, 0, 0, 0, 0, 0, 0]","[1101, 1106]",6008,"[0, 170, 65, 0, 0, 0, 0, 0, 0, 100, 95, 125, 120, 120, 110, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.009999999776482582,-0.019999999552965164,1.0,0.009999999776482582,0.10000000149011612,1.0,507,8,"[-0.4000000059604645, -0.550000011920929, 1.7000000476837158, 1.7000000476837158]",1007,"[40.0, 1.7000000476837158, 0.5, 0.05000000074505806, 0.6000000238418579, 0.4000000059604645, 0.5, 1.25, 0.4000000059604645, 0.699999988079071, 0.8500000238418579, 0.800000011920929, 1.399999976158142, 1.2000000476837158, 0.800000011920929, 0.4000000059604645, 0.30000001192092896, 0.8999999761581421, 0.6000000238418579, 0.20000000298023224, 1.0, 0.5, 0.4000000059604645]",29508,3202,0,9008,0,0,0,0
9,0,9,1009,28620,9,3008,9,"[141, 142, 143]",1,"[10, 15, 20]",3,1,3,4,0,9,"[1112, 1113, 0]","[0, 0]","[1112, 1113, 1114, 1116, 1117, 1119, 1121, 0, 0, 0, 0, 0, 0, 0, 0]","[1115, 1120]",6009,"[0, 190, 40, 0, 0, 0, 0, 0, 0, 107, 95, 87, 83, 120, 110, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.07000000029802322,0.029999999329447746,1.0,0.0,0.11999999731779099,1.0,508,9,"[-0.25, -0.699999988079071, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29509,3278,0,0,0,0,0,0
