m_id,m_AnimType,m_Loop,m_FrontName,m_RearName,m_LeftName,m_RightName,m_UpperLeftName,m_UpperLeftName2,m_UpperLeftName3,m_UpperRightName,m_UpperRightName2,m_UpperRightName3,m_LowerLeftName,m_LowerLeftName2,m_LowerLeftName3,m_LowerRightName,m_LowerRightName2,m_LowerRightName3,m_Idle
0,0,194,,,,,,,,,,,,,,,,,194
1,0,195,Nmov_Idl_FR,Nmov_Idl_BK,Nmov_Idl_LS,,,,,,,,,,,,,,195
2,0,195,Nran_Idl_FR,Nran_Idl_BK,Nran_Idl_LS,,,,,,,,,,,,,,195
3,0,195,Nmov_Wlk_FR,Nmov_Wlk_BK,Nmov_Wlk_LS,,,,,,,,,,,,,,194
4,0,195,Nran_Wlk_FR,Nran_Wlk_BK,Nran_Wlk_LS,,,,,,,,,,,,,,194
5,0,195,Nmov_Run_FR,Nmov_Run_BK,Nmov_Run_LS,,,,,,,,,,,,,,194
6,0,195,Nran_Run_FR,Nran_Run_BK,Nran_Run_LS,,,,,,,,,,,,,,194
7,0,194,Ncom_Fas_FR,,,,,,,,,,,,,,,,194
8,0,195,,,Ncom_Shk_LS,,,,,,,,,,,,,,194
9,0,195,Ncom_Opn_FR,,Ncom_Opn_LS,,,,,,,,,,,,,,194
10,0,195,Ncom_Lok_FR,Ncom_Lok_BK,Ncom_Lok_LS,,,,,,,,,,,,,,194
11,0,195,,,Ncom_Bhn_LS,,,,,,,,,,,,,,194
12,0,195,,,Ncom_Fin_LS,,,,,,,,,,,,,,194
13,0,195,,,Ncom_Hoh_LS,,,,,,,,,,,,,,194
14,0,195,,,Ncom_Arm_LS,,,,,,,,,,,,,,194
15,0,195,,,Ncom_Hit_LS,,,,,,,,,,,,,,194
16,0,195,,,Ncom_Trn_LS,,,,,,,,,,,,,,194
17,0,194,Nemo_Ang_FR,,Nemo_Ang_LS,,,,,,,,,,,,,,194
18,0,194,Nemo_Srp_FR,,Nemo_Srp_LS,,,,,,,,,,,,,,194
