m_id,m_GetJP,m_Param,m_CureRate,m_Exp
0,0,"[0, 25, 2, 5, 0, 25, 2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",100,"[0, 0, 0, 0, 0, 0, 0, 0]"
1,0,"[0, 25, 2, 5, 0, 25, 2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",100,"[10, 10, 10, 10, 10, 10, 10, 10]"
2,1,"[0, 50, 4, 5, 0, 50, 4, 0, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2]",110,"[15, 15, 15, 15, 15, 15, 15, 15]"
3,1,"[0, 75, 6, 5, 0, 75, 6, 0, 0, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3]",120,"[20, 20, 20, 20, 20, 20, 20, 20]"
4,1,"[0, 100, 8, 5, 0, 100, 8, 0, 0, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4]",130,"[30, 30, 30, 30, 30, 30, 30, 30]"
5,1,"[0, 125, 10, 5, 0, 125, 10, 0, 0, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5]",140,"[40, 40, 40, 40, 40, 40, 40, 40]"
6,1,"[0, 150, 12, 5, 0, 150, 12, 0, 0, 6, 6, 6, 6, 6, 6, 0, 6, 6, 6, 6, 6]",150,"[55, 55, 55, 55, 55, 55, 55, 55]"
7,1,"[0, 175, 14, 5, 0, 175, 14, 0, 0, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7]",160,"[70, 70, 70, 70, 70, 70, 70, 70]"
8,1,"[0, 200, 16, 5, 0, 200, 16, 0, 0, 8, 8, 8, 8, 8, 8, 0, 8, 8, 8, 8, 8]",170,"[85, 85, 85, 85, 85, 85, 85, 85]"
9,1,"[0, 225, 18, 5, 0, 225, 18, 0, 0, 9, 9, 9, 9, 9, 9, 0, 9, 9, 9, 9, 9]",180,"[105, 105, 105, 105, 105, 105, 105, 105]"
10,2,"[0, 250, 20, 5, 0, 250, 20, 0, 0, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10]",190,"[125, 125, 125, 125, 125, 125, 125, 125]"
11,1,"[0, 275, 22, 5, 0, 275, 22, 0, 0, 11, 11, 11, 11, 11, 11, 0, 11, 11, 11, 11, 11]",200,"[180, 180, 180, 180, 180, 180, 180, 180]"
12,1,"[0, 300, 24, 5, 0, 300, 24, 0, 0, 12, 12, 12, 12, 12, 12, 0, 12, 12, 12, 12, 12]",203,"[250, 250, 250, 250, 250, 250, 250, 250]"
13,1,"[0, 325, 26, 5, 0, 325, 26, 0, 0, 13, 13, 13, 13, 13, 13, 0, 13, 13, 13, 13, 13]",206,"[340, 340, 340, 340, 340, 340, 340, 340]"
14,1,"[0, 350, 28, 5, 0, 350, 28, 0, 0, 14, 14, 14, 14, 14, 14, 0, 14, 14, 14, 14, 14]",209,"[450, 450, 450, 450, 450, 450, 450, 450]"
15,1,"[0, 375, 30, 5, 0, 375, 30, 0, 0, 15, 15, 15, 15, 15, 15, 0, 15, 15, 15, 15, 15]",212,"[590, 590, 590, 590, 590, 590, 590, 590]"
16,1,"[0, 400, 32, 5, 0, 400, 32, 0, 0, 16, 16, 16, 16, 16, 16, 0, 16, 16, 16, 16, 16]",215,"[770, 770, 770, 770, 770, 770, 770, 770]"
17,1,"[0, 425, 34, 5, 0, 425, 34, 0, 0, 17, 17, 17, 17, 17, 17, 0, 17, 17, 17, 17, 17]",218,"[990, 990, 990, 990, 990, 990, 990, 990]"
18,1,"[0, 450, 36, 5, 0, 450, 36, 0, 0, 18, 18, 18, 18, 18, 18, 0, 18, 18, 18, 18, 18]",221,"[1260, 1260, 1260, 1260, 1260, 1260, 1260, 1260]"
19,1,"[0, 475, 38, 5, 0, 475, 38, 0, 0, 19, 19, 19, 19, 19, 19, 0, 19, 19, 19, 19, 19]",224,"[1580, 1580, 1580, 1580, 1580, 1580, 1580, 1580]"
20,2,"[0, 500, 40, 5, 0, 500, 40, 0, 0, 20, 20, 20, 20, 20, 20, 0, 20, 20, 20, 20, 20]",227,"[1960, 1960, 1960, 1960, 1960, 1960, 1960, 1960]"
21,1,"[0, 525, 42, 5, 0, 525, 42, 0, 0, 21, 21, 21, 21, 21, 21, 0, 21, 21, 21, 21, 21]",230,"[2420, 2420, 2420, 2420, 2420, 2420, 2420, 2420]"
22,1,"[0, 550, 44, 5, 0, 550, 44, 0, 0, 22, 22, 22, 22, 22, 22, 0, 22, 22, 22, 22, 22]",231,"[2960, 2960, 2960, 2960, 2960, 2960, 2960, 2960]"
23,1,"[0, 575, 46, 5, 0, 575, 46, 0, 0, 23, 23, 23, 23, 23, 23, 0, 23, 23, 23, 23, 23]",232,"[3590, 3590, 3590, 3590, 3590, 3590, 3590, 3590]"
24,1,"[0, 600, 48, 5, 0, 600, 48, 0, 0, 24, 24, 24, 24, 24, 24, 0, 24, 24, 24, 24, 24]",233,"[4330, 4330, 4330, 4330, 4330, 4330, 4330, 4330]"
25,1,"[0, 625, 50, 5, 0, 625, 50, 0, 0, 25, 25, 25, 25, 25, 25, 0, 25, 25, 25, 25, 25]",234,"[5190, 5190, 5190, 5190, 5190, 5190, 5190, 5190]"
26,1,"[0, 650, 52, 5, 0, 650, 52, 0, 0, 26, 26, 26, 26, 26, 26, 0, 26, 26, 26, 26, 26]",235,"[6180, 6180, 6180, 6180, 6180, 6180, 6180, 6180]"
27,1,"[0, 675, 54, 5, 0, 675, 54, 0, 0, 27, 27, 27, 27, 27, 27, 0, 27, 27, 27, 27, 27]",236,"[7320, 7320, 7320, 7320, 7320, 7320, 7320, 7320]"
28,1,"[0, 700, 56, 5, 0, 700, 56, 0, 0, 28, 28, 28, 28, 28, 28, 0, 28, 28, 28, 28, 28]",237,"[8630, 8630, 8630, 8630, 8630, 8630, 8630, 8630]"
29,1,"[0, 725, 58, 5, 0, 725, 58, 0, 0, 29, 29, 29, 29, 29, 29, 0, 29, 29, 29, 29, 29]",238,"[10120, 10120, 10120, 10120, 10120, 10120, 10120, 10120]"
