m_id,m_Category,m_Grade,m_DisplayOrder,m_HideAchieved,m_HideCondAchieved,m_HideAfterAquired,m_OpenCondAchieve,m_OpenCondQuest,m_OpenCondOther,m_Title,m_Description,m_ConditionID,m_AddInfluence,m_RewardType,m_RewardItemId,m_RewardItemNum,m_RewardOption0,m_LimitedTimeId,m_LimitedStartTimestamp,m_LimitedEndTimestamp,m_AfterAchieveLimitNum,m_LimitNumHide
0,0,0,0,194,194,194,0,0,0,0,0,0,"[0, 0, 0]","[210, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
1,1,1,10001,194,194,194,0,0,0,111251,116252,90001,"[10, 0, 0]","[210, 0, 0, 0]","[50204, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
2,1,2,10002,194,194,194,1,0,0,111252,116253,90002,"[10, 0, 0]","[210, 0, 0, 0]","[50204, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
3,1,3,10003,194,194,194,2,0,0,111253,116254,90003,"[10, 0, 0]","[210, 0, 0, 0]","[50205, 0, 0, 0]","[5, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
4,1,1,10004,194,194,194,0,0,0,111254,116255,90004,"[0, 10, 0]","[210, 0, 0, 0]","[50204, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
5,1,2,10005,194,194,194,4,0,0,111255,116256,90005,"[0, 10, 0]","[210, 0, 0, 0]","[50204, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
6,1,3,10006,194,194,194,5,0,0,111256,116257,90006,"[0, 10, 0]","[210, 0, 0, 0]","[50205, 0, 0, 0]","[5, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
7,1,1,10007,194,194,194,0,0,0,111257,116258,90007,"[0, 0, 10]","[210, 0, 0, 0]","[50204, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
8,1,2,10008,194,194,194,7,0,0,111258,116259,90008,"[0, 0, 10]","[210, 0, 0, 0]","[50204, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
9,1,3,10009,194,194,194,8,0,0,111259,116260,90009,"[0, 0, 10]","[210, 0, 0, 0]","[50205, 0, 0, 0]","[5, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
10,1,1,10010,194,194,194,0,0,3000,111260,116261,90010,"[10, 10, 10]","[210, 0, 0, 0]","[50205, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
11,1,1,10011,194,194,194,10,0,0,111261,116262,90011,"[10, 10, 10]","[210, 0, 0, 0]","[50206, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
12,1,1,10012,194,194,194,11,0,0,111262,116263,90012,"[10, 10, 10]","[210, 0, 0, 0]","[50206, 0, 0, 0]","[4, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13,1,1,10013,194,194,194,12,0,0,111263,116264,90013,"[10, 10, 10]","[210, 0, 0, 0]","[50206, 0, 0, 0]","[6, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
14,1,1,10014,194,194,194,13,0,0,111264,116265,90014,"[10, 10, 10]","[210, 0, 0, 0]","[50206, 0, 0, 0]","[8, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
15,1,2,10015,194,194,194,14,0,0,111265,116266,90015,"[10, 10, 10]","[210, 0, 0, 0]","[50206, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
16,1,2,10016,194,194,194,15,0,0,111266,116267,90016,"[10, 10, 10]","[210, 0, 0, 0]","[50206, 0, 0, 0]","[12, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
17,1,2,10017,194,194,194,16,0,0,111267,116268,90017,"[10, 10, 10]","[210, 0, 0, 0]","[50206, 0, 0, 0]","[14, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
18,1,3,10018,194,194,194,17,0,0,111268,116269,90018,"[10, 10, 10]","[210, 0, 0, 0]","[50206, 0, 0, 0]","[20, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
244,1,3,10019,194,194,194,18,0,0,111494,116495,90244,"[10, 10, 10]","[210, 0, 0, 0]","[50206, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13021,1,1,10020,194,194,194,0,1005000,0,120345,120358,103013,"[20, 0, 0]","[210, 0, 0, 0]","[50209, 0, 0, 0]","[5, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13022,1,1,10021,194,194,194,0,1005010,0,120346,120359,103014,"[20, 0, 0]","[210, 0, 0, 0]","[50209, 0, 0, 0]","[6, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13023,1,2,10022,194,194,194,0,1005020,0,120347,120360,103015,"[20, 0, 0]","[210, 0, 0, 0]","[50209, 0, 0, 0]","[7, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13025,1,1,10024,194,194,194,0,1006000,0,120349,120362,103017,"[0, 20, 0]","[210, 0, 0, 0]","[50209, 0, 0, 0]","[5, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13026,1,1,10025,194,194,194,0,1006010,0,120350,120363,103018,"[0, 20, 0]","[210, 0, 0, 0]","[50209, 0, 0, 0]","[6, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13027,1,2,10026,194,194,194,0,1006020,0,120351,120364,103019,"[0, 20, 0]","[210, 0, 0, 0]","[50209, 0, 0, 0]","[7, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13029,1,1,10028,194,194,194,0,1007000,0,120353,120366,103021,"[0, 0, 20]","[210, 0, 0, 0]","[50209, 0, 0, 0]","[5, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13030,1,1,10029,194,194,194,0,1007010,0,120354,120367,103022,"[0, 0, 20]","[210, 0, 0, 0]","[50209, 0, 0, 0]","[6, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
9009,1,1,11001,194,194,194,0,1004090,0,120317,120329,95001,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
9010,1,1,11002,194,194,194,9009,0,0,120318,120330,95002,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
9011,1,1,11003,194,194,194,9010,0,0,120319,120331,95003,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
