m_id,m_RankWE,m_RankPO,m_RankFA,m_BonusType,m_Bonus
0,0,0,0,0,0
100,0,2,0,1,2
101,0,3,0,1,4
102,0,5,0,1,6
103,0,7,0,1,8
104,0,8,0,1,10
105,0,10,0,1,12
106,0,12,0,1,14
107,0,13,0,1,16
108,0,15,0,1,18
109,0,17,0,1,20
110,0,18,0,1,22
111,0,20,0,1,24
112,0,22,0,1,26
113,0,23,0,1,28
114,0,25,0,1,30
115,0,26,0,1,32
116,0,28,0,1,34
117,0,29,0,1,36
118,0,31,0,1,38
119,0,32,0,1,40
120,0,34,0,1,42
121,0,35,0,1,44
122,0,37,0,1,46
123,0,38,0,1,48
124,0,40,0,1,50
200,0,0,2,2,2
201,0,0,4,2,4
202,0,0,6,2,6
203,0,0,8,2,8
204,0,0,10,2,10
205,0,0,12,2,12
206,0,0,14,2,14
207,0,0,16,2,16
208,0,0,18,2,18
209,0,0,20,2,20
210,0,0,22,2,22
211,0,0,24,2,24
212,0,0,26,2,26
213,0,0,28,2,28
214,0,0,30,2,30
215,0,0,32,2,32
216,0,0,34,2,34
217,0,0,36,2,36
218,0,0,37,2,38
219,0,0,39,2,40
220,0,0,40,2,42
221,0,0,42,2,44
222,0,0,43,2,46
223,0,0,45,2,48
224,0,0,46,2,50
300,2,0,0,3,2
301,5,0,0,3,4
302,7,0,0,3,6
303,10,0,0,3,8
304,12,0,0,3,10
305,15,0,0,3,12
306,17,0,0,3,14
307,20,0,0,3,16
308,22,0,0,3,18
309,25,0,0,3,20
310,27,0,0,3,22
311,30,0,0,3,24
312,32,0,0,3,26
313,35,0,0,3,28
314,37,0,0,3,30
315,40,0,0,3,32
316,42,0,0,3,34
317,45,0,0,3,36
318,47,0,0,3,38
319,50,0,0,3,40
400,3,0,0,4,2
401,6,0,0,4,4
402,8,0,0,4,6
403,11,0,0,4,8
404,13,0,0,4,10
405,16,0,0,4,12
406,18,0,0,4,14
407,21,0,0,4,16
408,23,0,0,4,18
409,26,0,0,4,20
410,28,0,0,4,22
411,31,0,0,4,24
412,33,0,0,4,26
413,36,0,0,4,28
414,38,0,0,4,30
415,41,0,0,4,32
416,43,0,0,4,34
417,46,0,0,4,36
418,48,0,0,4,38
419,51,0,0,4,40
500,0,6,0,5,1
501,0,11,0,5,2
502,0,16,0,5,3
503,0,21,0,5,4
600,0,0,3,6,1
601,0,0,7,6,2
602,0,0,11,6,3
603,0,0,15,6,4
604,0,0,19,6,5
605,0,0,23,6,6
606,0,0,27,6,7
607,0,0,31,6,8
608,0,0,35,6,9
609,0,0,41,6,10
700,0,4,0,7,10
701,0,9,0,7,20
702,0,14,0,7,30
703,0,19,0,7,40
704,0,24,0,7,50
705,0,27,0,7,60
706,0,30,0,7,70
707,0,33,0,7,80
708,0,36,0,7,90
709,0,39,0,7,100
800,4,0,0,8,10
801,9,0,0,8,20
802,14,0,0,8,30
803,19,0,0,8,40
804,24,0,0,8,50
805,29,0,0,8,60
806,34,0,0,8,70
807,39,0,0,8,80
808,44,0,0,8,90
809,49,0,0,8,100
900,0,0,5,9,2
901,0,0,9,9,4
902,0,0,13,9,6
903,0,0,17,9,8
904,0,0,21,9,10
905,0,0,25,9,12
906,0,0,29,9,14
907,0,0,33,9,16
908,0,0,38,9,18
909,0,0,44,9,20
