m_id,m_InfluenceType,m_Level,m_NeedPoint,m_RankName,m_RewardType,m_RewardItemId,m_RewardItemNum,m_RewardOption0
0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
1001,1,1,0,120001,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
1002,1,2,100,120002,"[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]"
1003,1,3,210,120003,"[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]"
1004,1,4,330,120004,"[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]"
1005,1,5,460,120005,"[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]"
1006,1,6,600,120006,"[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]"
1007,1,7,750,120007,"[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]"
1008,1,8,910,120008,"[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]"
1009,1,9,1080,120009,"[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]"
1010,1,10,1260,120010,"[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]"
1011,1,11,1450,120011,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1012,1,12,1650,120012,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1013,1,13,1860,120013,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1014,1,14,2080,120014,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1015,1,15,2310,120015,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1016,1,16,2550,120016,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1017,1,17,2800,120017,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1018,1,18,3060,120018,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1019,1,19,3330,120019,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1020,1,20,3610,120020,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1021,1,21,3900,120021,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1022,1,22,4200,120022,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1023,1,23,4510,120023,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1024,1,24,4830,120024,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1025,1,25,5160,120025,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1026,1,26,5500,120026,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1027,1,27,5850,120027,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1028,1,28,6210,120028,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1029,1,29,6580,120029,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1030,1,30,6960,120030,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1031,1,31,7350,120031,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1032,1,32,7750,120032,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1033,1,33,8160,120033,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1034,1,34,8580,120034,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1035,1,35,9010,120035,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1036,1,36,9450,120036,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1037,1,37,9900,120037,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1038,1,38,10360,120038,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1039,1,39,10830,120039,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1040,1,40,11310,120040,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1041,1,41,11800,120041,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1042,1,42,12300,120042,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1043,1,43,12810,120043,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1044,1,44,13330,120044,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1045,1,45,13860,120045,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1046,1,46,14400,120046,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1047,1,47,14950,120047,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1048,1,48,15510,120048,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1049,1,49,16080,120049,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1050,1,50,16660,120050,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1051,1,51,17250,120051,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
1052,1,52,17850,120052,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
