m_id,m_EffectLabel,m_EffectCategory,m_EffectAsset,m_SpawnMax,m_LoopEffect,m_Enemy,m_PossibleReverse,m_Color
0,PC_SWORD_ALL_S,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Fencer/FxPS_Btl_FenLargeSlash_A.FxPS_Btl_FenLargeSlash_A,1,194,194,194,"[1.0, 1.0, 1.0]"
1,EFFECT_DAMY_00001,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Fencer/Eff_Btl_PC_VerticleSlash_All_Shot_A.Eff_Btl_PC_VerticleSlash_All_Shot_A,0,194,194,194,"[1.0, 1.0, 1.0]"
2,COM_BUFF_ATK_SELF,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Fencer/Eff_Blt_Com_Charge_Single_Shot_A.Eff_Blt_Com_Charge_Single_Shot_A,4,194,194,194,"[1.0, 1.0, 1.0]"
3,PC_SPEAR_SINGLE_M,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Fencer/Eff_Btl_PC_SpearHeadStrike_Single_Shot_A.Eff_Btl_PC_SpearHeadStrike_Single_Shot_A,8,194,194,194,"[1.0, 1.0, 1.0]"
4,PC_CROSS_SINGLE_L,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Fencer/Eff_Btl_PC_CCrossSlash_Single_Shot_A.Eff_Btl_PC_CCrossSlash_Single_Shot_A,4,194,194,194,"[1.0, 1.0, 1.0]"
5,COM_OMEN_SELF_L,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Fencer/Eff_Btl_Com_AttackStressUpL_Single_Shot_A.Eff_Btl_Com_AttackStressUpL_Single_Shot_A,0,194,194,194,"[1.0, 1.0, 1.0]"
6,PC_SWORD_CROSS_SINGLE_LL,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Fencer/Eff_Blt_PC_SlashXL_Single_Shot_A.Eff_Blt_PC_SlashXL_Single_Shot_A,0,194,194,194,"[1.0, 1.0, 1.0]"
7,PC_FIRE_ALL_SP,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Scholar/FxPS_Btl_schFireMagicBst2_A.FxPS_Btl_SchFireMagicBst2_A,4,194,194,194,"[1.0, 1.0, 1.0]"
8,PC_ICE_ALL_SP,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Scholar/FxPS_Btl_schIceMagicBst0_A.FxPS_Btl_SchIceMagicBst0_A,4,194,194,194,"[1.0, 1.0, 1.0]"
9,PC_THUNDER_ALL_SP,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Scholar/FxPS_Btl_SchThunderMagicBst0_A.FxPS_Btl_SchThunderMagicBst0_A,4,194,194,194,"[1.0, 1.0, 1.0]"
10,COM_SEARCH,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Scholar/FxPS_Btl_Schsearch_A.FxPS_Btl_Schsearch_A,8,194,194,194,"[1.0, 1.0, 1.0]"
11,PC_FIRE_ALL_L,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Scholar/FxPS_Btl_schFireMagicBst2_B.FxPS_Btl_schFireMagicBst2_B,4,194,194,194,"[1.0, 1.0, 1.0]"
