m_id,m_RewardType,m_RewardItemId,m_DropRates,m_DropCntF,m_DropCntR,m_RewardOption0,m_EventDropQuestIDs
0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
1,"[250, 0, 0, 0, 0]","[43, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2,"[250, 0, 0, 0, 0]","[217, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
3,"[250, 0, 0, 0, 0]","[101, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
4,"[250, 0, 0, 0, 0]","[159, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
5,"[250, 0, 0, 0, 0]","[43, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
6,"[250, 0, 0, 0, 0]","[217, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
7,"[250, 0, 0, 0, 0]","[101, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
8,"[250, 0, 0, 0, 0]","[159, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
9,"[250, 0, 0, 0, 0]","[44, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
10,"[250, 0, 0, 0, 0]","[102, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
11,"[250, 0, 0, 0, 0]","[218, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
12,"[250, 0, 0, 0, 0]","[160, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
13,"[250, 0, 0, 0, 0]","[45, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
14,"[250, 0, 0, 0, 0]","[219, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
15,"[250, 0, 0, 0, 0]","[161, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
16,"[250, 0, 0, 0, 0]","[103, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
17,"[250, 0, 0, 0, 0]","[105, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
18,"[250, 0, 0, 0, 0]","[221, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
19,"[250, 0, 0, 0, 0]","[47, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
20,"[250, 0, 0, 0, 0]","[163, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
21,"[250, 0, 0, 0, 0]","[105, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
22,"[250, 0, 0, 0, 0]","[221, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
23,"[250, 0, 0, 0, 0]","[47, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
24,"[250, 0, 0, 0, 0]","[163, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
25,"[250, 0, 0, 0, 0]","[166, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
26,"[250, 0, 0, 0, 0]","[50, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
27,"[250, 0, 0, 0, 0]","[224, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
28,"[250, 0, 0, 0, 0]","[108, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
29,"[250, 0, 0, 0, 0]","[166, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
30,"[250, 0, 0, 0, 0]","[50, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
31,"[250, 0, 0, 0, 0]","[224, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
32,"[250, 0, 0, 0, 0]","[108, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
33,"[250, 0, 0, 0, 0]","[49, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
34,"[250, 0, 0, 0, 0]","[223, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
35,"[250, 0, 0, 0, 0]","[107, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
36,"[250, 0, 0, 0, 0]","[165, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
37,"[250, 0, 0, 0, 0]","[101, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
38,"[250, 0, 0, 0, 0]","[159, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
39,"[250, 0, 0, 0, 0]","[43, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
40,"[250, 0, 0, 0, 0]","[217, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
41,"[250, 0, 0, 0, 0]","[101, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
42,"[250, 0, 0, 0, 0]","[159, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
43,"[250, 0, 0, 0, 0]","[43, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
44,"[250, 0, 0, 0, 0]","[217, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
45,"[250, 0, 0, 0, 0]","[160, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
46,"[250, 0, 0, 0, 0]","[218, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
47,"[250, 0, 0, 0, 0]","[44, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
48,"[250, 0, 0, 0, 0]","[102, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
49,"[250, 0, 0, 0, 0]","[103, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
50,"[250, 0, 0, 0, 0]","[161, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
51,"[250, 0, 0, 0, 0]","[219, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
52,"[250, 0, 0, 0, 0]","[45, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
53,"[250, 0, 0, 0, 0]","[105, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
54,"[250, 0, 0, 0, 0]","[221, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
55,"[250, 0, 0, 0, 0]","[47, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
56,"[250, 0, 0, 0, 0]","[163, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
57,"[250, 0, 0, 0, 0]","[105, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
58,"[250, 0, 0, 0, 0]","[221, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
59,"[250, 0, 0, 0, 0]","[47, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
60,"[250, 0, 0, 0, 0]","[163, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
61,"[250, 0, 0, 0, 0]","[224, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
62,"[250, 0, 0, 0, 0]","[108, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
63,"[250, 0, 0, 0, 0]","[50, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
64,"[250, 0, 0, 0, 0]","[166, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
65,"[250, 0, 0, 0, 0]","[224, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
66,"[250, 0, 0, 0, 0]","[108, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
67,"[250, 0, 0, 0, 0]","[50, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
68,"[250, 0, 0, 0, 0]","[166, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
69,"[250, 0, 0, 0, 0]","[49, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
70,"[250, 0, 0, 0, 0]","[223, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
71,"[250, 0, 0, 0, 0]","[165, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
72,"[250, 0, 0, 0, 0]","[107, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
73,"[250, 0, 0, 0, 0]","[47, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
74,"[250, 0, 0, 0, 0]","[221, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
75,"[250, 0, 0, 0, 0]","[163, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
