m_id,m_Label,m_TypeID,m_DisplayLevel,m_BreakRate,m_MaxSLD,m_MaxHP,m_MaxSP,m_AtkP,m_DefP,m_AtkM,m_DefM,m_Agi,m_Crt,m_CrtDef,m_EquipAtk,m_ResistAilmentID,m_ResistAilment,m_TacticalAssignID,m_SkillsID,m_Exp,m_Money,m_DropReward,m_EventDropRewards,m_StatusOffset,m_Bottle,m_NameUI,m_LevelUI,m_HpUI,m_ShieldUI,m_RaceIndices,m_DisplaySpecialSkillGauge,m_GenerateSpecialSkillValueOrverTurn,m_ReduceSpecialSkillValueBreak,m_MaxSpecialSkillValue
0,NONE,0,,200,1,1,1,1,1,1,1,1,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,"[0, 0, 0]","[0.0, 0.0]",0,194,194,194,194,"[0, 0, 0]",194,0,0,0
1,Forest_Enemy_01a_001,100,1,200,2,91,2,99,10,99,7,69,56,110,10,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,4,19,1,"[0, 0, 0]","[0.0, 0.0]",0,195,195,195,195,"[0, 1, 0]",194,0,0,0
2,Forest_Enemy_01a_002,101,1,200,2,82,2,99,11,99,8,68,65,110,10,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",3,2,3,19,2,"[0, 0, 0]","[0.0, 0.0]",0,195,195,195,195,"[0, 2, 0]",194,0,0,0
3,Forest_Enemy_01a_003,102,1,200,2,87,2,104,7,104,4,72,53,110,10,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",3,3,3,20,3,"[0, 0, 0]","[0.0, 0.0]",0,195,195,195,195,"[0, 3, 0]",194,0,0,0
4,Forest_Enemy_01a_004,103,1,200,2,96,2,93,12,93,9,65,60,110,10,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",8,4,4,19,4,"[0, 0, 0]","[0.0, 0.0]",0,195,195,195,195,"[0, 4, 0]",194,0,0,0
5,Forest_Enemy_01b_001,100,1,200,2,91,2,99,10,99,7,69,56,110,10,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",2,6,4,19,5,"[0, 0, 0]","[0.0, 0.0]",0,195,195,195,195,"[0, 1, 0]",194,0,0,0
6,Forest_Enemy_01b_002,101,1,200,2,82,2,99,11,99,8,68,65,110,10,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",3,7,3,19,6,"[0, 0, 0]","[0.0, 0.0]",0,195,195,195,195,"[0, 2, 0]",194,0,0,0
7,Forest_Enemy_01b_003,102,1,200,2,87,2,104,7,104,4,72,53,110,10,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",3,8,3,20,7,"[0, 0, 0]","[0.0, 0.0]",0,195,195,195,195,"[0, 3, 0]",194,0,0,0
8,Forest_Enemy_01b_004,103,1,200,2,96,2,93,12,93,9,65,60,110,10,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",8,9,4,19,8,"[0, 0, 0]","[0.0, 0.0]",0,195,195,195,195,"[0, 4, 0]",194,0,0,0
9,Forest_Enemy_02_001,104,7,200,2,186,14,124,14,124,11,81,52,124,16,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",3,11,9,49,9,"[0, 0, 0]","[0.0, 0.0]",0,195,195,195,195,"[0, 5, 0]",194,0,0,0
