m_id,m_Label,m_Reinforcements,m_Positions
0,None,"[0, 0, 0]","[0, 0, 0]"
1,FriendCall_Power_Chap2_Boss01_01,"[0, 5015, 0]","[0, 1128, 0]"
16,FriendCall_Power_Chap2_Boss01_02,"[0, 5017, 5017]","[0, 1048, 1049]"
17,FriendCall_Power_Chap2_Boss01_03,"[0, 5019, 5019]","[0, 1048, 1049]"
4,FriendCall_AM_Chap3_Boss03,"[5039, 5040, 0]","[1062, 1063, 0]"
6,FriendCall_AM_Chap5_Boss02,"[0, 5045, 5046]","[0, 1078, 1079]"
7,FriendCall_AM_Chap6_Boss02,"[5140, 5140, 5140]","[1141, 1142, 1143]"
20,Forest_Enemy_05_006_R,"[0, 2139, 0]","[0, 1002, 0]"
22,FriendCall_SymbolEnemy_01,"[0, 1, 2]","[0, 1004, 1005]"
23,FriendCall_AM_Chap8_Boss01,"[0, 5051, 5052]","[0, 1078, 1079]"
24,FriendCall_SymbolEnemy_02,"[0, 2140, 2140]","[0, 1169, 1170]"
25,FriendCall_SymbolEnemy_03,"[0, 2141, 2141]","[0, 1169, 1170]"
26,FriendCall_SymbolEnemy_04,"[0, 2142, 2142]","[0, 1169, 1170]"
27,FriendCall_SymbolEnemy_05,"[0, 2143, 2143]","[0, 1172, 1173]"
28,FriendCall_SymbolEnemy_06,"[0, 2144, 2144]","[0, 1169, 1170]"
29,FriendCall_SymbolEnemy_07,"[0, 2145, 2145]","[0, 1175, 1176]"
30,FriendCall_River_RvT1_P003,"[0, 20156, 0]","[0, 1145, 0]"
31,FriendCall_River_RvT1_P003_2,"[0, 20235, 0]","[0, 1145, 0]"
32,FriendCall_AM_Chap8_Boss02_1,"[5067, 0, 0]","[1205, 0, 0]"
33,FriendCall_AM_Chap8_Boss02_2,"[5069, 0, 0]","[1205, 0, 0]"
34,FriendCall_AM_Chap8_Boss02_3,"[5067, 5069, 0]","[1205, 1206, 0]"
35,FriendCall_AM_Chap8_Boss02_4,"[5068, 0, 0]","[1205, 0, 0]"
36,FriendCall_AM_Chap8_Boss02_5,"[5067, 5068, 0]","[1205, 1206, 0]"
37,FriendCall_AM_Chap8_Boss02_6,"[5069, 5068, 0]","[1205, 1206, 0]"
38,FriendCall_AM_Chap8_Boss02_7,"[5059, 5060, 5061]","[1202, 1203, 1204]"
39,FriendCall_ePC014_Chapter4,"[0, 10235, 10236]","[0, 1166, 1167]"
40,FriendCall_ePC042_Chapter4,"[10141, 10142, 20005]","[1141, 1142, 1143]"
41,FriendCall_GMP_Chap0_Boss01_1,"[5075, 5074, 0]","[1139, 1140, 0]"
43,FriendCall_GMW_Chap1_Boss01_1,"[5079, 5078, 0]","[1024, 1020, 0]"
44,FriendCall_GMW_Chap1_Boss01_2,"[5080, 5078, 0]","[1024, 1020, 0]"
45,FriendCall_GMW_Chap1_Boss01_3,"[5079, 5079, 0]","[1024, 1020, 0]"
46,FriendCall_GMW_Chap1_Boss01_4,"[5079, 5080, 0]","[1024, 1020, 0]"
47,FriendCall_GMW_Chap1_Boss01_5,"[5080, 5079, 0]","[1024, 1020, 0]"
48,FriendCall_GMW_Chap1_Boss01_6,"[5080, 5080, 0]","[1024, 1020, 0]"
51,FriendCall_GMP_Chap1_Boss04_1,"[5085, 5086, 0]","[1228, 1229, 0]"
56,FriendCall_ePC0105_Chapter4_1,"[20428, 0, 0]","[1237, 0, 0]"
57,FriendCall_ePC0122_Chapter4_1,"[20493, 20493, 0]","[1142, 1143, 0]"
58,FriendCall_AB03_Boss04_1,"[30129, 0, 0]","[1246, 0, 0]"
69,FriendCall_Other_ClbBD_NPC_1,"[30494, 0, 0]","[1297, 0, 0]"
70,FriendCall_Other_ClbBD_NPC_2,"[30495, 0, 0]","[1298, 0, 0]"
71,FriendCall_ePC186_ClbBD_Chp3,"[30526, 30526, 0]","[1142, 1143, 0]"
73,FriendCall_SymbolEnemy_ClbBD_01,"[2217, 2217, 0]","[1302, 1303, 0]"
74,FriendCall_ClbBD_Rank03_L_Zako_ENG02,"[30530, 30530, 0]","[1302, 1303, 0]"
75,FriendCall_ePC185_ClbBD_Chp4,"[30545, 0, 0]","[1300, 0, 0]"
76,FriendCall_Other_ClbBD_NPC2_1,"[30553, 0, 0]","[1297, 0, 0]"
77,FriendCall_Other_ClbBD_NPC2_2,"[30554, 0, 0]","[1298, 0, 0]"
78,FriendCall_ePC186_ClbBD_Chp3_02,"[30526, 30526, 0]","[1302, 1303, 0]"
79,FriendCall_Forest_UniqueP_Varkyn,"[30638, 0, 0]","[1246, 0, 0]"
80,FriendCall_StrBk_00040_001_01,"[30653, 30651, 0]","[1142, 1167, 0]"
81,FriendCall_StrBk_00040_001_02,"[30650, 30652, 0]","[1142, 1167, 0]"
82,FriendCall_StrBk_00040_001_03,"[30654, 0, 0]","[1216, 0, 0]"
