m_id,m_WeakIndices,m_IsLottery
0,"[0, 0, 0, 0]",194
1,"[1694, 3080, 2262, 0]",195
2,"[2797, 0, 0, 0]",195
3,"[2796, 0, 0, 0]",195
4,"[2799, 0, 0, 0]",195
5,"[2798, 0, 0, 0]",195
6,"[2801, 0, 0, 0]",195
7,"[2800, 0, 0, 0]",195
8,"[1022, 0, 0, 0]",195
9,"[2496, 2761, 2812, 1793]",194
10,"[2761, 0, 0, 0]",195
11,"[2812, 0, 0, 0]",195
12,"[1793, 0, 0, 0]",195
13,"[2496, 2761, 2812, 1793]",194
14,"[2761, 0, 0, 0]",195
15,"[2812, 0, 0, 0]",195
17,"[2496, 6408, 2038, 1793]",194
26,"[2812, 0, 0, 0]",195
27,"[1793, 0, 0, 0]",195
16,"[1638, 2808, 1239, 0]",195
18,"[1594, 0, 0, 0]",195
19,"[1803, 0, 0, 0]",195
20,"[2572, 0, 0, 0]",195
21,"[1926, 3221, 0, 0]",194
22,"[2824, 2395, 734, 0]",195
23,"[2809, 1724, 2277, 0]",195
24,"[1191, 587, 0, 0]",194
25,"[587, 1191, 0, 0]",194
28,"[1462, 2022, 0, 0]",194
29,"[2565, 0, 0, 0]",195
30,"[2965, 0, 0, 0]",195
31,"[2848, 0, 0, 0]",195
32,"[6410, 0, 0, 0]",195
33,"[3145, 0, 0, 0]",195
34,"[3395, 0, 0, 0]",195
35,"[2024, 0, 0, 0]",195
36,"[2155, 0, 0, 0]",195
37,"[2435, 1760, 2302, 0]",194
38,"[2422, 1765, 2577, 0]",195
39,"[6, 10, 1, 0]",195
40,"[2415, 2848, 0, 0]",194
41,"[1458, 2494, 0, 0]",194
42,"[1045, 0, 0, 0]",194
43,"[933, 0, 0, 0]",194
44,"[1077, 1221, 879, 0]",194
45,"[1059, 871, 631, 0]",195
46,"[1594, 0, 0, 0]",195
47,"[1803, 0, 0, 0]",195
48,"[2572, 0, 0, 0]",195
49,"[145, 0, 0, 0]",195
50,"[280, 0, 0, 0]",195
51,"[234, 0, 0, 0]",195
52,"[25, 0, 0, 0]",195
53,"[81, 0, 0, 0]",195
54,"[39, 0, 0, 0]",195
55,"[6480, 0, 0, 0]",194
56,"[1119, 0, 0, 0]",194
57,"[303, 0, 0, 0]",194
58,"[3, 0, 0, 0]",194
59,"[3, 8, 12, 14]",195
60,"[46, 0, 0, 0]",194
61,"[10, 0, 0, 0]",194
62,"[3, 10, 14, 0]",195
63,"[639, 788, 1023, 0]",195
64,"[157, 0, 0, 0]",195
65,"[273, 0, 0, 0]",195
66,"[332, 0, 0, 0]",195
67,"[158, 369, 0, 0]",194
93,"[1103, 916, 1307, 0]",194
124,"[3464, 3732, 5497, 3448]",194
