m_id,m_ShowOrder,m_CategoryID,m_TypeID,m_Rare,m_TexID,m_NameID,m_DetailID,m_WeaponTypeID,m_MagicTypeID,m_EquipLock,m_LevelValue,m_ExclusivePlayerID,m_ExclusiveJobID,m_Param,m_Rank,m_Variation,m_SkillID,m_BuyValue,m_MaterialCheck,m_MaterialNum,m_MaterialItemID,m_MaterialEquipID,m_SlotShapeID,m_MateriaRarityLimit,m_GrowthEquipBonusID,m_EquipSkillTypeID
0,100,0,0,0,0,0,0,0,0,194,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[0, 0]",0,"[194, 194, 194]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1,200,1,1,1,1004,21801,0,1,0,195,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,0,"[0, 0]",0,"[194, 194, 194]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
2,1000,1,1,1,1005,21802,0,1,0,194,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,0,"[0, 0]",90,"[194, 194, 194]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,2000,1,1,1,1006,21803,0,1,0,194,2,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]",14,0,"[0, 0]",150,"[195, 194, 194]","[1, 0, 0]","[43, 0, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
4,3100,1,1,1,1007,21804,0,1,0,194,9,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]",18,0,"[0, 0]",700,"[195, 194, 194]","[1, 1, 0]","[45, 103, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
5,3400,1,1,1,1008,21805,0,1,0,194,11,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]",22,0,"[0, 0]",1000,"[195, 194, 194]","[1, 1, 0]","[46, 104, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
7,4200,1,1,1,1010,21807,0,1,0,194,12,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 3, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0]",26,0,"[0, 0]",1400,"[195, 194, 194]","[1, 1, 0]","[47, 105, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,5000,1,1,1,1011,21808,0,1,0,194,16,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 4, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0]",32,0,"[0, 0]",2200,"[195, 194, 194]","[1, 1, 0]","[49, 107, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
9,5900,1,1,1,1012,21809,0,1,0,194,18,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 4, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0]",36,0,"[0, 0]",3400,"[195, 194, 194]","[1, 1, 0]","[50, 108, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
11,7500,1,1,1,1014,21811,0,1,0,194,21,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 5, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0]",40,0,"[0, 0]",4800,"[195, 194, 194]","[2, 1, 0]","[52, 110, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
