m_id,m_Category,m_TexID,m_TextID,m_SortPriority,m_StatusID
0,0,500,0,99,"[0, 0, 0, 0]"
1,1,686,65090,1,"[0, 0, 0, 0]"
2,1,687,65091,2,"[0, 0, 0, 0]"
3,1,9677,65092,3,"[0, 0, 0, 0]"
98,1,500,65201,4,"[0, 0, 0, 0]"
4,1,500,65093,5,"[0, 0, 0, 0]"
5,2,500,65094,1,"[0, 0, 0, 0]"
6,2,500,65095,2,"[0, 0, 0, 0]"
7,3,500,65096,1,"[0, 0, 0, 0]"
8,3,500,65097,2,"[0, 0, 0, 0]"
90,4,686,50011,1,"[1, 0, 0, 0]"
91,4,687,50012,2,"[2, 0, 0, 0]"
92,4,680,50005,3,"[9, 0, 0, 0]"
93,4,682,50006,4,"[10, 0, 0, 0]"
94,4,681,50007,5,"[11, 0, 0, 0]"
95,4,683,50008,6,"[12, 0, 0, 0]"
96,4,685,50009,7,"[14, 0, 0, 0]"
97,4,684,50010,8,"[13, 0, 0, 0]"
15,11,686,50011,1,"[0, 0, 0, 0]"
16,11,687,50012,2,"[0, 0, 0, 0]"
9,11,680,50005,3,"[0, 0, 0, 0]"
10,11,682,50006,4,"[0, 0, 0, 0]"
11,11,681,50007,5,"[0, 0, 0, 0]"
12,11,683,50008,6,"[0, 0, 0, 0]"
14,11,685,50009,7,"[0, 0, 0, 0]"
13,11,684,50010,8,"[0, 0, 0, 0]"
17,5,640,65098,1,"[0, 0, 0, 0]"
18,5,646,65099,2,"[0, 0, 0, 0]"
19,5,642,65100,3,"[0, 0, 0, 0]"
20,5,641,65101,4,"[0, 0, 0, 0]"
21,5,645,65102,5,"[0, 0, 0, 0]"
22,5,644,65103,6,"[0, 0, 0, 0]"
23,5,643,65104,7,"[0, 0, 0, 0]"
24,5,647,65105,8,"[0, 0, 0, 0]"
25,5,8054,65106,9,"[0, 0, 0, 0]"
26,5,8055,65107,10,"[0, 0, 0, 0]"
27,5,8056,65108,11,"[0, 0, 0, 0]"
28,5,8057,65109,12,"[0, 0, 0, 0]"
29,5,8058,65110,13,"[0, 0, 0, 0]"
30,5,8059,65111,14,"[0, 0, 0, 0]"
31,5,500,65112,15,"[0, 0, 0, 0]"
32,6,640,65098,1,"[0, 0, 0, 0]"
33,6,646,65099,2,"[0, 0, 0, 0]"
34,6,642,65100,3,"[0, 0, 0, 0]"
35,6,641,65101,4,"[0, 0, 0, 0]"
36,6,645,65102,5,"[0, 0, 0, 0]"
37,6,644,65103,6,"[0, 0, 0, 0]"
38,6,643,65104,7,"[0, 0, 0, 0]"
39,6,647,65105,8,"[0, 0, 0, 0]"
40,6,8054,65106,9,"[0, 0, 0, 0]"
41,6,8055,65107,10,"[0, 0, 0, 0]"
42,6,8056,65108,11,"[0, 0, 0, 0]"
43,6,8057,65109,12,"[0, 0, 0, 0]"
44,6,8058,65110,13,"[0, 0, 0, 0]"
45,6,8059,65111,14,"[0, 0, 0, 0]"
46,6,500,65113,15,"[0, 0, 0, 0]"
47,6,500,65114,16,"[0, 0, 0, 0]"
49,7,500,65116,1,"[0, 0, 0, 0]"
50,7,500,65117,2,"[0, 0, 0, 0]"
51,7,500,65118,3,"[0, 0, 0, 0]"
52,7,500,65119,4,"[0, 0, 0, 0]"
53,7,500,65120,5,"[0, 0, 0, 0]"
54,7,500,65121,6,"[0, 0, 0, 0]"
55,7,500,65122,7,"[0, 0, 0, 0]"
56,7,500,65123,8,"[0, 0, 0, 0]"
48,7,500,65115,9,"[0, 0, 0, 0]"
61,12,500,65128,1,"[0, 0, 0, 0]"
64,8,640,65098,1,"[0, 0, 0, 0]"
65,8,646,65099,2,"[0, 0, 0, 0]"
66,8,642,65100,3,"[0, 0, 0, 0]"
67,8,641,65101,4,"[0, 0, 0, 0]"
68,8,645,65102,5,"[0, 0, 0, 0]"
69,8,644,65103,6,"[0, 0, 0, 0]"
70,8,643,65104,7,"[0, 0, 0, 0]"
71,8,647,65105,8,"[0, 0, 0, 0]"
72,8,8054,65106,9,"[0, 0, 0, 0]"
73,8,8055,65107,10,"[0, 0, 0, 0]"
74,8,8056,65108,11,"[0, 0, 0, 0]"
75,8,8057,65109,12,"[0, 0, 0, 0]"
76,8,8058,65110,13,"[0, 0, 0, 0]"
77,8,8059,65111,14,"[0, 0, 0, 0]"
78,10,500,65131,1,"[0, 0, 0, 0]"
83,10,500,65180,2,"[0, 0, 0, 0]"
79,9,500,65132,1,"[0, 0, 0, 0]"
80,9,500,65176,2,"[0, 0, 0, 0]"
86,9,500,65137,9,"[0, 0, 0, 0]"
88,9,500,65138,3,"[0, 0, 0, 0]"
87,9,500,65181,4,"[0, 0, 0, 0]"
82,9,500,65135,5,"[0, 0, 0, 0]"
81,9,500,65133,6,"[0, 0, 0, 0]"
84,9,500,65134,7,"[0, 0, 0, 0]"
85,9,500,65136,8,"[0, 0, 0, 0]"
89,9,500,65139,10,"[0, 0, 0, 0]"
