m_id,m_Version,m_Name,m_MapID,m_ReturnMapID,m_ReturnPathActorName,m_ReturnDir,m_Kind,m_PlayBGM,m_SoundCueID,m_Skip,m_MapLoadWait,m_IgnoreCharaGroups,m_ForceObjectId
0,,None,1,0,,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",1,194,"[0, 0, 0, 0]",0
501,Boss/B00_01,EvB00_01_01a,2001,0,,0,5,0,"[4000, 0, 0, 0, 0, 0, 0, 0]",0,194,"[0, 0, 0, 0]",0
502,Boss/B00_01,EvB00_01_02a,2001,2001,Oer_D_1A1_00,0,5,0,"[4000, 0, 0, 0, 0, 0, 0, 0]",0,194,"[0, 0, 0, 0]",0
503,Boss/B00_01,EvB00_01_02b,2001,2001,Oer_D_1A1_01,3,5,0,"[4000, 0, 0, 0, 0, 0, 0, 0]",0,194,"[0, 0, 0, 0]",0
507,Boss/B00_01,EvB00_01_03a,2001,0,,0,5,0,"[4000, 0, 0, 0, 0, 0, 0, 0]",0,194,"[0, 0, 0, 0]",0
508,Boss/B00_01,EvB00_01_03b,2001,0,,0,5,0,"[4000, 0, 0, 0, 0, 0, 0, 0]",0,194,"[0, 0, 0, 0]",0
6224,Boss/B00_01,EvB00_01_04b,2010,0,,0,5,0,"[4000, 0, 0, 0, 0, 0, 0, 0]",0,194,"[0, 0, 0, 0]",0
6225,Boss/B00_01,EvB00_01_05a,46,46,Bar1,0,5,0,"[4000, 0, 0, 0, 0, 0, 0, 0]",0,194,"[0, 0, 0, 0]",0
6226,Boss/B00_01,EvB00_01_05b,56,56,Bar1,0,5,0,"[4000, 0, 0, 0, 0, 0, 0, 0]",0,194,"[0, 0, 0, 0]",0
6227,Boss/B00_01,EvB00_01_05c,77,77,Bar0,0,5,0,"[4000, 0, 0, 0, 0, 0, 0, 0]",0,194,"[0, 0, 0, 0]",0
6229,Boss/B00_01,EvB00_01_06a,46,0,,0,5,0,"[4000, 0, 0, 0, 0, 0, 0, 0]",0,194,"[0, 0, 0, 0]",0
514,Boss/B00_01,EvB00_01_06a_Gacha,2014,0,,0,5,0,"[4000, 0, 0, 0, 0, 0, 0, 0]",0,194,"[0, 0, 0, 0]",0
6230,Boss/B00_01,EvB00_01_06b,56,0,,0,5,0,"[4000, 0, 0, 0, 0, 0, 0, 0]",0,194,"[0, 0, 0, 0]",0
515,Boss/B00_01,EvB00_01_06b_Gacha,2014,0,,0,5,0,"[4000, 0, 0, 0, 0, 0, 0, 0]",0,194,"[0, 0, 0, 0]",0
