m_id,m_Group,m_Delay,m_Command,m_Target,m_CharaDataId,m_CharaAnimId,m_EmotionId,m_EffectId,m_SoundId,m_ItemId,m_EquipId,m_TextureId,m_ObjectId,m_MapId,m_CurveID,m_BitFlag,m_Other,m_Pos,m_Dir,m_EventId,m_NarrationId,m_Text,m_TextWindowType,m_Async,m_OptAry
1,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,195,"['0', '1000', '', '', '', '', '']"
2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['0', '', '', '', '', '', '']"
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['0', '', '', '', '', '', '']"
4,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1645.0, -23083.0, -487.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['0', '0', '', '', '', '', '']"
5,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['1800', '', '', '', '', '', '']"
6,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['1800', '', '', '', '', '', '']"
7,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.0, -23100.0, 85.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['', '', '', '', '', '', '']"
8,1,0,201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[25.0, -380.0, 0.0]",3,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['1', '', '', '', '', '', '']"
9,1,0,200,2,1512,0,0,0,0,0,0,0,0,0,0,0,0,"[0.0, -180.0, 0.0]",3,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['2', '1', '', '', '', '', '']"
10,1,0,200,3,1504,0,0,0,0,0,0,0,0,0,0,0,0,"[0.0, 100.0, 0.0]",2,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['3', '1', '', '', '', '', '']"
11,1,0,200,4,1527,0,0,0,0,0,0,0,0,0,0,0,0,"[-150.0, 400.0, 0.0]",2,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['4', '0', '', '', '', '', '']"
12,1,0,200,5,1528,0,0,0,0,0,0,0,0,0,0,0,0,"[255.0, 500.0, 0.0]",2,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['5', '0', '', '', '', '', '']"
13,1,0,200,6,1528,0,0,0,0,0,0,0,0,0,0,0,0,"[-255.0, 500.0, 0.0]",2,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['6', '0', '', '', '', '', '']"
14,1,0,200,7,1528,0,0,0,0,0,0,0,0,0,0,0,0,"[250.0, 300.0, 0.0]",2,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['7', '0', '', '', '', '', '']"
15,1,0,0,8,1528,0,0,0,0,0,0,0,0,0,0,0,0,"[-250.0, 300.0, 0.0]",2,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['8', '0', '', '', '', '', '']"
16,1,0,200,9,1528,0,0,0,0,0,0,0,0,0,0,0,0,"[150.0, 400.0, 0.0]",2,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['9', '0', '', '', '', '', '']"
17,1,0,0,10,1528,0,0,0,0,0,0,0,0,0,0,0,0,"[-150.0, 400.0, 0.0]",2,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['10', '0', '', '', '', '', '']"
18,1,0,200,11,1528,0,0,0,0,0,0,0,0,0,0,0,0,"[-250.0, 300.0, 0.0]",2,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['11', '0', '', '', '', '', '']"
19,1,0,200,12,1528,0,0,0,0,0,0,0,0,0,0,0,0,"[300.0, -550.0, 0.0]",3,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['12', '0', '', '', '', '', '']"
20,1,0,200,13,1528,0,0,0,0,0,0,0,0,0,0,0,0,"[-220.0, -600.0, 0.0]",2,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['13', '0', '', '', '', '', '']"
21,0,0,240,1,0,38,0,0,0,0,0,0,0,0,0,0,0,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,195,"['1', '', '', '', '', '', '']"
22,0,0,240,3,0,1,0,0,0,0,0,0,0,0,0,0,0,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,195,"['1', '', '', '', '', '', '']"
23,0,0,240,4,0,1,0,0,0,0,0,0,0,0,0,0,0,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,195,"['1', '', '', '', '', '', '']"
24,0,0,240,5,0,147,0,0,0,0,0,0,0,0,0,0,0,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,195,"['1', '', '', '', '', '', '']"
25,0,0,240,6,0,147,0,0,0,0,0,0,0,0,0,0,0,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,195,"['1', '', '', '', '', '', '']"
26,0,0,240,7,0,147,0,0,0,0,0,0,0,0,0,0,0,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,195,"['1', '', '', '', '', '', '']"
27,0,0,0,8,0,147,0,0,0,0,0,0,0,0,0,0,0,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,195,"['1', '', '', '', '', '', '']"
28,0,0,240,9,0,147,0,0,0,0,0,0,0,0,0,0,0,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,195,"['1', '', '', '', '', '', '']"
29,0,0,0,10,0,147,0,0,0,0,0,0,0,0,0,0,0,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,195,"['1', '', '', '', '', '', '']"
30,0,0,240,11,0,147,0,0,0,0,0,0,0,0,0,0,0,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,195,"['1', '', '', '', '', '', '']"
31,0,0,240,12,0,29,0,0,0,0,0,0,0,0,0,0,0,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,195,"['1', '', '', '', '', '', '']"
32,0,0,240,13,0,28,0,0,0,0,0,0,0,0,0,0,0,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,195,"['1', '', '', '', '', '', '']"
33,0,0,900,0,0,0,0,0,119,0,0,0,0,0,0,0,0,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['0', '100', '', '', '', '', '']"
34,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0]",0,194,"['2000', '0', '', '', '', '', '']"
