m_id,m_picture_resource,m_picture_mask,m_picture_mask_param,m_single_unit_id,m_button_type
0,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0
1,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_210010/QP_n_UiTX_Gch_210010_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_210010/QP_n_UiTX_Gch_210010_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",0,0
2,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_150010/QP_n_UiTX_Gch_150010_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_150010/QP_n_UiTX_Gch_150010_img_mask_01,"[40.0, 2.799999952316284, 3.0, 0.30000001192092896, 1.0, 0.699999988079071, 1.0, 0.6000000238418579, 1.2000000476837158, 1.0, 1.0, 0.75, 1.2000000476837158, 1.399999976158142, 0.23999999463558197, 0.47999998927116394, 1.0, 1.0, 0.3100000023841858, 0.10999999940395355, 0.46000000834465027, 1.0, 0.3199999928474426]",0,0
3,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130010/QP_n_UiTX_Gch_130010_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130010/QP_n_UiTX_Gch_130010_img_mask_01,"[330.0, 1.600000023841858, 0.550000011920929, 0.05000000074505806, 1.0, 0.5, 0.699999988079071, 0.8999999761581421, 0.0, 0.30000001192092896, 1.0, 0.75, -0.8999999761581421, 1.399999976158142, 0.8999999761581421, 0.6000000238418579, 0.30000001192092896, 0.699999988079071, 0.699999988079071, 0.10000000149011612, 0.8999999761581421, 0.699999988079071, 0.20000000298023224]",0,0
4,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130015/QP_n_UiTX_Gch_130015_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130015/QP_n_UiTX_Gch_130015_img_mask_01,"[0.0, 1.899999976158142, 0.699999988079071, 0.05000000074505806, 1.0, 0.5, 1.0, 1.0, -0.10000000149011612, -0.6000000238418579, 1.0, 0.800000011920929, -0.6000000238418579, -0.6000000238418579, 0.30000001192092896, 0.30000001192092896, 0.8999999761581421, 0.8999999761581421, 0.699999988079071, 1.0, 0.8999999761581421, 0.699999988079071, 1.0]",0,0
5,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130020/QP_n_UiTX_Gch_130020_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130020/QP_n_UiTX_Gch_130020_img_mask_01,"[0.0, 2.5999999046325684, 0.5, 0.05000000074505806, 1.0, 0.5, 1.0, 1.0, 0.11999999731779099, 0.6000000238418579, 1.0, 0.6000000238418579, -0.6000000238418579, 0.699999988079071, 1.0, 0.6499999761581421, 0.25, 1.0, 0.800000011920929, 0.4000000059604645, 1.0, 0.800000011920929, 0.4000000059604645]",0,0
6,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250010/QP_n_UiTX_Gch_250010_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250010/QP_n_UiTX_Gch_250010_img_mask_01,"[330.0, 1.600000023841858, 0.550000011920929, 0.05000000074505806, 1.0, 0.5, 0.699999988079071, 0.8999999761581421, 0.0, 0.30000001192092896, 1.0, 0.75, -0.8999999761581421, 1.399999976158142, 0.8999999761581421, 0.6000000238418579, 0.30000001192092896, 0.699999988079071, 0.699999988079071, 0.10000000149011612, 0.8999999761581421, 0.699999988079071, 0.20000000298023224]",5,1001
7,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250015/QP_n_UiTX_Gch_250015_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250015/QP_n_UiTX_Gch_250015_img_mask_01,"[40.0, 2.799999952316284, 3.0, 0.30000001192092896, 1.0, 0.699999988079071, 1.0, 0.6000000238418579, 1.2000000476837158, 1.0, 1.0, 0.75, 1.2000000476837158, 1.399999976158142, 0.23999999463558197, 0.47999998927116394, 1.0, 1.0, 0.3100000023841858, 0.10999999940395355, 0.46000000834465027, 1.0, 0.3199999928474426]",0,0
8,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250015/QP_n_UiTX_Gch_250015_img_main_02,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250015/QP_n_UiTX_Gch_250015_img_mask_02,"[0.0, 2.5999999046325684, 0.5, 0.05000000074505806, 1.0, 0.5, 1.0, 1.0, 0.11999999731779099, 0.6000000238418579, 1.0, 0.6000000238418579, -0.6000000238418579, 0.699999988079071, 1.0, 0.6499999761581421, 0.25, 1.0, 0.800000011920929, 0.4000000059604645, 1.0, 0.800000011920929, 0.4000000059604645]",7,1001
9,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250015/QP_n_UiTX_Gch_250015_img_main_03,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250015/QP_n_UiTX_Gch_250015_img_mask_03,"[0.0, 1.899999976158142, 0.699999988079071, 0.05000000074505806, 1.0, 0.5, 1.0, 1.0, -0.10000000149011612, -0.6000000238418579, 1.0, 0.800000011920929, -0.6000000238418579, -0.6000000238418579, 0.30000001192092896, 0.30000001192092896, 0.8999999761581421, 0.8999999761581421, 0.699999988079071, 1.0, 0.8999999761581421, 0.699999988079071, 1.0]",1,1001
