m_id,m_gametext
111251,"['Master of Wealth: Chapter 1', '勲章テスト（イギリス）', '', '勲章テスト（簡体字）', '勲章テスト（繁体字）', '勲章テスト（韓国）', '勲章テスト（フランス）', '勲章テスト（ドイツ）', '勲章テスト（スペイン）', '勲章テスト（ラテン）', '勲章テスト（イタリア）', '勲章テスト（オランダ）']"
111252,"['Master of Wealth: Chapter 2', '', '', '', '', '', '', '', '', '', '', '']"
111253,"['Master of Wealth: Chapter 3', '', '', '', '', '', '', '', '', '', '', '']"
111254,"['Master of Power: Chapter 1', '', '', '', '', '', '', '', '', '', '', '']"
111255,"['Master of Power: Chapter 2', '', '', '', '', '', '', '', '', '', '', '']"
111256,"['Master of Power: Chapter 3', '', '', '', '', '', '', '', '', '', '', '']"
111257,"['Master of Fame: Chapter 1', '', '', '', '', '', '', '', '', '', '', '']"
111258,"['Master of Fame: Chapter 2', '', '', '', '', '', '', '', '', '', '', '']"
111259,"['Master of Fame: Chapter 3', '', '', '', '', '', '', '', '', '', '', '']"
111260,"['Final Chapter: The Rings Sealed Away', '', '', '', '', '', '', '', '', '', '', '']"
111261,"['Master of All: Chapter 1', '', '', '', '', '', '', '', '', '', '', '']"
111262,"['Master of All: Chapter 2', '', '', '', '', '', '', '', '', '', '', '']"
111263,"['Master of All: Chapter 3', '', '', '', '', '', '', '', '', '', '', '']"
111264,"['Master of All: Chapter 4', '', '', '', '', '', '', '', '', '', '', '']"
111265,"['Master of All: Chapter 5', '', '', '', '', '', '', '', '', '', '', '']"
111266,"['Master of All: Chapter 6', '', '', '', '', '', '', '', '', '', '', '']"
111267,"['Master of All: Chapter 7', '', '', '', '', '', '', '', '', '', '', '']"
111268,"['Master of All: Chapter 8', '', '', '', '', '', '', '', '', '', '', '']"
111494,"['Final Chapter: Trial of the Ring', '', '', '', '', '', '', '', '', '', '', '']"
120345,"['Bestower of Wealth: Prologue', '', '', '', '', '', '', '', '', '', '', '']"
120346,"['Bestower of Wealth: Chapter 1', '', '', '', '', '', '', '', '', '', '', '']"
120347,"['Bestower of Wealth: Chapter 2', '', '', '', '', '', '', '', '', '', '', '']"
120349,"['Bestower of Power: Prologue', '', '', '', '', '', '', '', '', '', '', '']"
120350,"['Bestower of Power: Chapter 1', '', '', '', '', '', '', '', '', '', '', '']"
120351,"['Bestower of Power: Chapter 2', '', '', '', '', '', '', '', '', '', '', '']"
120353,"['Bestower of Fame: Prologue', '', '', '', '', '', '', '', '', '', '', '']"
120354,"['Bestower of Fame: Chapter 1', '', '', '', '', '', '', '', '', '', '', '']"
120317,"['Their Stories Lv. 1', '', '', '', '', '', '', '', '', '', '', '']"
120318,"['Their Stories Lv. 2', '', '', '', '', '', '', '', '', '', '', '']"
120319,"['Their Stories Lv. 3', '', '', '', '', '', '', '', '', '', '', '']"
120320,"['Their Stories Lv. 4', '', '', '', '', '', '', '', '', '', '', '']"
120321,"['Their Stories Lv. 5', '', '', '', '', '', '', '', '', '', '', '']"
120322,"['Their Stories Lv. 6', '', '', '', '', '', '', '', '', '', '', '']"
120323,"['Their Stories Lv. 7', '', '', '', '', '', '', '', '', '', '', '']"
120324,"['Their Stories Lv. 8', '', '', '', '', '', '', '', '', '', '', '']"
120325,"['Their Stories Lv. 9', '', '', '', '', '', '', '', '', '', '', '']"
120326,"['Their Stories Lv. 10', '', '', '', '', '', '', '', '', '', '', '']"
120327,"['Their Stories Lv. 11', '', '', '', '', '', '', '', '', '', '', '']"
120328,"['Their Stories Lv. 12', '', '', '', '', '', '', '', '', '', '', '']"
120371,"['Their Stories Lv. 13', '', '', '', '', '', '', '', '', '', '', '']"
120372,"['Their Stories Lv. 14', '', '', '', '', '', '', '', '', '', '', '']"
120373,"['Their Stories Lv. 15', '', '', '', '', '', '', '', '', '', '', '']"
120374,"['Their Stories Lv. 16', '', '', '', '', '', '', '', '', '', '', '']"
120375,"['Their Stories Lv. 17', '', '', '', '', '', '', '', '', '', '', '']"
120376,"['Their Stories Lv. 18', '', '', '', '', '', '', '', '', '', '', '']"
120377,"['Their Stories Lv. 19', '', '', '', '', '', '', '', '', '', '', '']"
120378,"['Their Stories Lv. 20', '', '', '', '', '', '', '', '', '', '', '']"
121279,"['Their Stories Lv. 21', '', '', '', '', '', '', '', '', '', '', '']"
121280,"['Their Stories Lv. 22', '', '', '', '', '', '', '', '', '', '', '']"
121281,"['Their Stories Lv. 23', '', '', '', '', '', '', '', '', '', '', '']"
121282,"['Their Stories Lv. 24', '', '', '', '', '', '', '', '', '', '', '']"
121283,"['Their Stories Lv. 25', '', '', '', '', '', '', '', '', '', '', '']"
121284,"['Their Stories Lv. 26', '', '', '', '', '', '', '', '', '', '', '']"
121504,"['Their Stories Lv. 27', '', '', '', '', '', '', '', '', '', '', '']"
121505,"['Their Stories Lv. 28', '', '', '', '', '', '', '', '', '', '', '']"
121506,"['Their Stories Lv. 29', '', '', '', '', '', '', '', '', '', '', '']"
121507,"['Their Stories Lv. 30', '', '', '', '', '', '', '', '', '', '', '']"
121508,"['Their Stories Lv. 31', '', '', '', '', '', '', '', '', '', '', '']"
121509,"['Their Stories Lv. 32', '', '', '', '', '', '', '', '', '', '', '']"
121510,"['Their Stories Lv. 33', '', '', '', '', '', '', '', '', '', '', '']"
121511,"['Their Stories Lv. 34', '', '', '', '', '', '', '', '', '', '', '']"
121512,"['Their Stories Lv. 35', '', '', '', '', '', '', '', '', '', '', '']"
121513,"['Their Stories Lv. 36', '', '', '', '', '', '', '', '', '', '', '']"
121514,"['Their Stories Lv. 37', '', '', '', '', '', '', '', '', '', '', '']"
121515,"['Their Stories Lv. 38', '', '', '', '', '', '', '', '', '', '', '']"
121516,"['Their Stories Lv. 39', '', '', '', '', '', '', '', '', '', '', '']"
121517,"['Their Stories Lv. 40', '', '', '', '', '', '', '', '', '', '', '']"
111289,"['Battle Instinct Lv. 1', '', '', '', '', '', '', '', '', '', '', '']"
111290,"['Battle Instinct Lv. 2', '', '', '', '', '', '', '', '', '', '', '']"
111291,"['Battle Instinct Lv. 3', '', '', '', '', '', '', '', '', '', '', '']"
111292,"['Battle Instinct Lv. 4', '', '', '', '', '', '', '', '', '', '', '']"
111293,"['Battle Instinct Lv. 5', '', '', '', '', '', '', '', '', '', '', '']"
111294,"['Battle Instinct Lv. 6', '', '', '', '', '', '', '', '', '', '', '']"
111295,"['Battle Instinct Lv. 7', '', '', '', '', '', '', '', '', '', '', '']"
111296,"['Battle Instinct Lv. 8', '', '', '', '', '', '', '', '', '', '', '']"
111297,"['Battle Instinct Lv. 9', '', '', '', '', '', '', '', '', '', '', '']"
111298,"['Battle Instinct Lv. 10', '', '', '', '', '', '', '', '', '', '', '']"
111495,"['Battle Instinct Lv. 11', '', '', '', '', '', '', '', '', '', '', '']"
111496,"['Battle Instinct Lv. 12', '', '', '', '', '', '', '', '', '', '', '']"
111497,"['Battle Instinct Lv. 13', '', '', '', '', '', '', '', '', '', '', '']"
111498,"['Battle Instinct Lv. 14', '', '', '', '', '', '', '', '', '', '', '']"
111499,"['Battle Instinct Lv. 15', '', '', '', '', '', '', '', '', '', '', '']"
111500,"['Battle Instinct Lv. 16', '', '', '', '', '', '', '', '', '', '', '']"
111501,"['Battle Instinct Lv. 17', '', '', '', '', '', '', '', '', '', '', '']"
111502,"['Battle Instinct Lv. 18', '', '', '', '', '', '', '', '', '', '', '']"
111503,"['Battle Instinct Lv. 19', '', '', '', '', '', '', '', '', '', '', '']"
111504,"['Battle Instinct Lv. 20', '', '', '', '', '', '', '', '', '', '', '']"
111299,"['Proof of Power: Mighty Marmot', '', '', '', '', '', '', '', '', '', '', '']"
111300,"['Proof of Power: Menacing Manticore', '', '', '', '', '', '', '', '', '', '', '']"
111301,"['Proof of Power: Mighty Scaled Viper', '', '', '', '', '', '', '', '', '', '', '']"
111302,"['Proof of Power: Menacing Demon Deer', '', '', '', '', '', '', '', '', '', '', '']"
111303,"['Proof of Power: Mighty Gabbrodillo', '', '', '', '', '', '', '', '', '', '', '']"
111304,"['Proof of Power: Menacing Forest Ratkin IV', '', '', '', '', '', '', '', '', '', '', '']"
111305,"['Proof of Power: Mighty Rampant Weed', '', '', '', '', '', '', '', '', '', '', '']"
111306,"['Proof of Power: Menacing Reptalion', '', '', '', '', '', '', '', '', '', '', '']"
111307,"['Proof of Power: Mighty Thunder Sentinel', '', '', '', '', '', '', '', '', '', '', '']"
111308,"['Proof of Power: Menacing Guard Dog', '', '', '', '', '', '', '', '', '', '', '']"
111680,"['Proof of Power: Mighty Bodyguard', '', '', '', '', '', '', '', '', '', '', '']"
111681,"['Proof of Power: Menacing Thunder Sentinel Mk.II', '', '', '', '', '', '', '', '', '', '', '']"
111682,"[""Proof of Power: Herminia's Mighty Soldier II"", '', '', '', '', '', '', '', '', '', '', '']"
111683,"['Proof of Power: Menacing Shield Wielder', '', '', '', '', '', '', '', '', '', '', '']"
111684,"['Proof of Power: Mighty Shadow Bat', '', '', '', '', '', '', '', '', '', '', '']"
111685,"['Proof of Power: Menacing Sticky Slug', '', '', '', '', '', '', '', '', '', '', '']"
111686,"['Proof of Power: Mighty Mortal Mushroom', '', '', '', '', '', '', '', '', '', '', '']"
111687,"['Proof of Power: Menacing Creeping Treant', '', '', '', '', '', '', '', '', '', '', '']"
111688,"['Proof of Power: Mighty Snow Fox', '', '', '', '', '', '', '', '', '', '', '']"
111689,"['Proof of Power: Menacing Ice Elemental', '', '', '', '', '', '', '', '', '', '', '']"
111690,"['Proof of Power: Mighty Dark Sentinel', '', '', '', '', '', '', '', '', '', '', '']"
