m_id,m_gametext
49277,"['Marmot', '', '', '', '', '', '', '', '', '', '', '']"
49278,"['Shambling Weed', '', '', '', '', '', '', '', '', '', '', '']"
49279,"['Scaled Viper', '', '', '', '', '', '', '', '', '', '', '']"
49280,"['Howler', '', '', '', '', '', '', '', '', '', '', '']"
49782,"['Mighty Marmot', '', '', '', '', '', '', '', '', '', '', '']"
49783,"['Menacing Manticore', '', '', '', '', '', '', '', '', '', '', '']"
49282,"['Marmot', '', '', '', '', '', '', '', '', '', '', '']"
49283,"['Shambling Weed', '', '', '', '', '', '', '', '', '', '', '']"
49284,"['Scaled Viper', '', '', '', '', '', '', '', '', '', '', '']"
49285,"['Howler', '', '', '', '', '', '', '', '', '', '', '']"
49784,"['Mighty Scaled Viper', '', '', '', '', '', '', '', '', '', '', '']"
49785,"['Menacing Demon Deer', '', '', '', '', '', '', '', '', '', '', '']"
49287,"['Forest Ratkin I', '', '', '', '', '', '', '', '', '', '', '']"
49288,"['Gabbrodillo', '', '', '', '', '', '', '', '', '', '', '']"
49289,"['Mossy Meep', '', '', '', '', '', '', '', '', '', '', '']"
49290,"['Spud Bug', '', '', '', '', '', '', '', '', '', '', '']"
49786,"['Mighty Gabbrodillo', '', '', '', '', '', '', '', '', '', '', '']"
49787,"['Menacing Forest Ratkin IV', '', '', '', '', '', '', '', '', '', '', '']"
49293,"['Forest Ratkin II', '', '', '', '', '', '', '', '', '', '', '']"
49294,"['Rampant Weed', '', '', '', '', '', '', '', '', '', '', '']"
49295,"['Forest Ratkin III', '', '', '', '', '', '', '', '', '', '', '']"
49296,"['Majestic Marmot', '', '', '', '', '', '', '', '', '', '', '']"
49788,"['Mighty Rampant Weed', '', '', '', '', '', '', '', '', '', '', '']"
49789,"['Menacing Reptalion', '', '', '', '', '', '', '', '', '', '', '']"
49299,"['Guard Dog', '', '', '', '', '', '', '', '', '', '', '']"
49300,"['Bodyguard I', '', '', '', '', '', '', '', '', '', '', '']"
49301,"['Thunder Sentinel', '', '', '', '', '', '', '', '', '', '', '']"
49302,"['Thunder Guardian', '', '', '', '', '', '', '', '', '', '', '']"
49790,"['Mighty Thunder Sentinel', '', '', '', '', '', '', '', '', '', '', '']"
49791,"['Menacing Guard Dog', '', '', '', '', '', '', '', '', '', '', '']"
49304,"['Guard Dog', '', '', '', '', '', '', '', '', '', '', '']"
49305,"['Bodyguard I', '', '', '', '', '', '', '', '', '', '', '']"
49306,"['Thunder Sentinel', '', '', '', '', '', '', '', '', '', '', '']"
