m_id,m_gametext
14,"['', '', '', '', '', '', '', '', '', '', '', '']"
3957,"['Temp Ruhm', '', '', '', '', '', '', '', '', '', '', '']"
3958,"['Temp Ruhm', '', '', '', '', '', '', '', '', '', '', '']"
3959,"['A man who lives to tell travelers all manner of useful information. His personal history is shrouded in secret.', '', '', '', '', '', '', '', '', '', '', '']"
3960,"['A man who lives to tell travelers all manner of useful information. His personal history is shrouded in secret.', '', '', '', '', '', '', '', '', '', '', '']"
3961,"['(仮)バトル開始！', '', '', '', '', '', '', '', '', '', '', '']"
3962,"['(仮)バトル開始！', '', '', '', '', '', '', '', '', '', '', '']"
3963,"['(仮)これはあげられません', '', '', '', '', '', '', '', '', '', '', '']"
3964,"['(仮)これはあげられません', '', '', '', '', '', '', '', '', '', '', '']"
3965,"['(仮)差し上げます', '', '', '', '', '', '', '', '', '', '', '']"
3966,"['(仮)差し上げます', '', '', '', '', '', '', '', '', '', '', '']"
3967,"['(仮)実はですね……', '', '', '', '', '', '', '', '', '', '', '']"
3968,"['(仮)実はですね……', '', '', '', '', '', '', '', '', '', '', '']"
3969,"['(仮)一緒にはいけません', '', '', '', '', '', '', '', '', '', '', '']"
3970,"['(仮)一緒にはいけません', '', '', '', '', '', '', '', '', '', '', '']"
3971,"['(仮)ついていきます', '', '', '', '', '', '', '', '', '', '', '']"
3972,"['(仮)ついていきます', '', '', '', '', '', '', '', '', '', '', '']"
3973,"['Baum Bell', '', '', '', '', '', '', '', '', '', '', '']"
3974,"['A man who lives to tell travelers all manner of useful information. His personal history is shrouded in secret.', '', '', '', '', '', '', '', '', '', '', '']"
3975,"['(仮)バトル開始！', '', '', '', '', '', '', '', '', '', '', '']"
3976,"['(仮)これはあげられません', '', '', '', '', '', '', '', '', '', '', '']"
3977,"['(仮)差し上げます', '', '', '', '', '', '', '', '', '', '', '']"
3978,"['(仮)実はですね……', '', '', '', '', '', '', '', '', '', '', '']"
3979,"['(仮)一緒にはいけません', '', '', '', '', '', '', '', '', '', '', '']"
3980,"['(仮)ついていきます', '', '', '', '', '', '', '', '', '', '', '']"
3981,"['Marta Morrow', '', '', '', '', '', '', '', '', '', '', '']"
3982,"['Marta Morrow', '', '', '', '', '', '', '', '', '', '', '']"
3983,"['A man who lives to tell travelers all manner of useful information. His personal history is shrouded in secret.', '', '', '', '', '', '', '', '', '', '', '']"
3984,"['A man who lives to tell travelers all manner of useful information. His personal history is shrouded in secret.', '', '', '', '', '', '', '', '', '', '', '']"
3985,"['(仮)バトル開始！', '', '', '', '', '', '', '', '', '', '', '']"
3986,"['(仮)バトル開始！', '', '', '', '', '', '', '', '', '', '', '']"
3987,"['(仮)これはあげられません', '', '', '', '', '', '', '', '', '', '', '']"
3988,"['(仮)これはあげられません', '', '', '', '', '', '', '', '', '', '', '']"
3989,"['(仮)差し上げます', '', '', '', '', '', '', '', '', '', '', '']"
3990,"['(仮)差し上げます', '', '', '', '', '', '', '', '', '', '', '']"
3991,"['(仮)実はですね……', '', '', '', '', '', '', '', '', '', '', '']"
3992,"['(仮)実はですね……', '', '', '', '', '', '', '', '', '', '', '']"
3993,"['(仮)一緒にはいけません', '', '', '', '', '', '', '', '', '', '', '']"
3994,"['(仮)一緒にはいけません', '', '', '', '', '', '', '', '', '', '', '']"
3995,"['(仮)ついていきます', '', '', '', '', '', '', '', '', '', '', '']"
3996,"['(仮)ついていきます', '', '', '', '', '', '', '', '', '', '', '']"
4423,"['A man who lives to tell travelers all manner of useful information. His personal history is shrouded in secret.', '', '', '', '', '', '', '', '', '', '', '']"
3182,"['Charles the Traveler', '', '', '', '', '', '', '', '', '', '', '']"
3183,"['A world traveler...or at least he claims to be. In actuality, he is the king of Riven. Unable to forget the beautiful dancers of Sunshade, he often visits the tavern in secret. Many have seen him being dragged away by the captain of his guards.', '', '', '', '', '', '', '', '', '', '', '']"
3186,"['(仮)バトル開始！', '', '', '', '', '', '', '', '', '', '', '']"
3188,"['Sorry. You can have\nsome river beans, though.', '', '', '', '', '', '', '', '', '', '', '']"
4045,"['', '', '', '', '', '', '', '', '', '', '', '']"
3191,"[""There's no way I\ncould turn you down."", '', '', '', '', '', '', '', '', '', '', '']"
3189,"['(仮)実はですね……', '', '', '', '', '', '', '', '', '', '', '']"
3187,"['(仮)一緒にはいけません', '', '', '', '', '', '', '', '', '', '', '']"
3190,"['(仮)ついていきます', '', '', '', '', '', '', '', '', '', '', '']"
