m_id,m_gametext
11823,"['Copper Ore', '', '', '', '', '', '', '', '', '', '', '']"
11824,"['Shiny Stone', '', '', '', '', '', '', '', '', '', '', '']"
11825,"['Crystal', '', '', '', '', '', '', '', '', '', '', '']"
11826,"['Iron Ore', '', '', '', '', '', '', '', '', '', '', '']"
11827,"['Scaleiron Ore', '', '', '', '', '', '', '', '', '', '', '']"
11828,"['Hematite', '', '', '', '', '', '', '', '', '', '', '']"
11829,"['Beaststone', '', '', '', '', '', '', '', '', '', '', '']"
11830,"['Silver Ore', '', '', '', '', '', '', '', '', '', '', '']"
11831,"['Spinel Stone', '', '', '', '', '', '', '', '', '', '', '']"
11832,"['Mottled Stone', '', '', '', '', '', '', '', '', '', '', '']"
11833,"['Lizardstone', '', '', '', '', '', '', '', '', '', '', '']"
11834,"['Heavy Iron Ore', '', '', '', '', '', '', '', '', '', '', '']"
11835,"['White Crystal', '', '', '', '', '', '', '', '', '', '', '']"
11836,"['Mirrorstone', '', '', '', '', '', '', '', '', '', '', '']"
11837,"['Polarite', '', '', '', '', '', '', '', '', '', '', '']"
11838,"['Chalcopyrite', '', '', '', '', '', '', '', '', '', '', '']"
11839,"['Whitesilver Ore', '', '', '', '', '', '', '', '', '', '', '']"
11840,"['Guardian Stone', '', '', '', '', '', '', '', '', '', '', '']"
11841,"['Mythril Ore', '', '', '', '', '', '', '', '', '', '', '']"
11842,"['Alexandrite', '', '', '', '', '', '', '', '', '', '', '']"
11843,"['Wootz Ore', '', '', '', '', '', '', '', '', '', '', '']"
11844,"['Obsidian', '', '', '', '', '', '', '', '', '', '', '']"
11845,"['Bright Crystal', '', '', '', '', '', '', '', '', '', '', '']"
11846,"['Sunstone', '', '', '', '', '', '', '', '', '', '', '']"
11847,"['Meteorite', '', '', '', '', '', '', '', '', '', '', '']"
11848,"['Whiteice Crystal', '', '', '', '', '', '', '', '', '', '', '']"
11849,"['Old Wolfstone', '', '', '', '', '', '', '', '', '', '', '']"
