m_id,m_gametext
3101,"['Frostlands Region', 'リージョンテスト（イギリス）', '', 'リージョンテスト（簡体字）', 'リージョンテスト（繁体字）', 'リージョンテスト（韓国）', 'リージョンテスト（フランス）', 'リージョンテスト（ドイツ）', 'リージョンテスト（スペイン）', 'リージョンテスト（ラテン）', 'リージョンテスト（イタリア）', 'リージョンテスト（オランダ）']"
3102,"['Flatlands Region', '', '', '', '', '', '', '', '', '', '', '']"
3103,"['Coastlands Region', '', '', '', '', '', '', '', '', '', '', '']"
3104,"['Highlands Region', '', '', '', '', '', '', '', '', '', '', '']"
3105,"['Sunlands Region', '', '', '', '', '', '', '', '', '', '', '']"
3106,"['Riverlands Region', '', '', '', '', '', '', '', '', '', '', '']"
3107,"['Cliftlands Region', '', '', '', '', '', '', '', '', '', '', '']"
3108,"['Woodlands Region', '', '', '', '', '', '', '', '', '', '', '']"
3109,"['Frostlands', '', '', '', '', '', '', '', '', '', '', '']"
3110,"['Flatlands', '', '', '', '', '', '', '', '', '', '', '']"
3111,"['Coastlands', '', '', '', '', '', '', '', '', '', '', '']"
3112,"['Highlands', '', '', '', '', '', '', '', '', '', '', '']"
3113,"['Sunlands', '', '', '', '', '', '', '', '', '', '', '']"
3114,"['Riverlands', '', '', '', '', '', '', '', '', '', '', '']"
3115,"['Cliftlands', '', '', '', '', '', '', '', '', '', '', '']"
3116,"['Woodlands', '', '', '', '', '', '', '', '', '', '', '']"
16163,"['The Skew', '', '', '', '', '', '', '', '', '', '', '']"
16167,"['The Skew', '', '', '', '', '', '', '', '', '', '', '']"
3201,"['Cragspear Pass', '', '', '', '', '', '', '', '', '', '', '']"
3202,"['Cragspear', '', '', '', '', '', '', '', '', '', '', '']"
3203,"['Cragspear: Slums', '', '', '', '', '', '', '', '', '', '', '']"
3204,"['Castle Edoras: Dungeon', '', '', '', '', '', '', '', '', '', '', '']"
3205,"['Gray Grotto', '', '', '', '', '', '', '', '', '', '', '']"
3206,"['Gray Grotto: Depths', '', '', '', '', '', '', '', '', '', '', '']"
3207,"['South Cragspear Pass', '', '', '', '', '', '', '', '', '', '', '']"
3208,"['Geist Canyon: South', '', '', '', '', '', '', '', '', '', '', '']"
3209,"['Geist Canyon', '', '', '', '', '', '', '', '', '', '', '']"
3210,"['Road to Castle Edoras', '', '', '', '', '', '', '', '', '', '', '']"
3211,"['Castle Edoras Gate', '', '', '', '', '', '', '', '', '', '', '']"
3212,"['Castle Edoras', '', '', '', '', '', '', '', '', '', '', '']"
3213,"['Castle Edoras: Upper Floor', '', '', '', '', '', '', '', '', '', '', '']"
3214,"['Castle Edoras: Courtyard', '', '', '', '', '', '', '', '', '', '', '']"
3215,"[""Castle Edoras: Princess's Chambers"", '', '', '', '', '', '', '', '', '', '', '']"
3216,"['Castle Edoras: Throne Room', '', '', '', '', '', '', '', '', '', '', '']"
3222,"['Rippletide', '', '', '', '', '', '', '', '', '', '', '']"
3223,"['Rippletide Coast', '', '', '', '', '', '', '', '', '', '', '']"
3224,"['North Rippletide Coast', '', '', '', '', '', '', '', '', '', '', '']"
3225,"['Isle of Orsa', '', '', '', '', '', '', '', '', '', '', '']"
3226,"['Isle of Orsa: Depths', '', '', '', '', '', '', '', '', '', '', '']"
3363,"['Isle of Orsa: Altar', '', '', '', '', '', '', '', '', '', '', '']"
3227,"['Sunshade', '', '', '', '', '', '', '', '', '', '', '']"
3228,"['Sunshade Sands', '', '', '', '', '', '', '', '', '', '', '']"
3229,"['Eastern Sunshade Sands', '', '', '', '', '', '', '', '', '', '', '']"
3237,"['Shepherds Rock Pass', '', '', '', '', '', '', '', '', '', '', '']"
3238,"['North Shepherds Rock Pass', '', '', '', '', '', '', '', '', '', '', '']"
3239,"['Valley of Death: East', '', '', '', '', '', '', '', '', '', '', '']"
3240,"['Valley of Death', '', '', '', '', '', '', '', '', '', '', '']"
3241,"['Valley of Death: West', '', '', '', '', '', '', '', '', '', '', '']"
3247,"['Valore', '', '', '', '', '', '', '', '', '', '', '']"
3248,"['Valore: Main Boulevard', '', '', '', '', '', '', '', '', '', '', '']"
16114,"['Valore: Main Boulevard', '', '', '', '', '', '', '', '', '', '', '']"
3249,"['Valore Trail', '', '', '', '', '', '', '', '', '', '', '']"
3250,"['West Valore Trail', '', '', '', '', '', '', '', '', '', '', '']"
3251,"[""Path to Herminia's Manse"", '', '', '', '', '', '', '', '', '', '', '']"
3252,"[""Herminia's Manse: Entrance"", '', '', '', '', '', '', '', '', '', '', '']"
3253,"[""Herminia's Manse"", '', '', '', '', '', '', '', '', '', '', '']"
3254,"[""Herminia's Manse: Cellars"", '', '', '', '', '', '', '', '', '', '', '']"
3255,"[""Auguste's Villa: Entrance"", '', '', '', '', '', '', '', '', '', '', '']"
3256,"[""Auguste's Villa"", '', '', '', '', '', '', '', '', '', '', '']"
3257,"['Emberglow', '', '', '', '', '', '', '', '', '', '', '']"
3258,"['Emberglow: East District', '', '', '', '', '', '', '', '', '', '', '']"
3259,"['Emberglow Wilds', '', '', '', '', '', '', '', '', '', '', '']"
3260,"['West Emberglow Wilds', '', '', '', '', '', '', '', '', '', '', '']"
3261,"['Emberglow Laboratory: Entrance', '', '', '', '', '', '', '', '', '', '', '']"
3262,"['Emberglow Laboratory', '', '', '', '', '', '', '', '', '', '', '']"
3263,"['Ceremonial Square', '', '', '', '', '', '', '', '', '', '', '']"
3264,"['Cathedral of Tytos', '', '', '', '', '', '', '', '', '', '', '']"
16060,"['Cathedral of Tytos: Entrance', '', '', '', '', '', '', '', '', '', '', '']"
16061,"['Cathedral of Tytos', '', '', '', '', '', '', '', '', '', '', '']"
3265,"['Snowbloom Ruins', '', '', '', '', '', '', '', '', '', '', '']"
3266,"['Subterranean Snow Ruins', '', '', '', '', '', '', '', '', '', '', '']"
3273,"['Clearbrook', '', '', '', '', '', '', '', '', '', '', '']"
3274,"['Clearbrook Traverse', '', '', '', '', '', '', '', '', '', '', '']"
3275,"['East Clearbrook Traverse', '', '', '', '', '', '', '', '', '', '', '']"
3276,"['Path to Waterpool Caves', '', '', '', '', '', '', '', '', '', '', '']"
3277,"['Waterpool Caves', '', '', '', '', '', '', '', '', '', '', '']"
3278,"['Theatropolis', '', '', '', '', '', '', '', '', '', '', '']"
3279,"['Amphitheatre', '', '', '', '', '', '', '', '', '', '', '']"
3334,"['Amphitheatre: Entrance', '', '', '', '', '', '', '', '', '', '', '']"
3280,"['Theatropolis Plains', '', '', '', '', '', '', '', '', '', '', '']"
3281,"['North Theatropolis Plains', '', '', '', '', '', '', '', '', '', '', '']"
3282,"['Amphitheatre: Rehearsal Room', '', '', '', '', '', '', '', '', '', '', '']"
3283,"['Amphitheatre: Dressing Room', '', '', '', '', '', '', '', '', '', '', '']"
3284,"['Amphitheatre: Backstage', '', '', '', '', '', '', '', '', '', '', '']"
3285,"['Amphitheatre: Underground', '', '', '', '', '', '', '', '', '', '', '']"
3286,"['Knights Ardante Garrison', '', '', '', '', '', '', '', '', '', '', '']"
3267,"['Defeat the Great Snow Lizard', '', '', '', '', '', '', '', '', '', '', '']"
3288,"['Defeat the Great Mine Birdman', '', '', '', '', '', '', '', '', '', '', '']"
3296,"['Defeat the Great Reef Birdman', '', '', '', '', '', '', '', '', '', '', '']"
3298,"['Defeat the Great Desert Lizard', '', '', '', '', '', '', '', '', '', '', '']"
3302,"['Defeat the Great Cave Rat', '', '', '', '', '', '', '', '', '', '', '']"
3306,"['Defeat the Great Forest Rat', '', '', '', '', '', '', '', '', '', '', '']"
3312,"['Defeat the Great Stream Frog', '', '', '', '', '', '', '', '', '', '', '']"
3314,"['Defeat the Great Grotto Frog', '', '', '', '', '', '', '', '', '', '', '']"
3320,"['Emberglow Slopes', '', '', '', '', '', '', '', '', '', '', '']"
3321,"['Shepherds Rock', '', '', '', '', '', '', '', '', '', '', '']"
3322,"['Shepherds Rock: Castle Square', '', '', '', '', '', '', '', '', '', '', '']"
3323,"[""Hunter's House"", '', '', '', '', '', '', '', '', '', '', '']"
3324,"['Stillwater Subterrane', '', '', '', '', '', '', '', '', '', '', '']"
3325,"['Castle Riven', '', '', '', '', '', '', '', '', '', '', '']"
3326,"['Abandoned Mines', '', '', '', '', '', '', '', '', '', '', '']"
3327,"['Finesand Ruins', '', '', '', '', '', '', '', '', '', '', '']"
3328,"['Forest Ruins', '', '', '', '', '', '', '', '', '', '', '']"
3329,"['Cavern of Mists', '', '', '', '', '', '', '', '', '', '', '']"
3330,"[""Serpent's Burrow"", '', '', '', '', '', '', '', '', '', '', '']"
3331,"['Shadowflow Grotto', '', '', '', '', '', '', '', '', '', '', '']"
3332,"['Radiant Reefs', '', '', '', '', '', '', '', '', '', '', '']"
3333,"['Snowshard Grotto', '', '', '', '', '', '', '', '', '', '', '']"
3336,"['Snowbloom Hall: Entrance', '', '', '', '', '', '', '', '', '', '', '']"
3337,"['Great Hall', '', '', '', '', '', '', '', '', '', '', '']"
3338,"['???', '', '', '', '', '', '', '', '', '', '', '']"
3340,"[""Herminia's Manse/Foyer"", '', '', '', '', '', '', '', '', '', '', '']"
3341,"['Knights Ardante Garrison', '', '', '', '', '', '', '', '', '', '', '']"
3342,"['Cathedral of Tytos: Roof', '', '', '', '', '', '', '', '', '', '', '']"
