m_id,m_gametext
27901,"['Warrior', '剣士（イギリス）', '', '剣士（簡体字）', '剣士（繁体字）', '剣士（韓国）', '剣士（フランス）', '剣士（ドイツ）', '剣士（スペイン）', '剣士（ラテン）', '剣士（イタリア）', '剣士（オランダ）']"
27902,"['Skilled\nWarrior', '', '', '', '', '', '', '', '', '', '', '']"
27903,"['Elite\nWarrior', '', '', '', '', '', '', '', '', '', '', '']"
27904,"['Great\nWarrior', '', '', '', '', '', '', '', '', '', '', '']"
27905,"['Veteran\nWarrior', '', '', '', '', '', '', '', '', '', '', '']"
27931,"['Apothecary', '', '', '', '', '', '', '', '', '', '', '']"
27932,"['Skilled\nApothecary', '', '', '', '', '', '', '', '', '', '', '']"
27933,"['Elite\nApothecary', '', '', '', '', '', '', '', '', '', '', '']"
27934,"['Great\nApothecary', '', '', '', '', '', '', '', '', '', '', '']"
27935,"['Veteran\nApothecary', '', '', '', '', '', '', '', '', '', '', '']"
27961,"['Thief', '', '', '', '', '', '', '', '', '', '', '']"
27962,"['Skilled\nThief', '', '', '', '', '', '', '', '', '', '', '']"
27963,"['Elite\nThief', '', '', '', '', '', '', '', '', '', '', '']"
27964,"['Great\nThief', '', '', '', '', '', '', '', '', '', '', '']"
27965,"['Veteran\nThief', '', '', '', '', '', '', '', '', '', '', '']"
27991,"['Scholar', '', '', '', '', '', '', '', '', '', '', '']"
27992,"['Skilled\nScholar', '', '', '', '', '', '', '', '', '', '', '']"
27993,"['Elite\nScholar', '', '', '', '', '', '', '', '', '', '', '']"
27994,"['Great\nScholar', '', '', '', '', '', '', '', '', '', '', '']"
27995,"['Veteran\nScholar', '', '', '', '', '', '', '', '', '', '', '']"
28021,"['Cleric', '', '', '', '', '', '', '', '', '', '', '']"
28022,"['Skilled\nCleric', '', '', '', '', '', '', '', '', '', '', '']"
28023,"['Elite\nCleric', '', '', '', '', '', '', '', '', '', '', '']"
28024,"['Great\nCleric', '', '', '', '', '', '', '', '', '', '', '']"
28025,"['Veteran\nCleric', '', '', '', '', '', '', '', '', '', '', '']"
28051,"['Hunter', '', '', '', '', '', '', '', '', '', '', '']"
28052,"['Skilled\nHunter', '', '', '', '', '', '', '', '', '', '', '']"
28053,"['Elite\nHunter', '', '', '', '', '', '', '', '', '', '', '']"
28054,"['Great\nHunter', '', '', '', '', '', '', '', '', '', '', '']"
28055,"['Veteran\nHunter', '', '', '', '', '', '', '', '', '', '', '']"
28081,"['Merchant', '', '', '', '', '', '', '', '', '', '', '']"
28082,"['Skilled\nMerchant', '', '', '', '', '', '', '', '', '', '', '']"
28083,"['Elite\nMerchant', '', '', '', '', '', '', '', '', '', '', '']"
28084,"['Great\nMerchant', '', '', '', '', '', '', '', '', '', '', '']"
28085,"['Veteran\nMerchant', '', '', '', '', '', '', '', '', '', '', '']"
28111,"['Dancer', '', '', '', '', '', '', '', '', '', '', '']"
28112,"['Skilled\nDancer', '', '', '', '', '', '', '', '', '', '', '']"
28113,"['Elite\nDancer', '', '', '', '', '', '', '', '', '', '', '']"
28114,"['Great\nDancer', '', '', '', '', '', '', '', '', '', '', '']"
28115,"['Veteran\nDancer', '', '', '', '', '', '', '', '', '', '', '']"
29500,"['No data.', '', '', '', '', '', '', '', '', '', '', '']"
29501,"['Former student of botany in Atlasdam. Currently\ntraveling from region to region researching a\nbotanical encyclopedia.\n\nThough naïve and indifferent to anything but research,\nshe is easygoing by nature and loved by her companions.', 'キャラ情報テスト（イギリス）', '', 'キャラ情報テスト（簡体字）', 'キャラ情報テスト（繁体字）', 'キャラ情報テスト（韓国）', 'キャラ情報テスト（フランス）', 'キャラ情報テスト（ドイツ）', 'キャラ情報テスト（スペイン）', 'キャラ情報テスト（ラテン）', 'キャラ情報テスト（イタリア）', 'キャラ情報テスト（オランダ）']"
29502,"[""Female warrior of the Rippletide town watch.\n\nShe took up the blade to follow in her father's footsteps,\nbut is plagued by self-doubt. She has yet to awaken\nto her own abilities."", '', '', '', '', '', '', '', '', '', '', '']"
29503,"['Male hunter with a burning vendetta against monsters,\nparticularly ratkin.\n\nThough taciturn, as his name suggests, if he accepts\na commission he sees it through to the bitter end.', '', '', '', '', '', '', '', '', '', '', '']"
29504,"['Master jeweler of impeccable discernment.\n\nMany are the nobles who long to engage his\nservices exclusively, but he enjoys freedom too\nmuch to accept any such offer.', '', '', '', '', '', '', '', '', '', '', '']"
29505,"['Cleric of the Order of the Sacred Flame.\n\nHe cannot ignore distress or suffering and will\noffer his hand to anyone in need. This kindness\nhas won him a devoted following.', '', '', '', '', '', '', '', '', '', '', '']"
29506,"['Thrill-seeking female thief wrapped in enigma.\n\n""Everything you took, I\'ll take back—with\ninterest,"" is her watchword. Rumor has it that\nthose who defy her in any way lose everything,\neven their life.', '', '', '', '', '', '', '', '', '', '', '']"
29507,"['Grandson and favored apprentice of the famed\napothecary Pollonia.\n\nHis unhurried bedside manner is a balm for body\nand soul alike that can put any patient at ease.', '', '', '', '', '', '', '', '', '', '', '']"
29508,"['Dancer traveling Orsterra researching regional\ntraditions in order to start her own troupe one day.\n\nHer dancing has bewitched audiences by the score,\nbut she remains humble and dedicated to her craft.', '', '', '', '', '', '', '', '', '', '', '']"
29509,"['Young bandit who dreams of being a benevolent\npicaroon.\n\nHe normally keeps his emotions hidden, but he\ndespises evil with a violent fury and loathes those\nwho torment the weak.', '', '', '', '', '', '', '', '', '', '', '']"
29510,"['Emberglow barfly who always drinks alone.\n\nNo matter how much drink he puts away, his eyes\nstay sharp and his guard stays up.', '', '', '', '', '', '', '', '', '', '', '']"
29511,"['Thief who roams the continent plying his trade.\n\n""Stand with the weak and against the powerful""\nis his creed. He steals only from the wicked, and\nthe common folk revere him as a hero.', '', '', '', '', '', '', '', '', '', '', '']"
29512,"[""Young merchant who, oddly enough, loathes the\nbusiness world.\n\nHis words drip with sarcasm, but deep down he is\nas chivalrous as his appraiser's eye is expert. He has\nexposed the iniquities of too many crooked\nmerchants to count."", '', '', '', '', '', '', '', '', '', '', '']"
