m_id,m_gametext
10001,"['{0}\nMust first complete {1}', '', '', '', '', '', '', '', '', '', '', '']"
10002,"['{0} influence must be Rank {1} or above', '', '', '', '', '', '', '', '', '', '', '']"
10005,"['{0} must be in the band', '', '', '', '', '', '', '', '', '', '', '']"
10006,"['{0} must be in the party', '', '', '', '', '', '', '', '', '', '', '']"
10007,"['{0} must be Lv. {1} or higher', '', '', '', '', '', '', '', '', '', '', '']"
10009,"['Must possess {0} x {1}', '', '', '', '', '', '', '', '', '', '', '']"
10011,"['Must defeat {0} x {1}', '', '', '', '', '', '', '', '', '', '', '']"
10013,"['2 or more party members', '', '', '', '', '', '', '', '', '', '', '']"
10015,"['3 or more party members', '', '', '', '', '', '', '', '', '', '', '']"
10017,"['5 or more party members', '', '', '', '', '', '', '', '', '', '', '']"
10020,"['8 or more party members', '', '', '', '', '', '', '', '', '', '', '']"
10022,"['{0} must have a class of {1}★ or more', '', '', '', '', '', '', '', '', '', '', '']"
10306,"['Must bring {0}', '', '', '', '', '', '', '', '', '', '', '']"
10100,"['Undertake Quest', '', '', '', '', '', '', '', '', '', '', '']"
10102,"['Obtained', '', '', '', '', '', '', '', '', '', '', '']"
10103,"['Conditions to Progress', '', '', '', '', '', '', '', '', '', '', '']"
10104,"['Quest Priority Settings', '', '', '', '', '', '', '', '', '', '', '']"
10105,"['Prioritize this quest?', '', '', '', '', '', '', '', '', '', '', '']"
10106,"['Prioritized Quests', '', '', '', '', '', '', '', '', '', '', '']"
10107,"['*Prioritized quests can be accessed at any time from the Quest menu.', '', '', '', '', '', '', '', '', '', '', '']"
10108,"['No', '', '', '', '', '', '', '', '', '', '', '']"
10109,"['Yes', '', '', '', '', '', '', '', '', '', '', '']"
10110,"['No prioritized quests', '', '', '', '', '', '', '', '', '', '', '']"
10200,"['Prologue', '', '', '', '', '', '', '', '', '', '', '']"
10201,"['Chapter I', '', '', '', '', '', '', '', '', '', '', '']"
10202,"['Chapter II', '', '', '', '', '', '', '', '', '', '', '']"
10203,"['Chapter III', '', '', '', '', '', '', '', '', '', '', '']"
10220,"['Prologue', '', '', '', '', '', '', '', '', '', '', '']"
10221,"['Chapter I', '', '', '', '', '', '', '', '', '', '', '']"
10222,"['Chapter II', '', '', '', '', '', '', '', '', '', '', '']"
10223,"['Chapter III', '', '', '', '', '', '', '', '', '', '', '']"
10224,"['Chapter IV', '', '', '', '', '', '', '', '', '', '', '']"
10225,"['Chapter V', '', '', '', '', '', '', '', '', '', '', '']"
10226,"['Chapter VI', '', '', '', '', '', '', '', '', '', '', '']"
10227,"['Chapter VII', '', '', '', '', '', '', '', '', '', '', '']"
10228,"['Chapter VIII', '', '', '', '', '', '', '', '', '', '', '']"
10229,"['Final Chapter', '', '', '', '', '', '', '', '', '', '', '']"
10230,"['A New Chapter', '', '', '', '', '', '', '', '', '', '', '']"
10300,"['A new quest has been added!', '', '', '', '', '', '', '', '', '', '', '']"
63250,"['no data.', '', '', '', '', '', '', '', '', '', '', '']"
10100001,"['Master of Wealth', 'ボスシナリオテスト（イギリス）', '', 'ボスシナリオテスト（簡体字）', 'ボスシナリオテスト（繁体字）', 'ボスシナリオテスト（韓国）', 'ボスシナリオテスト（フランス）', 'ボスシナリオテスト（ドイツ）', 'ボスシナリオテスト（スペイン）', 'ボスシナリオテスト（ラテン）', 'ボスシナリオテスト（イタリア）', 'ボスシナリオテスト（オランダ）']"
10101005,"['Speak with Bargello.', '', '', '', '', '', '', '', '', '', '', '']"
10101006,"['[Location] Valore', '', '', '', '', '', '', '', '', '', '', '']"
10101002,"['The Covetous Witch', '', '', '', '', '', '', '', '', '', '', '']"
10101003,"['The wealthiest person in all\nthe realm, Lady Herminia was\nnotorious to all as the ""Covetous Witch.""\n\nPossessing wealth greater than\nmany nations, there is nothing in\nthis world her fortune cannot buy.', '', '', '', '', '', '', '', '', '', '', '']"
10101015,"[""Meet up with Bargello outside Herminia's Manse."", '', '', '', '', '', '', '', '', '', '', '']"
10101016,"[""[Location] Herminia's Manse: Entrance"", '', '', '', '', '', '', '', '', '', '', '']"
10101025,"['Join the party.', '', '', '', '', '', '', '', '', '', '', '']"
10101026,"[""[Location] Herminia's Manse"", '', '', '', '', '', '', '', '', '', '', '']"
10101035,"['Leave the party.', '', '', '', '', '', '', '', '', '', '', '']"
10101036,"[""[Location] Herminia's Manse: Entrance"", '', '', '', '', '', '', '', '', '', '', '']"
10101045,"['Confront the man who killed the slaves.', '', '', '', '', '', '', '', '', '', '', '']"
10101046,"[""[Location] Herminia's Manse: Entrance"", '', '', '', '', '', '', '', '', '', '', '']"
10101055,"[""Go to Taviani's hideout."", '', '', '', '', '', '', '', '', '', '', '']"
10101056,"['[Location] Valore', '', '', '', '', '', '', '', '', '', '', '']"
10102002,"['A Flower Blooms', '', '', '', '', '', '', '', '', '', '', '']"
10102003,"['At a banquet thrown by Lady Herminia,\nBargello impressed the underworld\nwith his bravery.\n\nNow, his new boss, Taviani,\nhas an order for him...', '', '', '', '', '', '', '', '', '', '', '']"
10102025,"['Go to Emberglow in the Frostlands.', '', '', '', '', '', '', '', '', '', '', '']"
10102026,"['[Location] Emberglow', '', '', '', '', '', '', '', '', '', '', '']"
10102035,"['Meet up with Taviani at the Snowbloom Ruins.', '', '', '', '', '', '', '', '', '', '', '']"
10102036,"['[Location] Snowbloom Ruins', '', '', '', '', '', '', '', '', '', '', '']"
10102045,"['Go to the Subterranean Snow Ruins.', '', '', '', '', '', '', '', '', '', '', '']"
10102046,"['[Location] Subterranean Snow Ruins', '', '', '', '', '', '', '', '', '', '', '']"
10102055,"[""Infiltrate Herminia's transaction site."", '', '', '', '', '', '', '', '', '', '', '']"
10102056,"['[Location] Subterranean Snow Ruins', '', '', '', '', '', '', '', '', '', '', '']"
10103002,"['Herminia the Huntress', '', '', '', '', '', '', '', '', '', '', '']"
10103003,"[""The siren call of wealth has corrupted\nSonia's once pure heart.\n\nFurious at this turn of events,\nBargello hatches a plan to\noverthrow Lady Herminia."", '', '', '', '', '', '', '', '', '', '', '']"
10103015,"[""Go to Rosso's hideout."", '', '', '', '', '', '', '', '', '', '', '']"
10103016,"['[Location] Valore: Main Boulevard', '', '', '', '', '', '', '', '', '', '', '']"
10103025,"[""Go to Bargello's hideout."", '', '', '', '', '', '', '', '', '', '', '']"
10103026,"['[Location] Valore', '', '', '', '', '', '', '', '', '', '', '']"
10103035,"['Search for Lady Herminia.', '', '', '', '', '', '', '', '', '', '', '']"
10103036,"[""[Location] Herminia's Manse"", '', '', '', '', '', '', '', '', '', '', '']"
10103045,"['Search for the key to the locked door.', '', '', '', '', '', '', '', '', '', '', '']"
10103046,"[""[Location] Herminia's Manse"", '', '', '', '', '', '', '', '', '', '', '']"
10103055,"['Unlock the door.', '', '', '', '', '', '', '', '', '', '', '']"
10103056,"[""[Location] Herminia's Manse"", '', '', '', '', '', '', '', '', '', '', '']"
