m_id,m_nLine,m_nLineA,m_nLen,m_nLenA,m_gametext
63250,3,2,20,12,"['no data.', '', '', '', '', '', '', '', '', '', '', '']"
10100001,3,2,20,12,"['富を極めし者', 'ボスシナリオテスト（イギリス）', 'ボスシナリオテスト（アメリカ）', 'ボスシナリオテスト（簡体字）', 'ボスシナリオテスト（繁体字）', 'ボスシナリオテスト（韓国）', 'ボスシナリオテスト（フランス）', 'ボスシナリオテスト（ドイツ）', 'ボスシナリオテスト（スペイン）', 'ボスシナリオテスト（ラテン）', 'ボスシナリオテスト（イタリア）', 'ボスシナリオテスト（オランダ）']"
10101002,3,2,20,12,"['強慾の魔女', '', '', '', '', '', '', '', '', '', '', '']"
10101003,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10101004,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10101015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10101025,3,2,20,12,"['酒場から出る', '', '', '', '', '', '', '', '', '', '', '']"
10101026,3,2,20,12,"['そこで新たな出会いがある', '', '', '', '', '', '', '', '', '', '', '']"
10101035,3,2,20,12,"['地図に示された場所へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10101036,3,2,20,12,"['バルジェロがそこで待つ', '', '', '', '', '', '', '', '', '', '', '']"
10101045,3,2,20,12,"['屋敷の中へ', '', '', '', '', '', '', '', '', '', '', '']"
10101046,3,2,20,12,"['ティーゼルの屋敷での出会い', '', '', '', '', '', '', '', '', '', '', '']"
10101055,3,2,20,12,"['屋敷から出る', '', '', '', '', '', '', '', '', '', '', '']"
10101056,3,2,20,12,"['ここでの用は済んだ', '', '', '', '', '', '', '', '', '', '', '']"
10101065,3,2,20,12,"['奥へ進む', '', '', '', '', '', '', '', '', '', '', '']"
10101066,3,2,20,12,"['VS傭兵長トリスタン', '', '', '', '', '', '', '', '', '', '', '']"
10101075,3,2,20,12,"['地図に示された場所へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10101076,3,2,20,12,"['バルジェロの思惑', '', '', '', '', '', '', '', '', '', '', '']"
10102002,3,2,20,12,"['白日の花', '', '', '', '', '', '', '', '', '', '', '']"
10102003,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10102004,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10102015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10102025,3,2,20,12,"['コランバインへ行く', '', '', '', '', '', '', '', '', '', '', '']"
10102026,3,2,20,12,"['タットリアの片腕がそこにいる', '', '', '', '', '', '', '', '', '', '', '']"
10102035,3,2,20,12,"['地図に示された場所へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10102036,3,2,20,12,"['タットリアたちと合流する', '', '', '', '', '', '', '', '', '', '', '']"
10102045,3,2,20,12,"['地図に示された場所へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10102046,3,2,20,12,"['取引現場への潜入', '', '', '', '', '', '', '', '', '', '', '']"
10102055,3,2,20,12,"['最奥へ進む', '', '', '', '', '', '', '', '', '', '', '']"
10102056,3,2,20,12,"['タットリアが待っている', '', '', '', '', '', '', '', '', '', '', '']"
10103002,3,2,20,12,"['狩王女ティーゼル', '', '', '', '', '', '', '', '', '', '', '']"
10103003,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10103015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10103025,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10103035,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10103045,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10103055,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10103065,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10200001,3,2,20,12,"['権力を極めし者', '', '', '', '', '', '', '', '', '', '', '']"
10201002,3,2,20,12,"['緋き支配者', '', '', '', '', '', '', '', '', '', '', '']"
10201003,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10201004,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10201015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10201025,3,2,20,12,"['地図に示された場所へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10201026,3,2,20,12,"['リンユウの様子を見に行く', '', '', '', '', '', '', '', '', '', '', '']"
10201035,3,2,20,12,"['地図に示された場所へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10201036,3,2,20,12,"['リンユウの家へ向かう', '', '', '', '', '', '', '', '', '', '', '']"
