m_id,m_gametext
1,"['All', '', '', '', '', '', '', '', '', '', '', '']"
2,"['Recommended', '', '', '', '', '', '', '', '', '', '', '']"
3,"['Main', '', '', '', '', '', '', '', '', '', '', '']"
4,"['Side', '', '', '', '', '', '', '', '', '', '', '']"
5,"['Photo', '', '', '', '', '', '', '', '', '', '', '']"
132,"['Tourney', '', '', '', '', '', '', '', '', '', '', '']"
140,"['Bonfires of Battle', '', '', '', '', '', '', '', '', '', '', '']"
188,"['Other', '', '', '', '', '', '', '', '', '', '', '']"
187,"['Traveler', '', '', '', '', '', '', '', '', '', '', '']"
219,"['Master\nof Wealth', '', '', '', '', '', '', '', '', '', '', '']"
255,"['Master\nof Power', '', '', '', '', '', '', '', '', '', '', '']"
256,"['Master\nof Fame', '', '', '', '', '', '', '', '', '', '', '']"
257,"['Master\nof All', '', '', '', '', '', '', '', '', '', '', '']"
258,"['Bestower\nof Wealth', '', '', '', '', '', '', '', '', '', '', '']"
259,"['Bestower\nof Power', '', '', '', '', '', '', '', '', '', '', '']"
260,"['Bestower\nof Fame', '', '', '', '', '', '', '', '', '', '', '']"
326,"['New Traveler', '', '', '', '', '', '', '', '', '', '', '']"
327,"['Veteran Hero', '', '', '', '', '', '', '', '', '', '', '']"
328,"['Traveler Chat', '', '', '', '', '', '', '', '', '', '', '']"
595,"['Theatre of Memories', '', '', '', '', '', '', '', '', '', '', '']"
471,"['Tales of Orsterra', '', '', '', '', '', '', '', '', '', '', '']"
472,"[""Travelers' Log"", '', '', '', '', '', '', '', '', '', '', '']"
6,"['Short Event', '', '', '', '', '', '', '', '', '', '', '']"
7,"['Party Chat', '', '', '', '', '', '', '', '', '', '', '']"
8,"['Photo Event', '', '', '', '', '', '', '', '', '', '', '']"
133,"['Serial Event', '', '', '', '', '', '', '', '', '', '', '']"
189,"['Battle Event', '', '', '', '', '', '', '', '', '', '', '']"
9,"['Memoirs of a Cait Scholar', '', '', '', '', '', '', '', '', '', '', '']"
10,"[""Can't Enter the Tower of Remembrance?"", '', '', '', '', '', '', '', '', '', '', '']"
