m_id,m_gametext
0,"['no data.', '', '', '', '', '', '', '', '', '', '', '']"
1,"['Order', 'UI共通テスト（イギリス）', '', 'UI共通テスト（簡体字）', 'UI共通テスト（繁体字）', 'UI共通テスト（韓国）', 'UI共通テスト（フランス）', 'UI共通テスト（ドイツ）', 'UI共通テスト（スペイン）', 'UI共通テスト（ラテン）', 'UI共通テスト（イタリア）', 'UI共通テスト（オランダ）']"
2,"['Filter', '', '', '', '', '', '', '', '', '', '', '']"
3,"['Selected', '', '', '', '', '', '', '', '', '', '', '']"
5,"['Remove', '', '', '', '', '', '', '', '', '', '', '']"
7,"['Held', '', '', '', '', '', '', '', '', '', '', '']"
8,"['Change', '', '', '', '', '', '', '', '', '', '', '']"
9,"['Learning Reqs.', '', '', '', '', '', '', '', '', '', '', '']"
10,"['Unlock', '', '', '', '', '', '', '', '', '', '', '']"
11,"['Req. Items', '', '', '', '', '', '', '', '', '', '', '']"
12,"['Main Story', '', '', '', '', '', '', '', '', '', '', '']"
13,"['Traveler Story', '', '', '', '', '', '', '', '', '', '', '']"
14,"['Side Story', '', '', '', '', '', '', '', '', '', '', '']"
15,"['Scenario', '', '', '', '', '', '', '', '', '', '', '']"
16,"['Reset', '', '', '', '', '', '', '', '', '', '', '']"
17,"['Difficulty', '', '', '', '', '', '', '', '', '', '', '']"
18,"['Rewards', '', '', '', '', '', '', '', '', '', '', '']"
20,"['Accepted', '', '', '', '', '', '', '', '', '', '', '']"
21,"['Accept All', '', '', '', '', '', '', '', '', '', '', '']"
26,"['Low', '', '', '', '', '', '', '', '', '', '', '']"
27,"['Med.', '', '', '', '', '', '', '', '', '', '', '']"
28,"['High', '', '', '', '', '', '', '', '', '', '', '']"
29,"['All', '', '', '', '', '', '', '', '', '', '', '']"
30,"['Normal', '', '', '', '', '', '', '', '', '', '', '']"
31,"['Little', '', '', '', '', '', '', '', '', '', '', '']"
32,"['None', '', '', '', '', '', '', '', '', '', '', '']"
33,"['On', '', '', '', '', '', '', '', '', '', '', '']"
34,"['Off', '', '', '', '', '', '', '', '', '', '', '']"
35,"['Simple', '', '', '', '', '', '', '', '', '', '', '']"
36,"['Auto', '', '', '', '', '', '', '', '', '', '', '']"
37,"['Slow', '', '', '', '', '', '', '', '', '', '', '']"
38,"['Fast', '', '', '', '', '', '', '', '', '', '', '']"
39,"['Category', '', '', '', '', '', '', '', '', '', '', '']"
40,"['Total', '', '', '', '', '', '', '', '', '', '', '']"
41,"['Req. Materials', '', '', '', '', '', '', '', '', '', '', '']"
42,"['No Reqs.', '', '', '', '', '', '', '', '', '', '', '']"
43,"['Reqs.', '', '', '', '', '', '', '', '', '', '', '']"
44,"['Paid', '', '', '', '', '', '', '', '', '', '', '']"
45,"['Free', '', '', '', '', '', '', '', '', '', '', '']"
46,"['Wealth Req.', '', '', '', '', '', '', '', '', '', '', '']"
47,"['Power Req.', '', '', '', '', '', '', '', '', '', '', '']"
48,"['Fame Req.', '', '', '', '', '', '', '', '', '', '', '']"
49,"['Not Enough', '', '', '', '', '', '', '', '', '', '', '']"
50,"['""', '', '', '', '', '', '', '', '', '', '', '']"
51,"['""', '', '', '', '', '', '', '', '', '', '', '']"
52,"['obtained.', '', '', '', '', '', '', '', '', '', '', '']"
53,"['×', '', '', '', '', '', '', '', '', '', '', '']"
54,"['Rubies', '', '', '', '', '', '', '', '', '', '', '']"
55,"['Leaves', '', '', '', '', '', '', '', '', '', '', '']"
