m_id,m_voiceId,m_gametext
100061,50000,"['In the beginning,', '', '', '', '', '', '', '', '', '', '', '']"
100062,0,"['there was no heaven or earth.', '', '', '', '', '', '', '', '', '', '', '']"
100063,0,"['There was only chaos.', '', '', '', '', '', '', '', '', '', '', '']"
100064,50001,"['In time, Orsa, Mother of All, was born.', '', '', '', '', '', '', '', '', '', '', '']"
100065,0,"['And so did She create our world.', '', '', '', '', '', '', '', '', '', '', '']"
100066,50002,"['Lamenting Her solitude,', '', '', '', '', '', '', '', '', '', '', '']"
100067,0,"['She created a companion in Her image.', '', '', '', '', '', '', '', '', '', '', '']"
100068,0,"['She named Him Finis, and with Him,', '', '', '', '', '', '', '', '', '', '', '']"
100069,0,"['bore thirteen children.', '', '', '', '', '', '', '', '', '', '', '']"
100070,50003,"['Upon giving birth to Her thirteenth and', '', '', '', '', '', '', '', '', '', '', '']"
100071,0,"['final child, Orsa drew Her final breath.', '', '', '', '', '', '', '', '', '', '', '']"
100072,50004,"['Bereft of His only companion,', '', '', '', '', '', '', '', '', '', '', '']"
100073,0,"['Finis began to weep, and weep He did...', '', '', '', '', '', '', '', '', '', '', '']"
100074,50005,"['For years, and for ages.', '', '', '', '', '', '', '', '', '', '', '']"
100075,0,"['Until our world wasted away...', '', '', '', '', '', '', '', '', '', '', '']"
100076,71061,"['How long have I searched...?', '', '', '', '', '', '', '', '', '', '', '']"
100077,71062,"['Now, at long last...\nI have found what I seek.', '', '', '', '', '', '', '', '', '', '', '']"
100078,50007,"['...The Chosen One.', '', '', '', '', '', '', '', '', '', '', '']"
100079,50008,"['O Flamebringer...\nLead this one true...', '', '', '', '', '', '', '', '', '', '', '']"
112125,50009,"['...You.\nYes, you...', '', '', '', '', '', '', '', '', '', '', '']"
112127,71063,"['You are a traveler.', '', '', '', '', '', '', '', '', '', '', '']"
112128,71064,"['You have journeyed long\nand far to reach this place.', '', '', '', '', '', '', '', '', '', '', '']"
95051,50011,"['Now...a new journey awaits.', '', '', '', '', '', '', '', '', '', '', '']"
95034,50012,"['First, you must learn to do battle.', '', '', '', '', '', '', '', '', '', '', '']"
112129,50014,"['Traveler...', '', '', '', '', '', '', '', '', '', '', '']"
112130,50015,"['It is too soon to lay yourself to rest.', '', '', '', '', '', '', '', '', '', '', '']"
112131,50016,"['After all...', '', '', '', '', '', '', '', '', '', '', '']"
112132,50017,"['You have yet to find\nthat which you seek, no?', '', '', '', '', '', '', '', '', '', '', '']"
112133,50018,"['You have been chosen by this ring.', '', '', '', '', '', '', '', '', '', '', '']"
112134,50019,"['A ring forged by the gods themselves.', '', '', '', '', '', '', '', '', '', '', '']"
112135,50020,"['I ask you this, Chosen One...', '', '', '', '', '', '', '', '', '', '', '']"
112136,50021,"[""What do you seek\nat journey's end?"", '', '', '', '', '', '', '', '', '', '', '']"
112137,50022,"['Wealth——the power to provide.', '', '', '', '', '', '', '', '', '', '', '']"
112138,0,"['Flowing water to quench the thirst of need.', '', '', '', '', '', '', '', '', '', '', '']"
112139,0,"['And yet, one must ever be wary, lest one', '', '', '', '', '', '', '', '', '', '', '']"
112140,0,"['drown in the murky waves of greed...', '', '', '', '', '', '', '', '', '', '', '']"
112141,50023,"['Traveler. If it is wealth you would have,\na formidable foe will stand before you.', '', '', '', '', '', '', '', '', '', '', '']"
112142,50024,"['Tell me...is this truly what you seek?', '', '', '', '', '', '', '', '', '', '', '']"
112143,0,"['You are about to commence the\nTale of Wealth from the Woodlands.\nProceed?\n\n(*You may still play the other tales later.)', '', '', '', '', '', '', '', '', '', '', '']"
112144,50026,"['Power——the strength to crush your foes.', '', '', '', '', '', '', '', '', '', '', '']"
112145,0,"['A mighty blade to triumph on the battlefield.', '', '', '', '', '', '', '', '', '', '', '']"
112146,0,"['And yet, in the wrong hands, the same', '', '', '', '', '', '', '', '', '', '', '']"
112147,0,"['blade may be used to wound the innocent...', '', '', '', '', '', '', '', '', '', '', '']"
112148,50027,"['Traveler. If it is power you would have,\na formidable foe will stand before you.', '', '', '', '', '', '', '', '', '', '', '']"
112149,50028,"['Tell me...is this truly what you seek?', '', '', '', '', '', '', '', '', '', '', '']"
112150,0,"['You are about to commence the\nTale of Power from the Frostlands.\nProceed?\n\n(*You may still play the other tales later.)', '', '', '', '', '', '', '', '', '', '', '']"
112151,50030,"['Fame——the force of faith.', '', '', '', '', '', '', '', '', '', '', '']"
112152,0,"['A banner to rally the multitudes.', '', '', '', '', '', '', '', '', '', '', '']"
112153,0,"['Yet one with a wicked heart might also use', '', '', '', '', '', '', '', '', '', '', '']"
112154,0,"['their fame to deceive and ensnare...', '', '', '', '', '', '', '', '', '', '', '']"
112155,50031,"['Traveler. If it is fame you would have,\na formidable foe will stand before you.', '', '', '', '', '', '', '', '', '', '', '']"
112156,50032,"['Tell me...is this truly what you seek?', '', '', '', '', '', '', '', '', '', '', '']"
112157,0,"['You are about to commence the\nTale of Fame from the Flatlands.\nProceed?\n\n(*You may still play the other tales later.)', '', '', '', '', '', '', '', '', '', '', '']"
112158,0,"['Yes', '', '', '', '', '', '', '', '', '', '', '']"
