m_id,m_PartVoiceID,m_voiceId,m_gametext
316,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['It seems to be locked...', '', '', '', '', '', '', '', '', '', '', '']"
540,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Someone's below.\nYou should probably stay away..."", '', '', '', '', '', '', '', '', '', '', '']"
507,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['A powerful foe lies ahead.\n*If interrupted, you may have to start over at the beginning.\n\nProceed anyway?', '', '', '', '', '', '', '', '', '', '', '']"
508,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['No', '', '', '', '', '', '', '', '', '', '', '']"
509,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Yes', '', '', '', '', '', '', '', '', '', '', '']"
38815,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Your journey is approaching a turning point.\nAs such, certain Path Actions will be unavailable in this town.\n\nProceed anyway?', '', '', '', '', '', '', '', '', '', '', '']"
5000,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""It seems you can't go any further."", '', '', '', '', '', '', '', '', '', '', '']"
36036,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['A battle lies ahead.\n*If interrupted, you may have to start over at the beginning.\n\nProceed anyway?', '', '', '', '', '', '', '', '', '', '', '']"
36038,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['No', '', '', '', '', '', '', '', '', '', '', '']"
36037,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Yes', '', '', '', '', '', '', '', '', '', '', '']"
36013,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Swipe to walk.\n*Slide your finger sideways across the screen.', '', '', '', '', '', '', '', '', '', '', '']"
36014,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Flick to dash.\n*Quickly slide your finger in the direction you want to go, then lift your finger.', '', '', '', '', '', '', '', '', '', '', '']"
36027,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Tap while dashing to stop.\n*Touch lightly, then lift your finger.', '', '', '', '', '', '', '', '', '', '', '']"
36028,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Now try to dash again.', '', '', '', '', '', '', '', '', '', '', '']"
