m_id,m_SymbolEnemyId,m_TreasureBoxId,m_probability
0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1,"[1001, 2003, 0, 0, 0]","[10, 1022, 0, 0, 0]","[100, 100, 0, 0, 0]"
2,"[1001, 2003, 0, 0, 0]","[10, 1022, 0, 0, 0]","[100, 100, 0, 0, 0]"
3,"[1001, 2003, 0, 0, 0]","[10, 1022, 0, 0, 0]","[100, 100, 0, 0, 0]"
4,"[1001, 2003, 0, 0, 0]","[10, 1022, 0, 0, 0]","[100, 100, 0, 0, 0]"
5,"[1001, 2003, 0, 0, 0]","[10, 1022, 0, 0, 0]","[100, 100, 0, 0, 0]"
6,"[6, 0, 0, 0, 0]","[10, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
7,"[7, 0, 0, 0, 0]","[10, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
8,"[10, 0, 0, 0, 0]","[10, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
9,"[12, 0, 0, 0, 0]","[10, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
10,"[11, 0, 0, 0, 0]","[10, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
1001,"[0, 0, 0, 0, 0]","[10, 10, 10, 10, 0]","[20, 5, 65, 10, 0]"
1002,"[0, 0, 0, 0, 0]","[10, 10, 10, 10, 0]","[20, 5, 65, 10, 0]"
2001,"[8001, 8007, 0, 0, 0]","[9000, 9001, 0, 0, 0]","[95, 5, 0, 0, 0]"
2002,"[8002, 8015, 0, 0, 0]","[9000, 9001, 0, 0, 0]","[95, 5, 0, 0, 0]"
2003,"[8003, 8007, 0, 0, 0]","[9000, 9001, 0, 0, 0]","[95, 5, 0, 0, 0]"
2004,"[8004, 8015, 0, 0, 0]","[9000, 9001, 0, 0, 0]","[95, 5, 0, 0, 0]"
2005,"[8005, 0, 0, 0, 0]","[9000, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
2013,"[10001, 8016, 0, 0, 0]","[9006, 9007, 0, 0, 0]","[95, 5, 0, 0, 0]"
2014,"[10002, 8016, 0, 0, 0]","[9006, 9007, 0, 0, 0]","[95, 5, 0, 0, 0]"
2015,"[10003, 8016, 0, 0, 0]","[9006, 9007, 0, 0, 0]","[95, 5, 0, 0, 0]"
2016,"[10004, 8008, 0, 0, 0]","[9006, 9007, 0, 0, 0]","[95, 5, 0, 0, 0]"
2017,"[10005, 0, 0, 0, 0]","[9006, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
2006,"[9001, 8009, 0, 0, 0]","[9003, 9004, 0, 0, 0]","[95, 5, 0, 0, 0]"
2007,"[9002, 8009, 0, 0, 0]","[9003, 9004, 0, 0, 0]","[95, 5, 0, 0, 0]"
2008,"[9003, 8017, 0, 0, 0]","[9003, 9004, 0, 0, 0]","[95, 5, 0, 0, 0]"
2009,"[9004, 8017, 0, 0, 0]","[9003, 9004, 0, 0, 0]","[95, 5, 0, 0, 0]"
2010,"[9005, 8009, 0, 0, 0]","[9003, 9004, 0, 0, 0]","[95, 5, 0, 0, 0]"
2011,"[9006, 8017, 0, 0, 0]","[9003, 9004, 0, 0, 0]","[95, 5, 0, 0, 0]"
2012,"[9007, 0, 0, 0, 0]","[9003, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
2018,"[11001, 8010, 0, 0, 0]","[9009, 9010, 0, 0, 0]","[95, 5, 0, 0, 0]"
2019,"[11002, 8018, 0, 0, 0]","[9009, 9010, 0, 0, 0]","[95, 5, 0, 0, 0]"
2020,"[11003, 8018, 0, 0, 0]","[9009, 9010, 0, 0, 0]","[95, 5, 0, 0, 0]"
2021,"[11004, 8010, 0, 0, 0]","[9009, 9010, 0, 0, 0]","[95, 5, 0, 0, 0]"
2022,"[11005, 8018, 0, 0, 0]","[9009, 9010, 0, 0, 0]","[95, 5, 0, 0, 0]"
2023,"[11006, 8010, 0, 0, 0]","[9009, 9010, 0, 0, 0]","[95, 5, 0, 0, 0]"
2024,"[11007, 0, 0, 0, 0]","[9009, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
2025,"[12001, 8019, 0, 0, 0]","[9012, 9013, 0, 0, 0]","[95, 5, 0, 0, 0]"
2026,"[12002, 8019, 0, 0, 0]","[9012, 9013, 0, 0, 0]","[95, 5, 0, 0, 0]"
2027,"[12003, 8019, 0, 0, 0]","[9012, 9013, 0, 0, 0]","[95, 5, 0, 0, 0]"
2028,"[12004, 8011, 0, 0, 0]","[9012, 9013, 0, 0, 0]","[95, 5, 0, 0, 0]"
2029,"[12005, 8019, 0, 0, 0]","[9012, 9013, 0, 0, 0]","[95, 5, 0, 0, 0]"
2030,"[12006, 8019, 0, 0, 0]","[9012, 9013, 0, 0, 0]","[95, 5, 0, 0, 0]"
2031,"[12007, 0, 0, 0, 0]","[9012, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
2032,"[13001, 8020, 0, 0, 0]","[9015, 9016, 0, 0, 0]","[95, 5, 0, 0, 0]"
2033,"[13002, 8020, 0, 0, 0]","[9015, 9016, 0, 0, 0]","[95, 5, 0, 0, 0]"
2034,"[13003, 8020, 0, 0, 0]","[9015, 9016, 0, 0, 0]","[95, 5, 0, 0, 0]"
2035,"[13004, 8012, 0, 0, 0]","[9015, 9016, 0, 0, 0]","[95, 5, 0, 0, 0]"
2036,"[13005, 8020, 0, 0, 0]","[9015, 9016, 0, 0, 0]","[95, 5, 0, 0, 0]"
2037,"[13006, 8020, 0, 0, 0]","[9015, 9016, 0, 0, 0]","[95, 5, 0, 0, 0]"
2038,"[13007, 0, 0, 0, 0]","[9015, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
