m_id,m_RewardType,m_RewardItemId,m_RewardItemNum,m_isGreat,m_HDListID
0,0,0,0,194,0
1,210,50204,29,194,1
2,210,50207,2,194,1
3,240,50001,5,194,1
165,250,55,1,194,1
166,250,113,1,194,1
167,250,171,1,194,1
168,250,229,1,194,1
169,250,56,1,194,1
170,250,114,1,194,1
171,250,172,1,194,1
172,250,230,1,194,1
173,250,57,1,194,1
4,210,50204,33,195,1
5,210,50207,3,195,1
6,240,50002,1,195,1
175,250,55,1,195,1
176,250,113,1,195,1
177,250,171,1,195,1
178,250,229,1,195,1
179,250,56,1,195,1
180,250,114,1,195,1
181,250,172,1,195,1
182,250,230,1,195,1
183,250,57,1,195,1
184,250,115,2,195,1
185,250,173,1,195,1
7,210,50205,2,194,3
8,210,50207,12,194,3
9,240,50001,5,194,3
190,250,56,1,194,3
191,250,114,1,194,3
192,250,172,1,194,3
193,250,230,1,194,3
194,250,57,1,194,3
195,250,115,1,194,3
196,250,173,1,194,3
197,250,231,1,194,3
198,250,174,1,194,3
10,210,50205,3,195,3
11,210,50207,14,195,3
12,240,50002,1,195,3
200,250,56,1,195,3
201,250,114,1,195,3
202,250,172,1,195,3
203,250,230,1,195,3
204,250,57,1,195,3
205,250,115,1,195,3
206,250,173,1,195,3
207,250,231,1,195,3
208,250,58,1,195,3
209,250,116,1,195,3
210,250,174,1,195,3
211,250,232,1,195,3
13,210,50205,14,194,2
14,210,50207,7,194,2
15,240,50001,5,194,2
216,250,58,2,194,2
217,250,116,1,194,2
218,250,174,2,194,2
219,250,232,1,194,2
220,250,59,2,194,2
221,250,117,2,194,2
222,250,175,1,194,2
223,250,233,1,194,2
224,250,234,1,194,2
16,210,50205,17,195,2
17,210,50207,8,195,2
18,240,50002,1,195,2
226,250,58,2,195,2
227,250,116,1,195,2
228,250,174,2,195,2
229,250,232,1,195,2
230,250,59,2,195,2
231,250,117,2,195,2
232,250,175,1,195,2
233,250,233,1,195,2
234,250,60,1,195,2
235,250,118,1,195,2
236,250,176,1,195,2
237,250,234,1,195,2
19,210,50208,3,194,4
20,210,50205,27,194,4
21,240,50001,5,194,4
242,250,59,1,194,4
243,250,117,1,194,4
244,250,175,1,194,4
245,250,233,1,194,4
246,250,60,1,194,4
247,250,118,1,194,4
248,250,176,1,194,4
249,250,234,1,194,4
250,250,61,1,194,4
251,250,119,2,194,4
252,250,177,1,194,4
253,250,235,1,194,4
22,210,50208,5,195,4
23,210,50205,30,195,4
24,240,50002,1,195,4
255,250,59,1,195,4
256,250,117,1,195,4
257,250,175,1,195,4
258,250,233,1,195,4
259,250,60,1,195,4
260,250,118,1,195,4
261,250,176,1,195,4
262,250,234,1,195,4
263,250,61,2,195,4
264,250,119,2,195,4
265,250,177,2,195,4
266,250,235,2,195,4
25,210,50208,5,194,5
26,210,50206,5,194,5
27,240,50001,5,194,5
271,250,62,2,194,5
272,250,120,2,194,5
273,250,178,2,194,5
274,250,236,2,194,5
275,250,63,1,194,5
276,250,121,1,194,5
277,250,179,1,194,5
278,250,237,1,194,5
279,250,122,1,194,5
28,210,50208,7,195,5
29,210,50206,6,195,5
30,240,50002,1,195,5
281,250,62,2,195,5
282,250,120,2,195,5
283,250,178,2,195,5
284,250,236,2,195,5
285,250,63,1,195,5
286,250,121,1,195,5
287,250,179,1,195,5
288,250,237,1,195,5
289,250,64,1,195,5
290,250,122,1,195,5
291,250,180,1,195,5
292,250,238,1,195,5
31,210,50206,12,194,6
32,240,50001,5,194,6
297,250,63,1,194,6
298,250,121,1,194,6
299,250,179,1,194,6
300,250,237,1,194,6
301,250,64,1,194,6
302,250,122,1,194,6
303,250,180,1,194,6
304,250,238,1,194,6
305,250,65,1,194,6
306,250,123,1,194,6
307,250,181,1,194,6
308,250,239,1,194,6
309,250,240,1,194,6
33,210,50206,14,195,6
34,240,50002,1,195,6
311,250,63,1,195,6
312,250,121,1,195,6
313,250,179,1,195,6
314,250,237,1,195,6
315,250,64,1,195,6
316,250,122,1,195,6
317,250,180,1,195,6
318,250,238,1,195,6
319,250,65,1,195,6
320,250,123,1,195,6
321,250,181,1,195,6
322,250,239,1,195,6
323,250,66,1,195,6
324,250,124,1,195,6
325,250,182,1,195,6
326,250,240,1,195,6
35,210,50208,13,194,7
36,210,50206,14,194,7
37,240,50001,5,194,7
331,250,65,1,194,7
332,250,123,1,194,7
333,250,181,1,194,7
334,250,239,1,194,7
335,250,66,2,194,7
336,250,124,2,194,7
337,250,182,2,194,7
338,250,240,2,194,7
339,250,67,1,194,7
38,210,50208,16,195,7
39,210,50206,17,195,7
40,240,50002,1,195,7
340,250,65,1,195,7
341,250,123,1,195,7
342,250,181,1,195,7
343,250,239,1,195,7
344,250,66,2,195,7
345,250,124,2,195,7
346,250,182,2,195,7
347,250,240,2,195,7
348,250,67,1,195,7
349,250,125,1,195,7
350,250,183,1,195,7
351,250,241,1,195,7
41,210,50208,21,194,8
42,210,50209,5,194,8
43,240,50001,5,194,8
352,250,67,3,194,8
353,250,125,3,194,8
354,250,183,4,194,8
355,250,241,3,194,8
44,210,50208,26,195,8
45,210,50209,6,195,8
46,240,50002,1,195,8
356,250,67,4,195,8
357,250,125,4,195,8
358,250,183,4,195,8
359,250,241,4,195,8
47,210,50204,44,194,21
48,210,50207,3,194,21
49,210,50204,48,195,21
50,210,50207,5,195,21
51,210,50208,5,194,22
52,210,50206,5,194,22
53,210,50208,7,195,22
54,210,50206,6,195,22
55,210,50209,11,194,23
56,210,50209,13,195,23
57,230,50372,4,194,18
58,210,50207,12,194,18
424,250,801,2,194,18
425,250,56,2,194,18
426,250,114,2,194,18
427,250,172,2,194,18
428,250,230,2,194,18
59,230,50372,8,195,18
60,210,50207,14,195,18
429,250,801,4,195,18
430,250,56,2,195,18
431,250,114,2,195,18
432,250,172,2,195,18
433,250,230,2,195,18
61,230,50372,4,194,19
62,210,50205,7,194,19
434,250,801,3,194,19
435,250,60,2,194,19
436,250,118,2,194,19
437,250,176,2,194,19
438,250,234,2,194,19
63,230,50372,8,195,19
64,210,50205,9,195,19
439,250,801,6,195,19
440,250,60,2,195,19
441,250,118,2,195,19
442,250,176,2,195,19
443,250,234,2,195,19
65,230,50372,4,194,20
66,210,50206,6,194,20
444,250,801,10,194,20
445,250,66,2,194,20
446,250,124,2,194,20
447,250,182,2,194,20
448,250,240,2,194,20
67,230,50372,8,195,20
68,210,50206,7,195,20
449,250,801,15,195,20
450,250,66,2,195,20
451,250,124,2,195,20
452,250,182,2,195,20
453,250,240,2,195,20
69,210,50209,5,194,9
70,250,802,1,194,9
71,250,803,1,194,9
72,250,804,1,194,9
73,240,50001,5,194,9
360,250,67,4,194,9
361,250,125,2,194,9
362,250,183,2,194,9
363,250,241,2,194,9
74,210,50209,7,195,9
75,250,802,1,195,9
76,250,803,1,195,9
77,250,804,1,195,9
78,250,805,1,195,9
79,240,50001,5,195,9
80,240,50002,1,195,9
364,250,67,4,195,9
365,250,125,4,195,9
366,250,183,4,195,9
367,250,241,4,195,9
81,210,50209,5,194,11
