m_id,m_ShowOrder,m_CategoryID,m_Rare,m_IconID,m_NameID,m_DetailID,m_ParamList
0,0,0,0,0,0,0,"[0, 0]"
50204,1,1,1,8319,16851,16965,"[100, 1]"
50207,2,1,1,8319,16954,16965,"[500, 1]"
50205,3,1,1,8319,16852,16965,"[1000, 1]"
50208,4,1,1,8319,16955,16965,"[2500, 1]"
50206,5,1,1,8319,16853,16965,"[10000, 1]"
50209,6,1,1,8319,16956,16965,"[50000, 1]"
50210,7,1,1,8319,18004,16965,"[250000, 1]"
50211,8,1,1,8319,18005,16965,"[500000, 1]"
50212,9,1,1,8319,18006,16965,"[1000000, 1]"
50213,100,1,1,9107,40109,40112,"[1, 2]"
