m_id,m_LootBoxID,m_Weight,m_FeaturedFlag,m_ShowOrder
0,0,0,194,0
32,50007,5,194,1
33,50007,15,194,2
34,50007,80,194,3
35,50008,5,194,1
36,50008,15,194,2
37,50008,80,194,3
38,50009,5,194,1
39,50009,15,194,2
40,50009,80,194,3
41,61000,100,194,18
42,61000,100,194,17
43,61000,100,194,16
44,61000,100,194,15
45,61000,100,194,14
46,61000,100,194,13
47,61000,100,194,12
48,61000,100,194,11
49,61000,100,194,10
50,61000,100,194,9
51,61000,100,194,8
52,61000,100,194,7
53,61000,100,194,6
54,61000,100,194,5
55,61000,100,194,4
56,61000,100,194,3
57,61000,100,194,2
58,61000,100,194,1
59,61001,100,194,18
60,61001,100,194,17
61,61001,100,194,16
62,61001,100,194,15
63,61001,100,194,14
64,61001,100,194,13
65,61001,100,194,12
66,61001,100,194,11
67,61001,100,194,10
68,61001,100,194,9
69,61001,100,194,8
70,61001,100,194,7
71,61001,100,194,6
72,61001,100,194,5
73,61001,100,194,4
74,61001,100,194,3
75,61001,100,194,2
76,61001,100,194,1
77,61002,100,194,18
78,61002,100,194,17
79,61002,100,194,16
80,61002,100,194,15
81,61002,100,194,14
82,61002,100,194,13
83,61002,100,194,12
84,61002,100,194,11
85,61002,100,194,10
86,61002,100,194,9
87,61002,100,194,8
88,61002,100,194,7
89,61002,100,194,6
90,61002,100,194,5
91,61002,100,194,4
92,61002,100,194,3
93,61002,100,194,2
94,61002,100,194,1
95,61003,100,194,24
96,61003,100,194,23
97,61003,100,194,22
98,61003,100,194,21
99,61003,100,194,20
100,61003,100,194,19
101,61003,100,194,18
102,61003,100,194,17
103,61003,100,194,16
104,61003,100,194,15
105,61003,100,194,14
106,61003,100,194,13
107,61003,100,194,12
108,61003,100,194,11
109,61003,100,194,10
110,61003,100,194,9
111,61003,100,194,8
112,61003,100,194,7
113,61003,100,194,6
114,61003,100,194,5
115,61003,100,194,4
116,61003,100,194,3
117,61003,100,194,2
118,61003,100,194,1
119,64000,150,194,4
120,64000,300,194,3
121,64000,275,194,2
122,64000,275,194,1
123,64001,150,194,4
124,64001,300,194,3
125,64001,275,194,2
126,64001,275,194,1
127,64002,150,194,4
128,64002,300,194,3
129,64002,275,194,2
130,64002,275,194,1
131,64003,150,194,4
132,64003,300,194,3
133,64003,275,194,2
134,64003,275,194,1
135,64004,150,194,4
136,64004,300,194,3
137,64004,275,194,2
138,64004,275,194,1
139,64005,150,194,4
140,64005,300,194,3
141,64005,275,194,2
142,64005,275,194,1
10001,1000001,100,194,24
10002,1000001,100,194,23
10003,1000001,100,194,22
10004,1000001,100,194,21
10005,1000001,100,194,20
10006,1000001,100,194,19
10007,1000001,100,194,18
10008,1000001,100,194,17
10009,1000001,100,194,16
10010,1000001,100,194,15
10011,1000001,100,194,14
10012,1000001,100,194,13
10013,1000001,100,194,12
10014,1000001,100,194,11
10015,1000001,100,194,10
10016,1000001,100,194,9
10017,1000001,100,194,8
10018,1000001,100,194,7
10019,1000001,100,194,6
10020,1000001,100,194,5
10021,1000001,100,194,4
10022,1000001,100,194,3
10023,1000001,100,194,2
10024,1000001,100,194,1
10025,1000002,100,194,2
10026,1000002,100,194,1
