m_id,m_ShowOrder,m_CategoryID,m_Rare,m_IconID,m_NameID,m_DetailID,m_ParamList
0,0,0,0,0,0,0,[0]
50007,50000,10,0,9170,40390,40394,[1]
50008,50001,10,0,9170,40391,40395,[1]
50009,50002,10,0,9170,40392,40396,[1]
61000,61025,10,0,9170,40462,40474,[1]
61001,61035,10,0,9170,40463,40474,[1]
61002,61049,10,0,9170,40464,40474,[1]
61003,61062,10,0,9170,40465,40474,[1]
64000,64032,10,0,9170,40466,40475,[1]
64001,64033,10,0,9170,40467,40475,[1]
64002,64034,10,0,9170,40468,40475,[1]
64003,64035,10,0,9170,40469,40475,[1]
64004,64036,10,0,9170,40470,40475,[1]
64005,64037,10,0,9170,40471,40475,[1]
1000001,61001,10,0,9170,1000005,40474,[1]
1000002,100000,10,0,9170,1000050,1000051,[1]
