m_id,m_ShowOrder,m_CategoryID,m_Rare,m_IconID,m_NameID,m_DetailID,m_ParamList
0,0,0,0,0,0,0,"[0, 0, 0, 0]"
517,0,5,0,0,0,0,"[0, 0, 0, 0]"
43,90001,5,1,711,11823,16962,"[11, 51, 61, 81]"
44,90002,5,1,711,11824,16962,"[17, 48, 58, 82]"
45,90003,5,1,711,11825,16962,"[24, 49, 59, 80]"
46,90004,5,1,711,11826,16962,"[32, 51, 61, 82]"
47,90005,5,1,711,11827,16962,"[40, 54, 64, 85]"
48,90006,5,1,711,11828,16962,"[51, 54, 64, 65]"
49,90007,5,1,711,11829,16962,"[67, 54, 65, 85]"
50,90008,5,1,711,11830,16962,"[74, 52, 62, 83]"
51,90009,5,1,711,11831,16962,"[82, 52, 63, 84]"
52,90010,5,1,711,11832,16962,"[102, 52, 63, 84]"
53,90011,5,1,711,11833,16962,"[118, 22, 24, 25]"
54,90012,5,1,711,11834,16962,"[126, 131, 0, 0]"
55,90013,5,1,711,11835,16962,"[142, 1, 5, 0]"
56,90014,5,1,711,11836,16962,"[165, 7, 0, 0]"
57,90015,5,1,711,11837,16962,"[170, 8, 9, 125]"
58,90016,5,1,711,11838,16962,"[192, 73, 0, 0]"
59,90017,5,1,711,11839,16962,"[207, 75, 76, 0]"
60,90018,5,1,711,11840,16962,"[218, 74, 130, 0]"
61,90019,5,1,711,11841,16962,"[230, 27, 0, 0]"
62,90020,5,1,711,11842,16962,"[252, 28, 126, 0]"
63,90021,5,1,711,11843,16962,"[262, 36, 0, 0]"
64,90022,5,1,711,11844,16962,"[284, 38, 39, 0]"
65,90023,5,1,711,11845,16962,"[296, 37, 128, 0]"
66,90024,5,1,711,11846,16962,"[321, 123, 124, 0]"
67,90025,5,1,711,11847,16962,"[343, 10, 11, 12]"
68,90026,5,1,711,11848,16962,"[341, 10012, 10013, 0]"
69,90027,5,1,711,11849,16962,"[351, 10005, 10006, 10008]"
70,90028,5,1,711,11850,16962,"[364, 10022, 10023, 10025]"
71,90029,5,1,711,11851,16962,"[371, 100016, 0, 0]"
72,90030,5,1,711,20134,16962,"[385, 10016, 10017, 10019]"
73,90031,5,1,711,20135,16962,"[402, 10029, 100023, 10030]"
101,80001,5,1,710,11881,16962,"[10, 50, 60, 82]"
102,80002,5,1,710,11882,16962,"[16, 48, 58, 79]"
103,80003,5,1,710,11883,16962,"[23, 49, 59, 80]"
104,80004,5,1,710,11884,16962,"[32, 50, 60, 82]"
105,80005,5,1,710,11885,16962,"[41, 54, 64, 85]"
106,80006,5,1,710,11886,16962,"[49, 54, 64, 85]"
107,80007,5,1,710,11887,16962,"[64, 54, 64, 85]"
108,80008,5,1,710,11888,16962,"[78, 53, 62, 83]"
109,80009,5,1,710,11889,16962,"[86, 53, 63, 84]"
110,80010,5,1,710,11890,16962,"[98, 53, 63, 84]"
111,80011,5,1,710,11891,16962,"[110, 22, 24, 25]"
112,80012,5,1,710,11892,16962,"[131, 131, 0, 0]"
113,80013,5,1,710,11893,16962,"[149, 1, 6, 0]"
114,80014,5,1,710,11894,16962,"[155, 7, 0, 0]"
115,80015,5,1,710,11895,16962,"[176, 8, 9, 125]"
116,80016,5,1,710,11896,16962,"[194, 73, 0, 0]"
117,80017,5,1,710,11897,16962,"[203, 75, 76, 0]"
118,80018,5,1,710,11898,16962,"[222, 74, 130, 0]"
119,80019,5,1,710,11899,16962,"[240, 27, 0, 0]"
120,80020,5,1,710,11900,16962,"[245, 28, 126, 0]"
121,80021,5,1,710,11901,16962,"[268, 36, 0, 0]"
122,80022,5,1,710,11902,16962,"[276, 38, 39, 40]"
123,80023,5,1,710,11903,16962,"[304, 37, 128, 0]"
124,80024,5,1,710,11904,16962,"[318, 123, 124, 0]"
125,80025,5,1,710,11905,16962,"[335, 10, 12, 13]"
126,80026,5,1,710,11906,16962,"[343, 10012, 10013, 0]"
127,80027,5,1,710,11907,16962,"[353, 10005, 10006, 10008]"
128,80028,5,1,710,11908,16962,"[362, 10022, 10023, 10025]"
129,80029,5,1,710,11909,16962,"[371, 100016, 0, 0]"
130,80030,5,1,710,20144,16962,"[387, 10016, 10017, 10019]"
131,80031,5,1,710,20145,16962,"[397, 10029, 100023, 10030]"
159,70001,5,1,713,11939,16962,"[9, 51, 61, 81]"
160,70002,5,1,713,11940,16962,"[17, 48, 58, 79]"
161,70003,5,1,713,11941,16962,"[22, 49, 59, 80]"
162,70004,5,1,713,11942,16962,"[34, 51, 61, 81]"
163,70005,5,1,713,11943,16962,"[40, 55, 65, 85]"
164,70006,5,1,713,11944,16962,"[51, 55, 65, 85]"
165,70007,5,1,713,11945,16962,"[66, 55, 65, 85]"
166,70008,5,1,713,11946,16962,"[72, 52, 62, 83]"
167,70009,5,1,713,11947,16962,"[84, 53, 63, 84]"
168,70010,5,1,713,11948,16962,"[103, 52, 62, 83]"
169,70011,5,1,713,11949,16962,"[115, 22, 24, 25]"
170,70012,5,1,713,11950,16962,"[133, 131, 0, 0]"
171,70013,5,1,713,11951,16962,"[141, 5, 6, 0]"
172,70014,5,1,713,11952,16962,"[162, 7, 0, 0]"
173,70015,5,1,713,11953,16962,"[174, 8, 9, 125]"
174,70016,5,1,713,11954,16962,"[186, 73, 0, 0]"
175,70017,5,1,713,11955,16962,"[209, 75, 76, 0]"
176,70018,5,1,713,11956,16962,"[216, 74, 130, 0]"
177,70019,5,1,713,11957,16962,"[233, 27, 0, 0]"
178,70020,5,1,713,11958,16962,"[255, 28, 126, 0]"
179,70021,5,1,713,11959,16962,"[260, 36, 0, 0]"
180,70022,5,1,713,11960,16962,"[282, 39, 40, 0]"
181,70023,5,1,713,11961,16962,"[297, 37, 128, 0]"
182,70024,5,1,713,11962,16962,"[324, 123, 124, 0]"
183,70025,5,1,713,11963,16962,"[340, 10, 11, 13]"
184,70026,5,1,713,11964,16962,"[345, 10012, 10013, 0]"
185,70027,5,1,713,11965,16962,"[352, 10005, 10006, 10008]"
186,70028,5,1,713,11966,16962,"[361, 10022, 10023, 10025]"
187,70029,5,1,713,11967,16962,"[374, 100017, 0, 0]"
188,70030,5,1,713,20154,16962,"[381, 10016, 10017, 10019]"
189,70031,5,1,713,20155,16962,"[401, 10029, 100023, 0]"
