m_id,m_ShowOrder,m_CategoryID,m_Rare,m_IconID,m_NameID,m_DetailID,m_ParamList,m_OpenTimestamp,m_CloseTimestamp
0,0,8,0,6243,0,0,"[0, 0]",3600,1561942800
15,90000,8,0,8008,40048,40186,"[0, 2]",0,0
16,89990,8,0,9026,40049,40187,"[0, 2]",0,0
17,89980,8,0,9027,40050,40188,"[0, 2]",0,0
14,50000,8,0,9052,40012,40331,"[0, 4]",0,0
26,20000,8,0,9052,40250,40256,"[0, 3]",1662537600,0
27,20010,8,0,9052,40251,40257,"[0, 3]",1664956800,0
29,30000,8,0,9052,40261,40263,"[0, 4]",1664956800,0
32,20020,8,0,9052,40283,40285,"[0, 3]",1667376000,0
41,20030,8,0,9052,40373,40377,"[0, 3]",1670400000,0
42,20040,8,0,9052,40374,40378,"[0, 3]",1673424000,0
45,29990,8,0,9052,40389,40393,"[0, 4]",1669276800,0
54,29980,8,0,9052,40440,40442,"[0, 4]",1669276800,0
1001,130010,8,0,9052,1000001,1000003,"[0, 1]",1647997200,1649142000
1002,130020,8,0,9052,1000002,1000004,"[0, 1]",1648602000,1649142000
1003,130030,8,0,9052,1000006,1000007,"[0, 1]",1658797200,1662706800
1004,130040,8,0,9052,1000008,1000009,"[0, 1]",1659520800,1663311600
1005,130050,8,0,9052,1000010,1000011,"[0, 1]",1659520800,1662706800
1006,130060,8,0,9052,1000012,1000013,"[0, 1]",1660118400,1663916400
1007,130070,8,0,9052,1000014,1000015,"[0, 1]",1660730400,1664521200
1008,130080,8,0,9052,1000016,1000017,"[0, 1]",1660730400,1663916400
1009,130090,8,0,9052,1000018,1000019,"[0, 1]",1661328000,1665126000
1010,130100,8,0,9052,1000020,1000021,"[0, 1]",1661940000,1665730800
1011,130110,8,0,9052,1000022,1000023,"[0, 1]",1661940000,1665126000
1012,130120,8,0,9052,1000024,1000025,"[0, 1]",1662537600,1666335600
1013,130130,8,0,9052,1000026,1000034,"[0, 1]",1663149600,1666940400
1014,130140,8,0,9052,1000027,1000035,"[0, 1]",1663149600,1666335600
1015,130150,8,0,9052,1000029,1000037,"[0, 1]",1663747200,1667545200
1016,130160,8,0,9052,1000030,1000038,"[0, 1]",1664359200,1667545200
1017,130170,8,0,9052,1000031,1000039,"[0, 1]",1664956800,1669964400
1018,130180,8,0,9052,1000045,1000040,"[0, 1]",1665561600,1669964400
1019,130190,8,0,9052,1000046,1000041,"[0, 1]",1666166400,1669964400
1020,130200,8,0,9052,1000047,1000042,"[0, 1]",1666778400,1670569200
1021,130210,8,0,9052,1000048,1000043,"[0, 1]",1667376000,1671174000
1022,130220,8,0,9052,1000049,1000044,"[0, 1]",1667988000,1671778800
1023,130230,8,0,9052,1000052,1000057,"[0, 1]",1669276800,1672988400
1024,130240,8,0,9052,1000053,1000058,"[0, 1]",1669276800,1672988400
1025,130250,8,0,9052,1000054,1000059,"[0, 1]",1669802400,1673593200
1026,130260,8,0,9052,1000055,1000060,"[0, 1]",1670400000,1674198000
1027,130270,8,0,9052,1000056,1000061,"[0, 1]",1671012000,1674802800
1028,130290,8,0,9052,1000062,1000071,"[0, 1]",1672221600,1676012400
1029,130310,8,0,9052,1000063,1000072,"[0, 1]",1674036000,1677826800
1030,130300,8,0,9052,1000064,1000073,"[0, 1]",1673424000,1677222000
1031,130280,8,0,9052,1000065,1000074,"[0, 1]",1671609600,1675407600
1037,130295,8,0,9052,1000080,1000081,"[0, 1]",1672563600,1677801600
