m_id,m_ShowOrder,m_CategoryID,m_Rare,m_IconID,m_NameID,m_DetailID,m_ParamList
0,0,0,0,0,0,0,[0]
50290,10000,3,0,8106,30001,30002,[0]
50246,9999,3,0,8106,17235,16805,[0]
50247,9998,3,0,8106,17236,16806,[0]
50248,9997,3,0,8106,17237,16807,[0]
50249,9996,3,0,8106,17238,16808,[0]
50207,1,3,0,5014,12297,16801,[0]
50271,1,3,0,5014,20174,20175,[0]
50208,1,3,0,6032,16831,16802,[0]
50209,1,3,0,5014,16832,16803,[0]
50245,1,3,0,5014,17234,16804,[0]
50280,1,3,0,6032,20201,20202,[0]
50270,1,3,0,5014,17239,16809,[0]
50272,0,3,0,5014,20176,0,[0]
50273,0,3,0,5014,20177,0,[0]
50274,0,3,0,5014,20178,0,[0]
50275,0,3,0,5014,20179,0,[0]
50276,0,3,0,5014,20180,0,[0]
50277,0,3,0,5014,20181,0,[0]
50278,0,3,0,5014,20182,0,[0]
50310,0,3,0,5014,30013,0,[0]
50311,0,3,0,5014,30014,0,[0]
50337,0,3,0,5014,0,0,[0]
50312,1,3,0,6032,16831,16802,[0]
50313,0,3,0,5014,30015,40071,[0]
50314,0,3,0,5014,30017,0,[0]
50315,1,3,0,5014,30018,30019,[0]
50226,0,3,0,6257,16882,16883,[0]
50228,0,3,0,6257,16882,16883,[0]
50229,0,3,0,6257,16882,16883,[0]
50232,0,3,0,6257,16882,16883,[0]
50233,0,3,0,6257,16882,16883,[0]
50234,0,3,0,6257,16882,16883,[0]
50235,0,3,0,6257,16882,16883,[0]
50236,0,3,0,6257,16882,16883,[0]
50239,0,3,0,6257,16882,16883,[0]
50240,0,3,0,6257,16882,16883,[0]
50241,0,3,0,6257,16882,16883,[0]
50242,0,3,0,6257,16882,16883,[0]
50250,0,3,0,6257,16882,16883,[0]
50251,0,3,0,6257,16882,16883,[0]
50252,0,3,0,6257,16882,16883,[0]
50253,0,3,0,6257,16882,16883,[0]
50254,0,3,0,6257,16882,16883,[0]
50255,0,3,0,6257,16882,16883,[0]
50256,0,3,0,6257,16882,16883,[0]
50257,0,3,0,6257,16882,16883,[0]
50258,0,3,0,6257,16882,16883,[0]
50259,0,3,0,6257,16882,16883,[0]
50260,0,3,0,6257,16882,16883,[0]
50261,0,3,0,6257,16882,16883,[0]
50262,0,3,0,6257,16882,16883,[0]
50263,0,3,0,6257,16882,16883,[0]
50264,0,3,0,6257,16882,16883,[0]
50265,0,3,0,6257,16882,16883,[0]
50266,0,3,0,6257,16882,16883,[0]
50267,0,3,0,6257,16882,16883,[0]
50268,0,3,0,6257,16882,16883,[0]
50269,0,3,0,6257,16882,16883,[0]
50294,0,3,0,6257,16882,16883,[0]
50295,0,3,0,6257,16882,16883,[0]
50296,0,3,0,6257,16882,16883,[0]
50297,0,3,0,6257,16882,16883,[0]
50304,0,3,0,6257,16882,16883,[0]
50305,0,3,0,6257,16882,16883,[0]
50306,0,3,0,6257,16882,16883,[0]
50307,0,3,0,6257,16882,16883,[0]
50316,0,3,0,6257,16882,16883,[0]
50317,0,3,0,6257,16882,16883,[0]
50318,0,3,0,6257,16882,16883,[0]
50319,0,3,0,6257,16882,16883,[0]
50333,0,3,0,6257,16882,16883,[0]
50334,0,3,0,6257,16882,16883,[0]
50335,0,3,0,6257,16882,16883,[0]
50336,0,3,0,6257,16882,16883,[0]
50340,0,3,0,6257,16882,16883,[0]
50341,0,3,0,6257,16882,16883,[0]
50342,0,3,0,6257,16882,16883,[0]
50343,0,3,0,6257,16882,16883,[0]
50355,0,3,0,6257,16882,16883,[0]
50356,0,3,0,6257,16882,16883,[0]
50357,0,3,0,6257,16882,16883,[0]
50358,0,3,0,6257,16882,16883,[0]
50281,800,3,0,6257,20203,20211,[0]
50282,800,3,0,6257,20204,20212,[0]
50283,800,3,0,6257,20205,20213,[0]
50285,800,3,0,6257,20207,20215,[0]
50346,800,3,0,6257,20403,20404,[0]
50284,800,3,0,6257,20206,20214,[0]
50288,800,3,0,6257,20210,20218,[0]
50286,800,3,0,6257,20208,20216,[0]
50287,800,3,0,6257,20209,20217,[0]
50291,700,3,0,705,30003,30006,[0]
50292,700,3,0,705,30004,30006,[0]
50293,700,3,0,705,30005,30006,[0]
50320,1,3,0,6257,40000,40013,[0]
50321,1,3,0,6257,40001,40014,[0]
50324,1,3,0,6257,40004,40017,[0]
