m_id,m_CatMap,m_CatRegion,m_CatVariation,m_CatBlock,m_MapLabel,m_RegionIconTexID,m_RegionText,m_MapText,m_CameraSet,m_LightSet,m_BGM,m_FootSE,m_FootEffect,m_ReverbFlag,m_LanthanumFlag,m_RidingVehicle,m_WorldId,m_Battlemap,m_SubLevelList,m_JoinMap,m_MapPath,m_PathDataPath,m_PlayerAttachEffectTriggers,m_PlayerAttachEffectInvalidConditions,m_PlayerAttachEffectGroups
0,,,,0,MapNone,6252,0,0,0,0,0,0,8,194,194,0,0,,"['', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2,TP,Cliff,N0,A1,Map_TP_Cliff_N0_1001_A1,6250,3107,3202,1,1,54,860,0,194,194,0,0,Map_FB_Cliff_N0_1002_A1,"['', '']","[3, 11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_TP_Cliff_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Cliff/Map_TP_Cliff_N0_1001_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
3,TP,Cliff,N0,B1,Map_TP_Cliff_N0_1001_B1,6250,3107,3203,1,1,57,860,0,194,194,0,0,Map_FB_Cliff_N0_1002_A1,"['', '']","[2, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_TP_Cliff_N0_1001_B1,/Game/Level/PathActor/V1_0_0/Cliff/Map_TP_Cliff_N0_1001_B1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
4,TP,Cliff,N0,C1,Map_TP_Cliff_N0_1001_C1,6250,3107,3204,3,3,102,860,0,195,194,0,0,Map_FB_Cliff_N0_1001_A1,"['', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_TP_Cliff_N0_1001_C1,/Game/Level/PathActor/V1_0_0/Cliff/Map_TP_Cliff_N0_1001_C1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
1,FP,Cliff,N0,A1,Map_FP_Cliff_N0_1001_A1,6250,3107,3201,2,2,18,434,0,194,194,0,0,Map_FB_Cliff_N0_1001_A1,"['', '']","[7, 2, 5, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_FP_Cliff_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Cliff/Map_FP_Cliff_N0_1001_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
7,FP,Cliff,N0,A1,Map_FP_Cliff_N0_1002_A1,6250,3107,3207,2,2,18,434,0,194,194,0,0,Map_FB_Cliff_N0_1001_A1,"['', '']","[1, 8, 125, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_FP_Cliff_N0_1002_A1,/Game/Level/PathActor/V1_0_0/Cliff/Map_FP_Cliff_N0_1002_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
5,DP,Cliff,N0,A1,Map_DP_Cliff_N0_1001_A1,6250,3107,3205,3,3,22,434,0,195,195,0,0,Map_DB_Other_C0_0001_A1,"['', '']","[6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1001_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
6,DP,Cliff,N0,B1,Map_DP_Cliff_N0_1001_B1,6250,3107,3206,3,3,22,434,0,195,195,0,0,Map_DB_Other_C0_0001_A1,"['', '']","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1001_B1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1001_B1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
8,DP,Cliff,N0,A1,Map_DP_Cliff_N0_1002_A1,6250,3107,3208,2,2,22,434,0,194,194,0,0,Map_FB_Cliff_N0_1001_A1,"['', '']","[9, 7, 100021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1002_A1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1002_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
9,DP,Cliff,N0,B1,Map_DP_Cliff_N0_1002_B1,6250,3107,3209,2,2,22,434,0,194,194,0,0,Map_FB_Cliff_N0_1001_A1,"['', '']","[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1002_B1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1002_B1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
