m_id,m_MapLabel,m_MapPath,m_PathDataPath
0,ResidentGame,/Game/Level/ResidentGame,
1,MainTitle,/Game/Level/Scene/MainTitle,
2,Map_FP_Cliff_N0_1001_A1,/Game/Level/Area/V1_0_0/Cliff/Map_FP_Cliff_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Cliff/Map_FP_Cliff_N0_1001_A1
3,Map_FP_Cliff_N0_1002_A1,/Game/Level/Area/V1_0_0/Cliff/Map_FP_Cliff_N0_1002_A1,/Game/Level/PathActor/V1_0_0/Cliff/Map_FP_Cliff_N0_1002_A1
4,Map_TP_Cliff_N0_1001_A1,/Game/Level/Area/V1_0_0/Cliff/Map_TP_Cliff_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Cliff/Map_TP_Cliff_N0_1001_A1
5,Map_TP_Cliff_N0_1001_B1,/Game/Level/Area/V1_0_0/Cliff/Map_TP_Cliff_N0_1001_B1,/Game/Level/PathActor/V1_0_0/Cliff/Map_TP_Cliff_N0_1001_B1
6,Map_DP_Cliff_N0_1001_A1,/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1001_A1
7,Map_DP_Cliff_N0_1001_B1,/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1001_B1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1001_B1
8,Map_DP_Cliff_N0_1002_A1,/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1002_A1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1002_A1
9,Map_DP_Cliff_N0_1002_B1,/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1002_B1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1002_B1
10,Map_DP_Cliff_N0_1003_A1,/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_A1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_A1
11,Map_DP_Cliff_N0_1003_B1,/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_B1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_B1
12,Map_DP_Cliff_N0_1003_C1,/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_C1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_C1
13,Map_DP_Cliff_N0_1003_D1,/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_D1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_D1
14,Map_DP_Cliff_N0_1003_E1,/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_E1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_E1
15,Map_DP_Cliff_N0_1003_F1,/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_F1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_F1
16,Map_DP_Cliff_N0_1003_G1,/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_G1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_G1
17,Map_TP_Sea_N0_1001_A1,/Game/Level/Area/V1_0_0/Sea/Map_TP_Sea_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Sea/Map_TP_Sea_N0_1001_A1
18,Map_FP_Sea_N0_1001_A1,/Game/Level/Area/V1_0_0/Sea/Map_FP_Sea_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Sea/Map_FP_Sea_N0_1001_A1
19,Map_FP_Sea_N0_1002_A1,/Game/Level/Area/V1_0_0/Sea/Map_FP_Sea_N0_1002_A1,/Game/Level/PathActor/V1_0_0/Sea/Map_FP_Sea_N0_1002_A1
20,Map_DP_Sea_N0_1001_A1,/Game/Level/Area/V1_0_0/Sea/Map_DP_Sea_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Sea/Map_DP_Sea_N0_1001_A1
21,Map_DP_Sea_N0_1001_B1,/Game/Level/Area/V1_0_0/Sea/Map_DP_Sea_N0_1001_B1,/Game/Level/PathActor/V1_0_0/Sea/Map_DP_Sea_N0_1001_B1
22,Map_DP_Sea_N0_1001_C1,/Game/Level/Area/V1_0_0/Sea/Map_DP_Sea_N0_1001_C1,/Game/Level/PathActor/V1_0_0/Sea/Map_DP_Sea_N0_1001_C1
23,Map_TP_Desert_N0_1001_A1,/Game/Level/Area/V1_0_0/Desert/Map_TP_Desert_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Desert/Map_TP_Desert_N0_1001_A1
24,Map_FP_Desert_N0_1001_A1,/Game/Level/Area/V1_0_0/Desert/Map_FP_Desert_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Desert/Map_FP_Desert_N0_1001_A1
25,Map_FP_Desert_N0_1002_A1,/Game/Level/Area/V1_0_0/Desert/Map_FP_Desert_N0_1002_A1,/Game/Level/PathActor/V1_0_0/Desert/Map_FP_Desert_N0_1002_A1
26,Map_TP_Mount_N0_1002_A1,/Game/Level/Area/V1_0_0/Mount/Map_TP_Mount_N0_1002_A1,/Game/Level/PathActor/V1_0_0/Mount/Map_TP_Mount_N0_1002_A1
27,Map_TP_Mount_N0_1002_B1,/Game/Level/Area/V1_0_0/Mount/Map_TP_Mount_N0_1002_B1,/Game/Level/PathActor/V1_0_0/Mount/Map_TP_Mount_N0_1002_B1
28,Map_FP_Mount_N0_1001_A1,/Game/Level/Area/V1_0_0/Mount/Map_FP_Mount_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Mount/Map_FP_Mount_N0_1001_A1
29,Map_FP_Mount_N0_1002_A1,/Game/Level/Area/V1_0_0/Mount/Map_FP_Mount_N0_1002_A1,/Game/Level/PathActor/V1_0_0/Mount/Map_FP_Mount_N0_1002_A1
30,Map_DP_Mount_N0_1001_A1,/Game/Level/Area/V1_0_0/Mount/Map_DP_Mount_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Mount/Map_DP_Mount_N0_1001_A1
31,Map_DP_Mount_N0_1001_B1,/Game/Level/Area/V1_0_0/Mount/Map_DP_Mount_N0_1001_B1,/Game/Level/PathActor/V1_0_0/Mount/Map_DP_Mount_N0_1001_B1
32,Map_DP_Mount_N0_1001_C1,/Game/Level/Area/V1_0_0/Mount/Map_DP_Mount_N0_1001_C1,/Game/Level/PathActor/V1_0_0/Mount/Map_DP_Mount_N0_1001_C1
33,Map_TP_Forest_N0_1001_A1,/Game/Level/Area/V1_0_0/Forest/Map_TP_Forest_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Forest/Map_TP_Forest_N0_1001_A1
34,Map_TP_Forest_N0_1001_B1,/Game/Level/Area/V1_0_0/Forest/Map_TP_Forest_N0_1001_B1,/Game/Level/PathActor/V1_0_0/Forest/Map_TP_Forest_N0_1001_B1
