m_id,m_PickupGroup,m_PickupPointMap,m_PickupSetList
0,0,0,0
10,3,100061,39
11,3,100061,40
12,3,100061,41
13,3,100061,42
14,3,100061,43
15,3,100061,44
16,3,100061,45
17,3,100061,46
18,3,100061,47
25,3,100061,48
26,3,100061,49
27,3,100061,88
28,3,100061,50
29,3,100061,79
30,3,100061,80
31,3,100061,89
32,3,100061,81
49,3,100061,7
50,3,100061,8
51,3,100061,9
52,3,100061,30
53,3,100061,31
54,3,100061,32
59,3,100061,33
60,3,100061,34
61,3,100061,35
62,3,100061,73
63,3,100061,74
64,3,100061,91
65,3,100061,82
66,3,100061,83
67,3,100061,84
68,3,100061,85
69,3,100061,86
70,3,100061,87
71,3,100062,2
72,3,100062,3
73,3,100062,4
74,3,100062,6
