m_id,m_RelationshipMax,m_RepairCostLeaf,m_RepairTalkText,m_RepairTalkVoice
1,5,"[4500, 9000, 18000, 36000, 72000]",1122,1000
2,5,"[3000, 6000, 12000, 24000, 48000]",558,1000
3,5,"[10000, 20000, 40000, 80000, 160000]",840,1000
4,5,"[12000, 24000, 48000, 96000, 192000]",699,1000
5,5,"[500, 1000, 2000, 4000, 8000]",25,1000
6,5,"[500, 1000, 2000, 4000, 8000]",276,1000
16,5,"[85000, 170000, 340000, 680000, 1360000]",5941,1000
7,5,"[6000, 12000, 24000, 48000, 96000]",981,1000
8,5,"[500, 1000, 2000, 4000, 8000]",417,1000
9,5,"[15000, 30000, 60000, 120000, 240000]",4501,1000
10,5,"[14000, 28000, 56000, 112000, 224000]",4420,1000
11,5,"[90000, 180000, 360000, 720000, 1440000]",5517,1000
12,5,"[80000, 160000, 320000, 640000, 1280000]",4687,1000
13,5,"[95000, 190000, 380000, 760000, 1520000]",7419,1000
15,5,"[1, 1, 1, 1, 1]",14,1000
17,5,"[3000, 6000, 12000, 24000, 48000]",7386,1000
21,5,"[200000, 400000, 800000, 1600000, 3200000]",14,1000
