m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
57,TreKP_ClD13B_004,6,0,0,7165,0,0,0,0,11,TreKP_ClD13B_004,99999999,0,0,0,,194,194,195,194,194,0,0,0,0,0,0,0,0,0,"[94042, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
220,eTALK_B04S_1_0,1,0,0,0,0,0,0,0,11,B04S_1_0,91,0,0,0,,195,194,194,194,194,0,1,1004010,0,0,2,1004010,0,538,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
221,eTALK_B04S_1_0_Block,9,0,0,0,0,0,0,0,11,B04S_1_0_Block,53,0,1,0,Clf_D_3B1_02,194,195,194,194,195,0,1,1004010,0,0,2,1004010,0,538,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,eTALK_B04S_1_1,1,0,0,0,0,0,0,0,11,B04S_1_1,1,0,0,0,,195,195,194,194,195,0,2,1004010,0,538,3,1004010,0,538,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eTALK_B04S_1_3,1,1514,0,0,0,0,0,0,11,B04S_1_3,2,0,4,20,,194,194,194,194,194,0,2,1004010,0,540,3,1004010,0,540,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,eTALK_B04S_1_4,1,0,0,0,0,0,0,0,11,B04S_1_4,3,0,4,0,,195,195,194,194,195,0,2,1004010,0,541,3,1004010,0,541,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
40,eTALK_B04S_2_0,1,0,0,0,0,0,0,0,11,B04S_2_0,40,0,0,0,,195,194,194,194,194,0,1,1004020,0,0,2,1004020,0,543,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,eTALK_B04S_2_1,1,1518,0,0,0,0,0,0,11,B04S_2_1,5,0,3,0,,194,194,194,194,194,0,2,1004020,0,543,3,1004020,0,543,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
25,eTALK_B04S_6_4,1,0,0,0,0,0,0,0,11,B04S_6_4,25,0,1,0,,195,195,194,194,195,0,2,1004060,0,568,3,1004060,0,568,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
31,eTALK_B04S_8_1,9,0,0,0,0,0,0,0,11,B04S_8_1,30,0,1,0,Spawn11,194,195,194,194,195,0,2,1004080,0,577,3,1004080,0,577,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
