m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
4,eSymEnm_DPCl3D1_002,10,0,0,0,7102,0,0,0,13,eSymEnm_DPCl3D1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,SymEnm_ClD13D_Boss_ESF,10,0,0,0,7114,0,0,0,13,SymEnm_ClD13D_Boss_ESF,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,eTreBX_DPCl3D1_001,6,0,0,7070,0,0,0,0,13,eTreBX_DPCl3D1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,eTreBX_DPCl3D1_002,6,0,0,7071,0,0,0,0,13,eTreBX_DPCl3D1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,eTreBX_DPCl3D1_003,6,0,0,7072,0,0,0,0,13,eTreBX_DPCl3D1_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,eTreBX_DPCl3D1_004,6,0,0,7073,0,0,0,0,13,eTreBX_DPCl3D1_004,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
16,Pnl_ClD13D_B04_08_DeadA002_v1,1,10000089,0,0,0,0,0,0,13,Pnl_ClD13D_B04_08_DeadA002,99999999,0,3,38,,194,195,194,194,194,0,3,1004080,0,577,3,1004080,0,578,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
18,Pnl_ClD13D_B04_08_DeadA004_v1,1,10000089,0,0,0,0,0,0,13,Pnl_ClD13D_B04_08_DeadA004,99999999,0,3,38,,194,195,194,194,194,0,3,1004080,0,577,3,1004080,0,578,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
19,Pnl_ClD13D_B04_08_DeadA005_v1,1,10000089,0,0,0,0,0,0,13,Pnl_ClD13D_B04_08_DeadA005,99999999,0,3,38,,194,195,194,194,194,0,3,1004080,0,577,3,1004080,0,578,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
20,Pnl_ClD13D_B04_08_DeadA006_v1,1,10000089,0,0,0,0,0,0,13,Pnl_ClD13D_B04_08_DeadA006,99999999,0,3,41,,194,195,194,194,194,0,3,1004080,0,577,3,1004080,0,578,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
