m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
3,Pnl_ClD13E_B04_08_DeadA001_v1,1,10000089,0,0,0,0,0,0,14,Pnl_ClD13E_B04_08_DeadA001,99999999,0,3,38,,194,195,194,194,194,0,3,1004080,0,577,3,1004080,0,578,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,Pnl_ClD13E_B04_08_DeadA002_v1,1,10000089,0,0,0,0,0,0,14,Pnl_ClD13E_B04_08_DeadA002,99999999,0,3,24,,194,195,194,194,194,0,3,1004080,0,577,3,1004080,0,578,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,Pnl_ClD13E_B04_08_DeadA004_v1,1,10000089,0,0,0,0,0,0,14,Pnl_ClD13E_B04_08_DeadA004,99999999,0,3,23,,194,195,194,194,194,0,3,1004080,0,577,3,1004080,0,578,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,Pnl_ClD13E_B04_08_DeadA005_v1,1,10000089,0,0,0,0,0,0,14,Pnl_ClD13E_B04_08_DeadA005,99999999,0,4,38,,194,195,194,194,194,0,3,1004080,0,577,3,1004080,0,578,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,Pnl_ClD13E_B04_08_DeadA006_v1,1,10000089,0,0,0,0,0,0,14,Pnl_ClD13E_B04_08_DeadA006,99999999,0,3,41,,194,195,194,194,194,0,3,1004080,0,577,3,1004080,0,578,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,Pnl_ClD13E_B04_08_DeadE001_v1,1,10000082,0,0,0,0,0,0,14,Pnl_ClD13E_B04_08_DeadE001,99999999,0,4,29,,194,195,194,194,194,0,3,1004080,0,577,3,1004080,0,578,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
14,Pnl_ClD13E_B04_08_DeadE002_v1,1,10000082,0,0,0,0,0,0,14,Pnl_ClD13E_B04_08_DeadE002,99999999,0,4,38,,194,195,194,194,194,0,3,1004080,0,577,3,1004080,0,578,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,Pnl_ClD13E_B04_08_DeadE003_v1,1,10000082,0,0,0,0,0,0,14,Pnl_ClD13E_B04_08_DeadE003,99999999,0,4,28,,194,195,194,194,194,0,3,1004080,0,577,3,1004080,0,578,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
22,Tlk_B04_08_live_001_ClD13E_v1,1,10000084,0,0,0,0,0,0,14,Tlk_B04_08_live_001_ClD13E,4,0,4,0,,194,194,194,194,194,0,3,1004080,0,577,3,1004080,0,578,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
23,Tlk_B04_08_Unique_001_ClD13E_v1,1,1531,0,0,0,0,0,0,14,Tlk_B04_08_Unique_001_ClD13E,1,0,3,37,,194,194,194,194,194,0,3,1004080,0,577,3,1004080,0,578,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
24,Pnl_ClD13E_B04_08_live_002_v1,1,10000084,0,0,0,0,0,0,14,Pnl_ClD13E_B04_08_live_002,99999999,0,3,0,,194,195,194,194,194,0,3,1004080,0,577,3,1004080,0,578,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
25,Tlk_B04_08_live_003_ClD13E_v1,1,10000084,0,0,0,0,0,0,14,Tlk_B04_08_live_003_ClD13E,6,0,3,0,,194,194,194,194,194,0,3,1004080,0,577,3,1004080,0,578,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
26,Pnl_ClD13E_B04_08_live_004_v1,1,10000084,0,0,0,0,0,0,14,Pnl_ClD13E_B04_08_live_004,99999999,0,4,37,,194,195,194,194,194,0,3,1004080,0,577,3,1004080,0,578,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
27,Pnl_ClD13E_B04_08_live_005_v1,1,10000084,0,0,0,0,0,0,14,Pnl_ClD13E_B04_08_live_005,99999999,0,3,35,,194,195,194,194,194,0,3,1004080,0,577,3,1004080,0,578,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
