m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
19,QuTr_PC021_04_02,1,0,0,0,0,0,0,0,125,QuTr_PC021_04_02,16,0,1,0,,194,194,194,194,194,0,2,2021040,0,705,3,2021040,0,705,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
17,QuTr_PC026_04_03,1,10000314,0,0,0,0,0,0,125,QuTr_PC026_04_03,13,0,4,14,,194,194,194,194,194,0,2,2026040,0,916,3,2026040,0,916,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
18,QuTr_PC026_04_04,1,0,0,0,0,0,0,0,125,QuTr_PC026_04_04,15,0,1,1,,194,194,194,194,194,0,2,2026040,0,917,3,2026040,0,917,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,eSymEnm_DPCl9A1_001,10,0,0,0,7031,0,0,0,125,eSymEnm_DPCl9A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,eSymEnm_DPCl9A1_002,10,0,0,0,7032,0,0,0,125,eSymEnm_DPCl9A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,eTreBX_DPCl9A1_001,6,0,0,7080,0,0,0,0,125,eTreBX_DPCl9A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,eTreBX_DPCl9A1_002,6,0,0,7081,0,0,0,0,125,eTreBX_DPCl9A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,eTreBX_DPCl9A1_003,6,0,0,7082,0,0,0,0,125,eTreBX_DPCl9A1_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,eTreBX_DPCl9A1_004,6,0,0,7083,0,0,0,0,125,eTreBX_DPCl9A1_004,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
20,QuTr_PC083_04_02,1,10000653,0,0,0,0,0,0,125,QuTr_PC083_04_02,18,0,1,0,,194,194,194,194,194,0,2,2083040,0,1270,3,2083040,0,1270,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
22,QuTr_PC075_02_03,1,10000653,0,0,0,0,0,0,125,QuTr_PC075_02_03,22,0,1,0,,194,194,194,194,194,0,2,2075020,0,2318,3,2075020,0,2318,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
