m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,DsT21A_Dummy,0,0,0,0,0,0,0,0,0,,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,eTALK_B05S_2_0_5,9,10000653,0,0,0,0,0,0,10017,B05S_2_0_5,1,0,1,0,Dst_D_2001A1_01,194,195,194,194,195,0,1,1005020,0,0,3,1005020,0,1203,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eTALK_B05S_2_0_6,1,10000726,0,0,0,0,0,0,10017,B05S_2_0_6,99999999,0,3,0,,194,195,194,194,194,0,1,1005020,0,0,3,1005020,0,1203,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,eTALK_B05S_2_0_7,1,10000726,0,0,0,0,0,0,10017,B05S_2_0_7,99999999,0,3,14,,194,195,194,194,194,0,1,1005020,0,0,3,1005020,0,1203,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,eTALK_B05S_2_0_8,9,10000653,0,0,0,0,0,0,10017,B05S_2_0_8,3,0,1,0,Dst_D_2001A1_02,194,195,194,194,195,0,1,1005020,0,0,3,1005020,0,1203,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,eTALK_B05S_2_0_9,1,10000726,0,0,0,0,0,0,10017,B05S_2_0_9,99999999,0,4,12,,194,195,194,194,194,0,1,1005020,0,0,3,1005020,0,1203,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,eTALK_B05S_2_0_10,1,10000726,0,0,0,0,0,0,10017,B05S_2_0_10,99999999,0,4,0,,194,195,194,194,194,0,1,1005020,0,0,3,1005020,0,1203,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,eTALK_B05S_2_0_13,9,10000653,0,0,0,0,0,0,10017,B05S_2_0_13,99999999,0,1,0,,194,195,195,194,194,0,1,1005020,0,0,3,1005020,0,1203,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,eTALK_B05S_2_0_14,9,10000653,0,0,0,0,0,0,10017,B05S_2_0_14,99999999,0,1,0,,194,195,195,194,194,0,1,1005020,0,0,3,1005020,0,1203,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,eTALK_B05S_2_4,1,0,0,0,0,0,0,0,10017,B05S_2_4,5,0,0,0,,195,194,194,194,195,0,2,1005020,0,1202,3,1005020,0,1202,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,eTALK_B05S_2_5_1,1,0,0,0,0,0,0,0,10017,B05S_2_5_1,6,0,0,0,,195,194,194,194,195,0,2,1005020,0,1203,3,1005020,0,1203,"[0, 0, 0, 0]","[103439, 0, 0, 0]",194,0,194
11,eTreBX_DsD21A_001,6,0,0,10127,0,0,0,0,10017,eTreBX_DsD21A_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,eTreBX_DsD21A_002,6,0,0,10128,0,0,0,0,10017,eTreBX_DsD21A_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,eTreBX_DsD21A_003,6,0,0,10129,0,0,0,0,10017,eTreBX_DsD21A_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
14,eTreBX_DsD21A_004,6,0,0,10130,0,0,0,0,10017,eTreBX_DsD21A_004,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,eTreBX_DsD21A_005,6,0,0,10131,0,0,0,0,10017,eTreBX_DsD21A_005,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
16,eSymEnm_DPDs21A1_001,10,0,0,0,5025,0,0,0,10017,eSymEnm_DPDs21A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
17,eSymEnm_DPDs21A1_002,10,0,0,0,5026,0,0,0,10017,eSymEnm_DPDs21A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
