m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,DsT21A_Dummy,0,0,0,0,0,0,0,0,0,,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,eTALK_B05S_2_0_11,9,10000653,0,0,0,0,0,0,10018,B05S_2_0_11,1,0,1,0,Dst_D_2001B1_03,194,195,194,194,195,0,1,1005020,0,0,3,1005020,0,1203,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eTALK_B05S_2_0_12,9,0,256,0,0,0,0,0,10018,B05S_2_0_12,99999999,0,0,0,,194,195,195,194,194,0,1,1005020,0,0,3,1005020,0,1203,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,eTALK_B05S_2_5,1,0,0,0,0,0,0,0,10018,B05S_2_5,3,0,0,0,,195,194,194,194,195,0,2,1005020,0,1203,3,1005020,0,1203,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,eTALK_B05S_2_6,9,10000653,0,0,0,0,0,0,10018,B05S_2_6,4,0,1,0,Dst_D_2001B1_01,194,195,194,194,195,0,2,1005020,0,1717,3,1005020,0,1717,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,eTALK_B05S_2_6_1,9,1220,0,0,0,0,0,0,10018,B05S_2_6_1,6,0,4,35,Dst_D_2001B1_02,194,195,194,194,195,0,2,1005020,0,1717,3,1005020,0,1717,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,eTALK_B05S_2_6_2,1,10000682,0,0,0,0,0,0,10018,B05S_2_6_2,99999999,0,3,20,,194,195,194,194,194,0,2,1005020,0,1717,3,1005020,0,1717,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,eTALK_B05S_2_6_3,1,10000681,0,0,0,0,0,0,10018,B05S_2_6_3,99999999,0,3,20,,194,195,194,194,194,0,2,1005020,0,1717,3,1005020,0,1717,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,eTALK_B05S_2_6_4,9,10000653,0,0,0,0,0,0,10018,B05S_2_6_4,8,0,1,0,Dst_D_2001B1_04,194,195,194,194,195,0,2,1005020,0,1717,3,1005020,0,1717,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,eTreBX_DsD21B_001,6,0,0,10132,0,0,0,0,10018,eTreBX_DsD21B_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,eTreBX_DsD21B_002,6,0,0,10133,0,0,0,0,10018,eTreBX_DsD21B_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,eTreBX_DsD21B_003,6,0,0,10134,0,0,0,0,10018,eTreBX_DsD21B_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,eTreBX_DsD21B_004,6,0,0,10135,0,0,0,0,10018,eTreBX_DsD21B_004,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,eTreBX_DsD21B_005,6,0,0,10136,0,0,0,0,10018,eTreBX_DsD21B_005,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
14,eSymEnm_DPDs21B1_001,10,0,0,0,5027,0,0,0,10018,eSymEnm_DPDs21B1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,eSymEnm_DPDs21B1_002,10,0,0,0,5028,0,0,0,10018,eSymEnm_DPDs21B1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
16,Heal_DsD21B_Bonfire001,5,0,0,0,0,31,0,0,10018,Heal_DsD21B_Bonfire001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
17,Lck_Door001_DsD21B,9,0,422,0,0,0,0,0,10018,Lck_Door001_DsD21B,99999999,0,0,0,,195,194,194,194,194,0,3,1005020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
