m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,eTALK_B01S_1_2,1,0,0,0,0,0,0,0,52,B01S_1_2,0,0,3,0,,195,195,194,194,195,0,2,1001010,0,4,3,1001010,0,4,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
30,eTALK_B01S_3_3,9,0,25,0,0,0,0,0,52,B01S_3_3,15,5,6,0,,194,194,194,194,194,0,2,1001030,0,372,3,1001030,0,372,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,eTALK_B01S_3_4,1,0,0,0,0,0,0,0,52,B01S_3_4,19,0,6,0,,195,194,194,194,194,0,2,1001030,0,373,3,1001030,0,373,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
22,eTALK_B01S_3_5,9,0,25,0,0,0,0,0,52,B01S_3_5,20,5,6,0,,194,194,194,194,194,0,2,1001030,0,889,3,1001030,0,889,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,eTALK_B01S_3_6,9,0,0,0,0,0,0,0,52,B01S_3_6,23,0,6,0,Spawn19,194,195,194,194,195,0,2,1001030,0,374,3,1001030,0,374,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
25,eSymEnm_DPFo1002A1_001,10,0,0,0,10,0,0,0,52,eSymEnm_DPFo1002A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,3,1005030,0,1404,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
26,eSymEnm_DPFo1002A1_002,10,0,0,0,11,0,0,0,52,eSymEnm_DPFo1002A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,3,1005030,0,1404,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,eNPC_Lock_EvB01_01_003A,9,4246,0,0,0,0,0,0,52,eNPC_Lock_EvB01_01_003A,1,0,4,0,Spawn1,194,194,194,194,194,0,3,1001010,0,4,3,1001010,0,364,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
14,Lck_DOOR_TIESEL_A_001_FsD12A_v1,9,0,25,0,0,0,0,0,52,Lck_DOOR_TIESEL_A_001_FsD12A,17,15,6,0,,194,194,194,194,194,0,3,1001010,0,4,3,1001030,0,371,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
23,Lck_DOOR_TIESEL_A_001_FsD12A_v2,9,0,25,0,0,0,0,0,52,Lck_DOOR_TIESEL_A_001_FsD12A,17,15,6,0,,194,194,194,194,194,0,2,1001030,0,373,3,1001030,0,373,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
21,Lck_NPC_B01_020_FsD12A,9,1220,0,0,0,0,0,0,52,Lck_NPC_B01_020_FsD12A,18,0,3,35,B01_03_05_NPC,194,195,195,194,195,0,3,1001030,0,373,3,1001030,0,374,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
31,Lck_ObjRope_FsD12A_v1,9,0,0,0,0,0,0,0,52,Lck_ObjRope_FsD12A_v1,99999999,0,0,0,,195,195,194,194,194,0,3,1001030,0,374,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eNPC_DP_Forest_1002_NPC001A,1,80081,0,0,0,0,0,0,52,eNPC_DP_Forest_1002_NPC001A,3,0,3,0,,194,194,194,194,194,0,3,1001010,0,4,3,1001010,0,364,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,eNPC_DP_Forest_1002_NPC002A,1,80079,0,0,0,0,0,0,52,eNPC_DP_Forest_1002_NPC002A,4,0,3,0,,194,194,194,194,194,0,3,1001010,0,4,3,1001010,0,364,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,eNPC_DP_Forest_1002_NPC005A,1,80083,0,0,0,0,0,0,52,eNPC_DP_Forest_1002_NPC005A,8,0,1,0,,194,194,194,194,194,0,3,1001010,0,4,3,1001010,0,364,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,eNPC_DP_Forest_1002_NPC008A,1,80076,0,0,0,0,0,0,52,eNPC_DP_Forest_1002_NPC008A,11,0,1,0,,194,194,194,194,194,0,3,1001010,0,4,3,1001010,0,364,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,eNPC_NPC_Tattoria_003_A,1,1214,0,0,0,0,0,0,52,eNPC_NPC_Tattoria_003_A,13,0,4,0,,194,194,194,194,194,0,3,1001010,0,4,3,1001010,0,364,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
27,eRP_DPFo2A1_001,5,0,0,0,0,13,0,0,52,eRP_DPFo2A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,eNPC_DP_Forest_1002_NPC003A,1,80086,0,0,0,0,0,0,52,eNPC_DP_Forest_1002_NPC003A,99999999,0,4,0,,194,195,194,194,194,0,3,1001010,0,4,3,1001010,0,364,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,eNPC_DP_Forest_1002_NPC004A,1,80084,0,0,0,0,0,0,52,eNPC_DP_Forest_1002_NPC004A,99999999,0,4,0,,194,195,194,194,194,0,3,1001010,0,4,3,1001010,0,364,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,eNPC_DP_Forest_1002_NPC007A,1,80077,0,0,0,0,0,0,52,eNPC_DP_Forest_1002_NPC007A,99999999,0,2,0,,194,195,194,194,194,0,3,1001010,0,4,3,1001010,0,364,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,eNPC_DP_Forest_1002_NPC009A,1,80109,0,0,0,0,0,0,52,eNPC_DP_Forest_1002_NPC009A,99999999,0,3,0,,194,195,194,194,194,0,3,1001010,0,4,3,1001010,0,364,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,eNPC_DP_Forest_1002_Panel_001,1,80076,0,0,0,0,0,0,52,eNPC_DP_Forest_1002_Panel_001,99999999,0,4,0,,194,195,194,194,194,0,3,1001010,0,4,3,1001010,0,364,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
16,eNPC_DP_Forest_1002_Panel_002,1,80077,0,0,0,0,0,0,52,eNPC_DP_Forest_1002_Panel_002,99999999,0,3,0,,194,195,194,194,194,0,3,1001010,0,4,3,1001010,0,364,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
17,eNPC_DP_Forest_1002_Panel_003,1,80081,0,0,0,0,0,0,52,eNPC_DP_Forest_1002_Panel_003,99999999,0,4,0,,194,195,194,194,194,0,3,1001010,0,4,3,1001010,0,364,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
18,eNPC_DP_Forest_1002_Panel_004,1,80086,0,0,0,0,0,0,52,eNPC_DP_Forest_1002_Panel_004,99999999,0,1,0,,194,195,194,194,194,0,3,1001010,0,4,3,1001010,0,364,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
28,eTALK_Tiesel_TableSet_A,8,0,70,0,0,0,0,0,52,Tiesel_TableSet_A,99999999,0,0,0,,194,195,194,194,194,0,0,0,0,0,2,1001010,0,4,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
29,eTALK_Tiesel_TableSet_B,8,0,70,0,0,0,0,0,52,Tiesel_TableSet_B,99999999,0,0,0,,194,195,194,194,194,0,0,0,0,0,0,0,0,0,"[7, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
34,Pnl_FsD12A_BlackSuit001,1,1229,0,0,0,0,0,0,52,Pnl_FsD12A_BlackSuit001,99999999,0,4,35,,194,195,194,194,194,0,3,1001030,0,373,3,1001030,0,374,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
