m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
1,eTALK_B03S_2_5,1,1403,0,0,0,0,0,0,55,B03S_2_5,1,0,3,0,,194,195,194,194,195,0,2,1003020,0,308,3,1003020,0,308,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eTALK_B03S_2_6,9,0,0,0,0,0,0,0,55,B03S_2_6,2,0,1,0,Spawn17,194,195,195,194,195,0,2,1003020,0,589,3,1003020,0,589,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,eTALK_B03S_2_6_Destination,1,0,0,0,0,0,0,0,55,B03S_2_6_Destination,99999999,0,1,0,,194,195,194,194,194,0,2,1003020,0,589,3,1003020,0,589,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,eSymEnm_DPFo1003B1_001,10,0,0,0,16,0,0,0,55,eSymEnm_DPFo1003B1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,eSymEnm_DPFo1003B1_002,10,0,0,0,17,0,0,0,55,eSymEnm_DPFo1003B1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,eRP_DPFo1003B1_001,5,0,0,0,0,3,0,0,55,eRP_DPFo1003B1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,eTreBX_DPFo1003A1_001,6,0,0,60,0,0,0,0,55,eTreBX_DPFo1003A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,eTreBX_DPFo1003A1_002,6,0,0,61,0,0,0,0,55,eTreBX_DPFo1003A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,eTreBX_DPFo1003A1_003,6,0,0,62,0,0,0,0,55,eTreBX_DPFo1003A1_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,eTreBX_DPFo1003A1_004,6,0,0,63,0,0,0,0,55,eTreBX_DPFo1003A1_004,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,eTreBX_DPFo1003A1_005,6,0,0,64,0,0,0,0,55,eTreBX_DPFo1003A1_005,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
