m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
1,eTALK_B08S_3_5_1,1,10000653,0,0,0,0,0,0,100205,B08S_3_5_1,1,0,1,0,,194,194,194,194,195,0,2,1008030,0,2452,3,1008030,0,2452,"[0, 0, 0, 0]","[104985, 0, 0, 0]",194,0,194
2,eTALK_B08S_3_5_1_Lck001,9,0,0,0,0,0,0,0,100205,B08S_3_5_1_Lck001,99999999,0,0,0,,194,195,195,194,194,0,2,1008030,0,2452,3,1008030,0,2452,"[0, 0, 0, 0]","[104985, 0, 0, 0]",194,0,194
3,eTALK_B08S_3_5_Lck001,9,0,0,0,0,0,0,0,100205,B08S_3_5_Lck001,99999999,0,0,0,,194,195,195,194,194,0,2,1008030,0,2452,3,1008030,0,2621,"[104985, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,eTALK_B08S_3_5_Npc001,1,10001315,0,0,0,0,0,0,100205,B08S_3_5_Npc001,2,0,4,20,,194,194,194,194,194,0,2,1008030,0,2452,3,1008030,0,2621,"[104985, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,eTALK_B08S_3_5_Pnl001,1,10001517,0,0,0,0,0,0,100205,B08S_3_5_Pnl001,99999999,0,3,1,,194,195,194,194,194,0,2,1008030,0,2452,3,1008030,0,2621,"[104985, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,eTALK_B08S_3_5_Pnl002,1,10001518,0,0,0,0,0,0,100205,B08S_3_5_Pnl002,99999999,0,3,35,,194,195,194,194,194,0,2,1008030,0,2452,3,1008030,0,2621,"[104985, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,eTALK_B08S_3_5_Pnl003,1,10001519,0,0,0,0,0,0,100205,B08S_3_5_Pnl003,99999999,0,3,35,,194,195,194,194,194,0,2,1008030,0,2452,3,1008030,0,2621,"[104985, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,eSymEnm_DP_HellCliff_N0_2002_B3_001,10,0,0,0,50277,0,0,0,100205,eSymEnm_DP_HellCliff_N0_2002_B3_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,Tlk_HClD22_F002_HClD22B3_v1_1,1,10001543,0,0,0,0,0,0,100205,Tlk_HClD22_F002_HClD22B3,4,0,4,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,eTALK_B08_03_14d,1,10000653,0,0,0,0,0,0,100205,B08_03_14d,6,0,6,0,,194,194,194,194,195,0,0,0,0,0,0,0,0,0,"[104921, 0, 0, 0]","[104968, 0, 0, 0]",194,0,194
12,HClT22B3_BlackFogLock_01,9,0,622,0,0,0,0,0,100205,HClT22B3_BlackFogLock_01,7,0,1,0,HClf_D_2002B3_01,194,195,194,194,195,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104968, 0, 0, 0]",194,0,194
13,TreBx_HClD22B3_001,6,0,0,10460,0,0,0,0,100205,TreBx_HClD22B3_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
14,TreBx_HClD22B3_002,6,0,0,10461,0,0,0,0,100205,TreBx_HClD22B3_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,TreBx_HClD22B3_003,6,0,0,10462,0,0,0,0,100205,TreBx_HClD22B3_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
