m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
1,eTALK_B08S_2_3_Pnl001,1,10001224,0,0,0,0,0,0,100146,B08S_2_3_Pnl001,99999999,0,4,1,,194,195,194,194,194,0,2,1008020,0,2369,3,1008020,0,2369,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eObj_CEMETERY_SON_001,8,0,3,0,0,0,0,0,100146,CEMETERY_SON_001,99999999,0,1,0,,194,195,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,eObj_CEMETERY_SON_002,8,0,3,0,0,0,0,0,100146,CEMETERY_SON_002,99999999,0,1,0,,194,195,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,eRP_DPHFs11B1_001,5,0,0,0,0,44,0,0,100146,eRP_DPHFs11B1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,Tlk_HFsD11_P001_HFsD11B_v1_1,1,10001499,0,0,0,0,0,0,100145,Tlk_HFsD11_P001_HFsD11B,2,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104903, 0, 0, 0]",194,0,194
14,Tlk_HFsD11_P001_HFsD11B_v1_2,1,10001506,0,0,0,0,0,0,100145,Tlk_HFsD11_P001_HFsD11B,12,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104903, 0, 0, 0]",194,0,194
6,Tlk_HFsD11_P001_HFsD11B_v2_1,1,10001499,0,0,0,0,0,0,100145,Tlk_HFsD11_P001_HFsD11B,4,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104903, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,Tlk_HFsD11_P001_HFsD11B_v2_2,1,10001506,0,0,0,0,0,0,100145,Tlk_HFsD11_P001_HFsD11B,10,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104903, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,Tlk_HFsD11_W001_HFsD11B_v1_1,1,10001500,0,0,0,0,0,0,100145,Tlk_HFsD11_W001_HFsD11B,6,0,3,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104903, 0, 0, 0]",194,0,194
8,Tlk_HFsD11_W001_HFsD11B_v2_1,1,10001500,0,0,0,0,0,0,100145,Tlk_HFsD11_W001_HFsD11B,8,0,3,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104903, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,Tlk_HFsD11_P002_HFsD11B_v1_1,1,10001541,0,0,0,0,0,0,100145,Tlk_HFsD11_P002_HFsD11B,14,0,4,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
16,Pnl_HFsD11B_HFsD11_P002_2_v1,1,10001542,0,0,0,0,0,0,100145,Pnl_HFsD11B_HFsD11_P002_2,99999999,0,4,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,eSymEnm_DP_HellForest_1001_B1_001,10,0,0,0,7118,0,0,0,100146,eSymEnm_DP_HellForest_1001_B1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,eTreBX_HFsD11B_001,6,0,0,10447,0,0,0,0,100146,eTreBX_HFsD11B_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,eTreBX_HFsD11B_002,6,0,0,10448,0,0,0,0,100146,eTreBX_HFsD11B_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,eTreBX_HFsD11B_003,6,0,0,10449,0,0,0,0,100146,eTreBX_HFsD11B_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
