m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
1,eTALK_A1_FloorTrap_A,1,10000653,0,0,0,0,0,0,100219,A1_FloorTrap_A,1,0,0,0,,195,195,194,194,195,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104659, 0, 0, 0]",194,0,194
2,eTALK_A1_FloorTrap_B,1,0,685,0,0,0,0,0,100219,A1_FloorTrap_B,2,0,0,0,,195,195,194,194,195,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104660, 0, 0, 0]",194,0,194
39,eTALK_A1_FloorTrap_C,8,0,686,0,0,0,0,0,100219,A1_FloorTrap_C,99999999,0,0,0,,195,195,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104663, 0, 0, 0]",194,0,194
40,eTALK_A1_FloorTrap_D,8,0,687,0,0,0,0,0,100219,A1_FloorTrap_D,99999999,0,0,0,,195,195,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104664, 0, 0, 0]",194,0,194
3,eTALK_A1_LeverSwitch_A,19,10000653,0,0,0,0,0,0,100219,A1_LeverSwitch_A,3,15,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104661, 0, 0, 0]",194,0,194
4,eTALK_A1_LeverSwitch_B,19,10000653,0,0,0,0,0,0,100219,A1_LeverSwitch_B,6,15,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104662, 0, 0, 0]",194,0,194
5,eTALK_A1_LeverSwitch_C,19,10000653,0,0,0,0,0,0,100219,A1_LeverSwitch_C,9,15,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104663, 0, 0, 0]",194,0,194
6,eTALK_A1_LeverSwitch_D,19,10000653,0,0,0,0,0,0,100219,A1_LeverSwitch_D,12,15,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104664, 0, 0, 0]",194,0,194
7,eTALK_A1_Door_Central_01,1,10000653,0,0,0,0,0,0,100219,A1_Door_Central_01,15,15,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104661, 0, 0, 0]",194,0,194
8,eTALK_A1_Door_Central_02,1,10000653,0,0,0,0,0,0,100219,A1_Door_Central_02,16,15,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104661, 0, 0, 0]",194,0,194
