m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,no_line_error_dummy,0,0,0,0,0,0,0,0,0,,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eSymEnm_DPDs51A1_001,10,0,0,0,8001,0,0,0,100120,eSymEnm_DPDs51A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,eSymEnm_DPDs51A1_002,10,0,0,0,8002,0,0,0,100120,eSymEnm_DPDs51A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,QuTr_PC186_02_06,9,10000653,0,0,0,0,0,0,100120,QuTr_PC186_02_06,5,0,1,0,Oth_D_5A1_01,194,195,194,194,195,0,2,2186020,0,2058,3,2186020,0,2058,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
24,QuTr_PC186_02_06_IconLock,9,10000653,0,0,0,0,0,0,100120,QuTr_PC186_02_06_IconLock,99999999,0,0,0,,194,195,195,194,194,0,0,0,0,0,3,2186030,0,2060,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,Tlk_NPC_CollabBook01_OtD5001A1_v1,8,0,479,0,0,0,0,0,100120,Tlk_NPC_CollabBook01_OtD5001A1,7,36,0,0,,194,195,194,194,195,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,Tlk_NPC_CollabBook02_OtD5001A1_v1,8,0,479,0,0,0,0,0,100120,Tlk_NPC_CollabBook02_OtD5001A1,9,36,0,0,,194,195,194,194,195,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,Tlk_NPC_CollabBook03_OtD5001A1_v1,8,0,478,0,0,0,0,0,100120,Tlk_NPC_CollabBook03_OtD5001A1,11,36,0,0,,194,194,194,194,194,0,3,2186030,0,2060,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,Tlk_NPC_CollabBook04_OtD5001A1_v1,8,0,478,0,0,0,0,0,100120,Tlk_NPC_CollabBook04_OtD5001A1,13,36,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,Tlk_UniqueF_AdventurerNoFC_OtD5001A1_v1,1,10001139,0,0,0,0,0,0,100120,Tlk_UniqueF_AdventurerNoFC_OtD5001A1,15,0,3,0,,194,194,194,194,194,0,0,0,0,0,3,2186020,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
