m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,no_line_error_dummy,0,0,0,0,0,0,0,0,0,,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,eSymEnm_DPDs51B1_001,10,0,0,0,8003,0,0,0,100121,eSymEnm_DPDs51B1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eSymEnm_DPDs51B1_002,10,0,0,0,8004,0,0,0,100121,eSymEnm_DPDs51B1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,QuTr_PC184_04_02,1,10000653,0,0,0,0,0,0,100121,QuTr_PC184_04_02,2,0,1,0,,194,194,194,194,194,0,2,2184040,0,2018,3,2184040,0,2018,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,QuTr_PC186_03_03,9,10000653,0,0,0,0,0,0,100121,QuTr_PC186_03_03,4,0,1,0,Oth_D_5B1_01,194,195,194,194,195,0,2,2186030,0,2061,3,2186030,0,2061,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
24,QuTr_PC186_03_03_IconLock,9,10000653,0,0,0,0,0,0,100121,QuTr_PC186_03_03_IconLock,99999999,0,1,0,,194,195,195,194,194,0,0,0,0,0,3,2186040,0,2065,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,Tlk_NPC_CollabBook01_OtD5001B1_v1,8,0,479,0,0,0,0,0,100131,Tlk_NPC_CollabBook01_OtD5001B1,6,0,0,0,,194,195,194,194,195,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,Tlk_NPC_CollabBook02_OtD5001B1_v1,8,0,479,0,0,0,0,0,100121,Tlk_NPC_CollabBook02_OtD5001B1,8,0,0,0,,194,195,194,194,195,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,Tlk_NPC_CollabBook03_OtD5001B1_v1,8,0,479,0,0,0,0,0,100121,Tlk_NPC_CollabBook03_OtD5001B1,10,0,0,0,,194,195,194,194,195,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,Tlk_NPC_CollabBook04_OtD5001B1_v1,8,0,479,0,0,0,0,0,100121,Tlk_NPC_CollabBook04_OtD5001B1,12,0,0,0,,194,195,194,194,195,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,Tlk_NPC_CollabBook05_OtD5001B1_v1,8,0,479,0,0,0,0,0,100121,Tlk_NPC_CollabBook05_OtD5001B1,14,0,0,0,,194,195,194,194,195,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,Tlk_NPC_CollabBook06_OtD5001B1_v1,8,0,479,0,0,0,0,0,100121,Tlk_NPC_CollabBook06_OtD5001B1,16,0,0,0,,194,195,194,194,195,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,Tlk_NPC_CollabBook07_OtD5001B1_v1,8,0,478,0,0,0,0,0,100121,Tlk_NPC_CollabBook07_OtD5001B1,18,36,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
