m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
11,QuTr_PC004_03_02,1,0,0,0,0,0,0,0,130,QuTr_PC004_03_02,6,0,1,0,,194,194,194,194,194,0,2,2004030,0,60,3,2004030,0,60,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,QuTr_PC020_04_02,1,0,0,0,0,0,0,0,130,QuTr_PC020_04_02,10,0,1,0,,194,194,194,194,194,0,2,2020040,0,701,3,2020040,0,701,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
14,QuTr_PC032_04_02,1,0,0,0,0,0,0,0,130,QuTr_PC032_04_02,12,0,1,0,,194,194,194,194,194,0,2,2032040,0,750,3,2032040,0,750,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,eSymEnm_DPRi9A1_001,10,0,0,0,6031,0,0,0,130,eSymEnm_DPRi9A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,eSymEnm_DPRi9A1_002,10,0,0,0,6032,0,0,0,130,eSymEnm_DPRi9A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,eTreBX_DPRi9A1_001,6,0,0,6040,0,0,0,0,130,eTreBX_DPRi9A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,eTreBX_DPRi9A1_002,6,0,0,6041,0,0,0,0,130,eTreBX_DPRi9A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,eTreBX_DPRi9A1_003,6,0,0,6042,0,0,0,0,130,eTreBX_DPRi9A1_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,eTreBX_DPRi9A1_004,6,0,0,6043,0,0,0,0,130,eTreBX_DPRi9A1_004,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,eTreBX_DPRi9A1_005,6,0,0,6044,0,0,0,0,130,eTreBX_DPRi9A1_005,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
